,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
10,EV/Sales Ratio,2.05,2.02,1.93,1.55,2.01,2.35,1.90,1.86,1.61,1.51,2.02,2.98,3.52,3.47,3.97,4.07,4.38,-,-,-,-
11,EV/EBITDA Ratio,13.74,14.30,13.41,9.68,12.93,13.71,12.04,13.00,10.97,13.62,21.26,24.27,25.68,23.89,21.61,19.31,21.67,-,-,-,-
12,EV/EBIT Ratio,37.15,36.53,31.06,18.70,24.43,23.62,21.19,24.15,20.27,34.73,133.88,79.06,-,-,41.32,28.42,-,-,-,-,-
13,EV/FCF Ratio,-7.92,-,-,-,-,-,-,-,-12.03,-,-,-,-,-,-,33.36,45.05,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.34,0.39,0.35,0.35,-,0.10,0.07,0.04,0.00,0.00,0.00,0.00,0.00,-,0.01,0.05,-,0.02,0.02
15,Debt / EBITDA Ratio,3.86,3.56,4.44,3.70,3.79,3.03,-,0.90,0.50,0.43,0.03,0.03,0.08,0.13,0.01,-,0.32,0.34,-,0.21,0.09
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-0.78,-,-,-,-,-,-,-,0.12,0.54,-,-,0.66
17,Asset Turnover,0.37,0.35,0.42,-,-,-,0.59,0.54,0.56,0.50,0.45,0.43,0.23,0.29,0.36,0.49,-,-,-,-,
18,Inventory Turnover,1.46,1.22,1.38,1.73,-,-,-,2.44,2.16,2.29,2.01,1.77,1.82,0.93,1.26,1.78,2.43,-,-,-,-
19,Quick Ratio,0.70,0.70,0.94,1.52,1.58,1.82,-,1.25,1.22,1.43,1.42,1.54,1.64,1.61,2.01,2.70,3.52,1.59,-,-,1.05
20,Current Ratio,2.20,2.20,2.80,2.49,2.50,2.99,-,2.09,2.09,2.33,2.47,2.57,2.61,2.68,2.97,3.60,4.41,2.80,-,-,2.35
21,Return on Equity (ROE),2.52%,1.68%,4.77%,-,-,-,5.02%,9.54%,4.27%,4.39%,5.08%,3.46%,-1.09%,7.67%,5.64%,2.03%,-,-,3.41%,-,
22,Return on Assets (ROA),1.91%,0.35%,1.93%,-,-,-,2.70%,3.76%,2.42%,1.60%,2.34%,-1.15%,-1.33%,3.47%,2.92%,-1.20%,-,-,-,-,
23,Return on Capital (ROIC),2.39%,0.43%,2.35%,-,-,-,3.36%,4.71%,3.04%,2.03%,2.99%,-1.46%,-1.68%,4.30%,3.53%,-1.45%,-,-,2.40%,-,
24,Return on Capital Employed (ROCE),2.61%,2.61%,3.00%,4.04%,4.23%,4.88%,-,5.11%,4.93%,2.58%,0.75%,1.61%,-,-,3.87%,7.41%,-,16.47%,-,-,4.71%
25,Earnings Yield,3.62%,3.51%,3.99%,5.19%,4.03%,3.90%,4.18%,3.79%,4.59%,3.60%,2.21%,2.27%,2.18%,1.94%,2.35%,3.35%,2.84%,-,-,-,-
26,FCF Yield,-15.25%,-14.79%,-13.83%,-14.23%,-10.36%,-6.15%,-8.52%,-7.85%,-6.95%,-10.56%,-10.37%,-7.08%,-4.64%,-3.32%,1.14%,2.87%,2.13%,-,-,-,-
27,Dividend Yield,1.67%,-,-,-,1.27%,-,-,-,1.49%,-,-,-,0.75%,-,-,-,1.03%,-,-,-,-
28,Payout Ratio,51.26%,307.44%,13.13%,2.50%,1.97%,9.31%,102.69%,1.85%,0.49%,5.96%,111.12%,1.46%,0.96%,-,108.93%,0.32%,33.32%,1.18%,19.86%,3.74%,-
29,Buyback Yield / Dilution,-20.73%,-5.92%,-62.17%,1.40%,-20.16%,-19.56%,2.74%,-3.38%,1.13%,0.50%,1.53%,-0.68%,-24.61%,-30.99%,-45.20%,-23.55%,-9.54%,-,-,-,-
30,Total Shareholder Return,-19.06%,-5.92%,-62.17%,1.40%,-18.90%,-19.56%,2.74%,-3.38%,2.62%,0.50%,1.53%,-0.68%,-23.86%,-30.99%,-45.20%,-23.55%,-8.50%,-,-,-,-
