,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/EBIT Ratio,52.90,44.56,38.61,45.61,51.50,70.23,63.67,58.87,-,39.98,46.04,40.28,51.17,46.23,25.66,-,-,-,-,-
13,EV/FCF Ratio,12.36,11.21,14.76,-,20.60,-,14.01,-,92.55,37.28,-,-,-24.09,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.55,0.55,0.68,0.70,0.69,0.65,0.64,0.49,0.37,0.50,0.54,0.47,0.45,0.50,0.42,0.52,0.41,-,-,0.44
15,Debt / EBITDA Ratio,5.02,4.74,4.54,7.69,7.55,6.33,5.77,6.06,24.98,4.24,4.36,4.15,5.20,2.79,2.88,3.02,1.81,-,-,3.86
16,Debt / FCF Ratio,1.80,1.80,3.42,-,4.11,-,2.49,-,9.88,5.13,-,-,-1.87,-,-,-,4.23,-,-,-
17,Asset Turnover,0.98,0.96,0.88,0.90,0.93,0.92,0.89,1.03,0.92,0.92,1.02,1.16,1.19,1.20,0.92,-,-,-,-,
18,Inventory Turnover,6.64,7.49,7.38,6.76,6.96,6.95,7.37,7.06,7.24,5.22,4.71,5.63,6.18,5.36,4.98,3.53,-,-,-,-
19,Quick Ratio,0.97,0.97,1.00,1.06,1.08,1.20,1.09,1.07,1.05,1.35,1.34,1.47,1.65,1.54,1.72,1.34,1.63,-,-,-
20,Current Ratio,1.26,1.26,1.25,1.29,1.30,1.43,1.38,1.30,1.29,1.61,1.64,1.83,1.98,1.98,2.15,1.88,1.99,-,-,-
21,Return on Equity (ROE),6.43%,10.24%,5.33%,6.30%,6.44%,5.27%,4.97%,7.17%,5.84%,9.45%,8.31%,7.86%,12.06%,13.54%,12.63%,-,-,-,-,
22,Return on Assets (ROA),1.80%,2.47%,1.43%,1.36%,1.97%,1.96%,1.48%,-0.29%,2.88%,2.95%,3.17%,2.25%,5.46%,5.33%,5.05%,-,-,-,-,
23,Return on Capital (ROIC),3.33%,4.08%,2.24%,2.14%,3.08%,3.12%,2.55%,-0.48%,4.25%,4.18%,4.25%,2.93%,7.00%,6.76%,6.55%,-,-,-,-,
24,Return on Capital Employed (ROCE),5.82%,6.27%,6.16%,5.29%,5.34%,4.09%,4.86%,5.72%,-,8.94%,10.30%,10.64%,10.70%,12.26%,11.70%,14.21%,12.89%,-,-,-
25,Earnings Yield,1.90%,2.19%,2.69%,2.06%,1.74%,1.82%,1.69%,1.82%,2.10%,2.25%,1.97%,2.18%,1.70%,1.74%,3.38%,-,-,-,-,-
26,FCF Yield,8.37%,9.69%,7.68%,8.90%,5.19%,2.09%,7.52%,4.34%,1.06%,2.87%,-5.24%,-7.53%,-4.25%,-3.71%,-3.00%,-,-,-,-,-
27,Dividend Yield,0.46%,-,-,-,0.54%,-,-,-,0.52%,-,-,-,0.89%,-,1.32%,-,-,-,-,-
28,Payout Ratio,51.01%,52.37%,75.19%,44.60%,14.81%,36.85%,164.68%,29.53%,8.49%,114.40%,17.10%,19.66%,211.62%,19.01%,11.74%,12.67%,6.35%,15.43%,28.00%,49.79%
29,Buyback Yield / Dilution,-2.78%,-5.94%,-16.21%,16.32%,-10.65%,9.73%,-2.98%,-6.04%,7.01%,-1.98%,-20.79%,-45.44%,-15.29%,-57.33%,18.29%,-11.99%,-,-,-,-
30,Total Shareholder Return,-2.32%,-5.94%,-16.21%,16.32%,-10.10%,9.73%,-2.98%,-6.04%,7.53%,-1.98%,-20.79%,-45.44%,-14.41%,-57.33%,19.61%,-11.99%,-,-,-,-
