,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
23,Minority Interest in Earnings,-1.69,3.22,0.94,-4.78,0.07,3.22,2.98,2.44,-6.96,-2.46,-1.98,1.12,-9.25,-1.26,1.03,-1.57,-5.09,0.5,-1.29
24,Net Income,64.67,37.1,59.83,46.34,97.35,38.75,73.35,53.93,127.9,61.79,62.12,56.05,91.39,38.9,50.4,73.02,59.83,12.43,18.7
25,Net Income to Common,64.67,37.1,59.83,46.34,97.35,38.75,73.35,53.93,127.9,61.79,62.12,56.05,91.39,38.9,50.4,73.02,59.83,12.43,18.7
26,Net Income Growth,-33.57%,-4.26%,-18.43%,-14.07%,-23.88%,-37.28%,18.08%,-3.79%,39.95%,58.84%,23.26%,-23.24%,52.74%,212.95%,169.55%,-,-,-,-
27,Shares Outstanding (Basic),170,169,171,167,168,169,168,168,140,197,167,167,169,168,139,128,126,125,127
28,Shares Outstanding (Diluted),170,169,171,167,168,169,168,168,140,197,167,167,169,168,139,128,126,125,127
29,Shares Change (YoY),1.28%,0.00%,1.54%,-0.51%,20.33%,-14.00%,0.65%,0.31%,-17.28%,16.95%,20.10%,31.16%,34.45%,34.81%,9.94%,-,-,-,-
30,EPS (Basic),0.38,0.22,0.35,0.28,0.58,0.23,0.44,0.32,0.92,0.31,0.37,0.34,0.54,0.23,0.36,0.57,0.48,0.10,0.15
31,EPS (Diluted),0.38,0.22,0.35,0.28,0.58,0.23,0.44,0.32,0.92,0.31,0.37,0.34,0.54,0.23,0.36,0.57,0.48,0.10,0.15
32,EPS Growth,-34.41%,-4.27%,-19.67%,-13.63%,-36.74%,-27.07%,17.31%,-4.09%,69.19%,35.82%,2.63%,-41.48%,13.61%,132.14%,145.19%,-,-,-,-
33,Free Cash Flow,-57.8,34.65,20.89,387.68,-159.44,-95.64,169.86,-64.67,22.27,56.07,0.81,48.9,-1.8,61.32,108.35,-59.72,-34.39,12.06,77.78
34,Free Cash Flow Per Share,-0.34,0.20,0.12,2.32,-0.95,-0.57,1.01,-0.39,0.16,0.29,0.00,0.29,-0.01,0.36,0.78,-0.47,-0.27,0.10,0.61
35,Dividend Per Share,-,-,-,0.714,-,-,-,0.889,-,-,-,0.714,-,-,-,0.595,-,-,-
36,Dividend Growth,-,-,-,-19.68%,-,-,-,24.50%,-,-,-,20.01%,-,-,-,-,-,-,-
37,Gross Margin,39.67%,30.32%,39.11%,19.53%,43.48%,32.14%,42.37%,42.18%,47.58%,38.93%,46.80%,44.80%,45.52%,39.65%,54.90%,53.96%,48.15%,39.10%,35.61%
38,Operating Margin,19.46%,8.68%,24.10%,7.50%,25.41%,7.35%,29.73%,13.39%,32.24%,23.45%,31.43%,22.79%,32.40%,26.10%,38.88%,33.46%,32.32%,12.86%,23.30%
39,Profit Margin,15.89%,12.36%,24.77%,6.10%,23.62%,15.37%,27.89%,18.80%,29.68%,24.78%,30.64%,28.23%,27.08%,24.34%,35.98%,29.84%,24.18%,13.71%,18.05%
40,Free Cash Flow Margin,-14.20%,11.54%,8.65%,51.04%,-38.68%,-37.94%,64.59%,-22.54%,5.17%,22.49%,0.40%,24.63%,-0.53%,38.37%,77.35%,-24.40%,-13.90%,13.30%,75.07%
41,EBITDA,86.42,33.73,65.42,64.19,109.79,25.56,83.26,43.49,141.15,62.99,65.98,47.5,110.95,43.65,56.09,83.5,81.11,13.06,25.28
42,EBITDA Margin,21.23%,11.23%,27.09%,8.45%,26.63%,10.14%,31.66%,15.16%,32.76%,25.26%,32.55%,23.93%,32.87%,27.31%,40.04%,34.12%,32.78%,14.41%,24.39%
43,D&A For EBITDA,7.21,7.66,7.21,7.21,5.07,7.04,5.07,5.07,2.26,4.52,2.26,2.26,1.61,1.93,1.61,1.61,1.14,1.41,1.14
44,EBIT,79.21,26.07,58.21,56.98,104.72,18.52,78.2,38.42,138.89,58.46,63.72,45.24,109.34,41.72,54.47,81.88,79.98,11.66,24.14
45,EBIT Margin,19.46%,8.68%,24.10%,7.50%,25.41%,7.35%,29.73%,13.39%,32.24%,23.45%,31.43%,22.79%,32.40%,26.10%,38.88%,33.46%,32.32%,12.86%,23.30%
46,Effective Tax Rate,5.84%,11.34%,16.44%,10.56%,11.02%,11.78%,18.97%,4.28%,11.97%,11.25%,12.90%,14.05%,14.27%,12.39%,11.78%,13.97%,17.00%,-,19.00%
47,Revenue as Reported,407.09,300.27,241.49,759.57,412.21,252.07,262.99,286.87,430.87,249.3,202.73,198.52,337.5,159.81,140.09,244.74,247.42,90.64,103.61
