,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,Additional Paid-In Capital,-,916.6,-,-,-,916.6,-,916.6,916.6,916.6,916.6,916.6,916.6,-,-
31,Retained Earnings,-,-8141,-,-,-,-8778,-,-8924,-8924,-8704,-8704,-8529,-8529,-,-
32,Treasury Stock,-,-16.99,-,-,-,-69.82,-,-11.98,-11.98,-,-,-,-,-,-
33,Comprehensive Income & Other,-,10178,-,-,-,10143,-,10048,10048,9903,9903,9794,9794,-,-
34,Total Common Equity,2937,2937,2476,-,-,2212,2028,2028,2028,2116,2116,2181,2181,-,-5991
35,Minority Interest,-,113.55,-,-,-,493.06,-,486.12,486.12,485.5,485.5,487.14,487.14,-,-
36,Shareholders' Equity,3050,3050,2974,-,-,2705,2514,2514,2514,2601,2601,2668,2668,-,-5989
37,Total Liabilities & Equity,-,5584,-,-,-,5674,-,5845,5845,6329,6329,6336,6336,-,-
38,Total Debt,1141,1141,1479,-,-,1745,2070,2070,2070,2347,2347,2242,2242,-,7405
39,Net Cash (Debt),1082,1082,737.37,-,-,99.57,-188.7,-188.7,-188.7,-524.41,-524.41,-741.16,-741.16,-,-6907
40,Net Cash Growth,-,987.12%,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,-,-,-,-,-,0.09,-,-0.16,-0.16,-0.45,-0.45,-1.39,-1.39,-,-26.62
42,Filing Date Shares Outstanding,-,-,-,-,-,1163,-,1160,1160,1163,1163,1163,533.17,259.47,259.47
43,Total Common Shares Outstanding,-,-,-,-,-,1163,-,1160,1160,1163,1163,1163,533.17,259.47,259.47
44,Working Capital,-,1202,-,-,-,359.15,-,34.67,34.67,-134.38,-134.38,-98.5,-98.5,-,-
45,Book Value Per Share,-,-,2.13,-,-,1.90,1.75,1.75,1.75,1.82,1.82,1.88,4.09,-,-35.35
46,Tangible Book Value,2802,2802,2339,-,-,2072,1883,1883,1883,1946,1946,2003,2003,-,-6139
47,Tangible Book Value Per Share,-,-,2.01,-,-,1.78,1.62,1.62,1.62,1.67,1.67,1.72,3.76,-,-36.23
48,Buildings,-,-,-,-,-,-,-,182.99,182.99,-,-,111.94,111.94,-,-
49,Machinery,-,-,-,-,-,-,-,2303,2303,-,-,2146,2146,-,-
50,Construction In Progress,-,-,-,-,-,-,-,7.76,7.76,-,-,3.44,3.44,-,-
51,Leasehold Improvements,-,-,-,-,-,-,-,295.91,295.91,-,-,274.58,274.58,-,-
