,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
20,Pretax Income,46.15,32.88,69.18,33.57,40.35,39.21,38.38,121.67,34.54,34.87,23.66
21,Income Tax Expense,10.1,5.57,16.68,4.52,9.72,10.36,9.23,29.43,8.61,8.18,8.26
22,Earnings From Continuing Operations,36.05,27.31,52.5,29.05,30.63,28.84,29.16,92.24,25.93,26.69,15.39
23,Minority Interest in Earnings,-1.09,-2.12,-4.73,-2.4,-0.85,-0.09,0.33,0.22,0.19,0.06,0.05
24,Net Income,34.96,25.2,47.77,26.65,29.77,28.76,29.48,92.46,26.12,26.75,15.44
25,Net Income to Common,34.96,25.2,47.77,26.65,29.77,28.76,29.48,92.46,26.12,26.75,15.44
26,Net Income Growth,17.41%,-12.38%,62.03%,-71.18%,13.98%,7.51%,90.94%,-,-,-,-
27,Shares Outstanding (Basic),400,400,400,421,400,400,360,348,340,340,340
28,Shares Outstanding (Diluted),400,400,400,421,400,400,360,348,340,340,340
29,Shares Change (YoY),-0.08%,0.04%,11.14%,21.05%,17.68%,17.65%,5.84%,-,-,-,-
30,EPS (Basic),0.09,0.06,0.12,0.06,0.07,0.07,0.08,0.27,0.08,0.08,0.05
31,EPS (Diluted),0.09,0.06,0.12,0.06,0.07,0.07,0.08,0.27,0.08,0.08,0.05
32,EPS Growth,17.50%,-12.42%,45.79%,-76.19%,-3.15%,-8.63%,80.40%,-,-,-,-
33,Free Cash Flow,-46.19,205.14,107.17,-252.96,42.71,-34.53,159.84,-66.21,73.86,3.88,57.54
34,Free Cash Flow Per Share,-0.12,0.51,0.27,-0.60,0.11,-0.09,0.44,-0.19,0.22,0.01,0.17
35,Dividend Per Share,-,-,-,0.100,-,-,-,-,-,-,-
36,Gross Margin,34.03%,30.30%,32.85%,27.69%,32.22%,29.97%,32.51%,34.46%,30.81%,31.02%,32.75%
37,Operating Margin,5.40%,3.40%,6.64%,4.08%,5.12%,4.84%,5.14%,11.36%,5.28%,5.02%,4.53%
38,Profit Margin,3.17%,2.37%,4.33%,2.38%,3.14%,3.25%,3.49%,9.02%,3.16%,3.65%,2.28%
39,Free Cash Flow Margin,-4.19%,19.30%,9.70%,-22.61%,4.51%,-3.90%,18.90%,-6.46%,8.92%,0.53%,8.50%
40,EBITDA,64.59,45.87,78.32,50.74,51.69,46.42,46.62,119.66,83.87,39.95,70.84
41,EBITDA Margin,5.86%,4.31%,7.09%,4.54%,5.46%,5.24%,5.51%,11.67%,10.13%,5.45%,10.46%
42,D&A For EBITDA,5.11,9.7,5.03,5.11,3.18,3.55,3.18,3.18,40.16,3.15,40.16
43,EBIT,59.47,36.17,73.29,45.63,48.51,42.87,43.44,116.48,43.7,36.8,30.67
44,EBIT Margin,5.40%,3.40%,6.64%,4.08%,5.12%,4.84%,5.14%,11.36%,5.28%,5.02%,4.53%
45,Effective Tax Rate,21.88%,16.94%,24.11%,13.45%,24.09%,26.43%,24.03%,24.19%,24.93%,23.45%,34.93%
46,Revenue as Reported,1102,1063,1104,1119,947.33,885.36,845.61,1025,827.72,732.65,676.98
