,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019
25,Total Current Liabilities,-,462.83,400.36,408.18,419.92,445.87,594.85,-,634.11,-,402.68,402.68,273.48,273.48
26,Long-Term Debt,-,80.3,80.4,80.2,87.1,105.73,65,-,50,-,129.44,129.44,42.64,42.64
27,Long-Term Leases,-,3.34,3.63,6.67,4.99,9.98,10.4,-,7.46,-,-,-,-,-
28,Long-Term Unearned Revenue,-,0.17,0.2,0.23,0.27,0.3,0.33,-,0.4,-,0.8,0.8,-,-
29,Total Liabilities,-,546.63,484.59,495.28,512.28,561.88,670.59,-,691.96,-,532.92,532.92,316.12,316.12
30,Common Stock,-,519.38,519.38,519.38,519.38,519.38,415.5,-,415.5,-,360,360,360,360
31,Additional Paid-In Capital,-,1520,1516,1513,1455,1457,747.09,-,737.44,-,387.8,387.8,371.25,371.25
32,Retained Earnings,-,740.65,766.68,811.45,792.27,790.46,752.71,-,679.57,-,274.67,274.67,238.85,238.85
33,Comprehensive Income & Other,-,2.86,3.49,3.42,3.26,-0.3,-0.45,-,0.88,-,1.16,1.16,1.21,1.21
34,Total Common Equity,2782,2782,2805,2847,2770,2766,1915,1833,1833,-,1024,1024,971.31,971.31
35,Minority Interest,-,13.02,13.55,13.64,13.37,15.1,14.12,-,12.74,-,4.07,4.07,2.96,2.96
36,Shareholders' Equity,2795,2795,2819,2861,2784,2782,1929,1846,1846,-,1028,1028,974.26,974.26
37,Total Liabilities & Equity,-,3342,3303,3356,3296,3343,2600,-,2538,-,1561,1561,1290,1290
38,Total Debt,206.64,206.64,209.92,231.98,200.56,220.48,246.37,214.42,214.42,-,201.18,201.18,122.52,122.52
39,Net Cash (Debt),1029,1029,1062,1065,1101,944.38,96.43,174.64,174.64,-,81.27,81.27,169.37,169.37
40,Net Cash Growth,-6.56%,8.98%,1001.78%,510.04%,530.74%,-,18.65%,114.88%,3.11%,-,-,-,-,-
41,Net Cash Per Share,4.23,1.19,2.73,2.22,2.33,1.82,0.25,0.41,0.23,-,0.22,0.22,0.47,0.47
42,Filing Date Shares Outstanding,519.38,519.38,519.38,519.38,519.38,519.38,415.5,430.37,415.5,420.75,364.97,364.97,360,360
43,Total Common Shares Outstanding,519.38,519.38,519.38,519.38,519.38,519.38,415.5,430.37,415.5,420.75,364.97,364.97,360,360
44,Working Capital,-,1447,1503,1561,1541,1584,692.25,-,596.66,-,299.09,299.09,420.23,420.23
45,Book Value Per Share,5.36,5.36,5.40,5.48,5.33,5.33,4.61,4.41,4.41,-,2.80,2.80,2.70,2.70
46,Tangible Book Value,2711,2711,2735,2775,2699,2692,1840,1781,1781,-,964.56,964.56,928.47,928.47
47,Tangible Book Value Per Share,5.22,5.22,5.27,5.34,5.20,5.18,4.43,4.29,4.29,-,2.64,2.64,2.58,2.58
48,Buildings,-,-,458.67,-,452.39,-,-,-,449.28,-,235.73,235.73,185.8,185.8
49,Machinery,-,-,1117,-,1137,-,-,-,998.36,-,701.23,701.23,519.19,519.19
50,Construction In Progress,-,-,200.06,-,136.03,-,-,-,221.21,-,207.83,207.83,193.58,193.58
