,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,null null,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
11,Total Current Assets,1765,1595,1277,1228,1232,1101,1216,1554,-,1702,1765,1727,1598,1280,1369,1334,1316,1383,1328,1259,Upgrade
12,"Property, Plant & Equipment",2632,2387,2540,2092,1249,1118,949.64,932.91,-,791.71,808.28,786.44,654.45,655.27,601.17,607.79,582.7,587.31,589.04,589.79,Upgrade
13,Long-Term Investments,7.05,68.89,6,78.7,6,458.4,-,52.18,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Goodwill,178.42,178.42,178.42,178.42,-,-,-,-,-,-,-,-,-,-,-,-,78.62,-,-,-,Upgrade
15,Other Intangible Assets,271.24,272.26,273.49,274.63,275.88,277.09,253.64,254.68,-,249.25,250.42,251.41,252.52,253.57,254.65,255.73,179.52,180.6,169.15,170.17,Upgrade
16,Long-Term Deferred Tax Assets,35.64,35.41,33.97,33.7,32.03,31.69,27.27,27.99,-,31.33,29.09,27.95,9.56,9.16,9.14,8.76,8.83,9.03,11.06,9.99,Upgrade
17,Long-Term Deferred Charges,1.83,-,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Long-Term Assets,69.01,33.12,84.4,56.39,755.91,390.35,618.35,225.49,-,157.56,90.32,99.33,160.98,96.95,70.5,63.29,28.25,9.01,11.48,30.88,Upgrade
19,Total Assets,4960,4570,4394,3942,3551,3377,3065,3047,-,2931,2943,2892,2676,2295,2305,2269,2194,2169,2109,2060,Upgrade
20,Accounts Payable,460.62,499.57,534.96,334.46,127.26,116.67,86.8,103.25,-,96.68,151.36,154.79,69.93,65.57,82.22,62.34,106.39,77.95,126.16,109.04,Upgrade
21,Accrued Expenses,14.6,17.78,11.97,13.5,9.65,12.42,7.55,16.7,-,9.46,8.33,24.28,11.46,20.85,12.02,22.55,10.25,22.85,10.39,32.31,Upgrade
22,Short-Term Debt,758.24,576.23,405.86,216.05,154.41,147.74,136.86,88.76,-,58.02,31.59,25.56,-,-,-,0.7,-,3,23.8,91.7,Upgrade
23,Current Portion of Long-Term Debt,83.57,73.4,52.61,42.44,-,1.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,8.23,2.4,5.18,1.39,9.14,7.35,3.83,-,-,21.25,29.75,15.48,26.56,7.85,16.72,6.67,29.12,16.03,22.74,24.45,Upgrade
25,Current Unearned Revenue,27.25,15.79,11.04,11.16,11.74,13.1,15.11,19.38,-,9.86,12.44,16.24,26.13,16.24,37.9,22.78,42.37,75.12,26.34,32.83,Upgrade
26,Other Current Liabilities,365.51,216.09,174.87,219.17,223.75,169.81,181.14,212,-,201.97,188.94,217.63,160.59,140.65,153.03,154.06,30.54,37.11,23.1,26.7,Upgrade
27,Total Current Liabilities,1718,1401,1196,838.17,535.94,468.78,431.28,440.09,-,397.24,422.41,453.98,294.67,251.16,301.89,269.09,218.68,232.06,232.53,317.02,Upgrade
28,Long-Term Debt,351.48,342.54,313.2,212.57,111.99,28.7,10.7,3.89,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.08,-,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.14,0.07,Upgrade
30,Long-Term Deferred Tax Liabilities,4.94,3.66,4.43,4.17,5.37,5.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Other Long-Term Liabilities,230.66,230.66,230.66,230.66,241.17,241.17,-,-,-,-,-,-,-,-,0.1,0.1,-,-,-,-,Upgrade
32,Total Liabilities,2382,2055,1822,1363,971.56,821.11,519.06,521.06,-,474.32,499.49,531.06,371.75,328.24,379.07,346.27,295.76,309.14,309.67,317.09,Upgrade
33,Common Stock,466.04,466.04,466.04,466.04,466.8,466.8,466.8,470.81,-,470.81,470.81,470.81,470.81,425.81,425.81,425.81,425.81,425.81,425.81,425.81,Upgrade
34,Additional Paid-In Capital,788.83,788.83,788.83,788.83,792.74,792.21,792.74,815.84,-,813.22,819.49,819.49,819.49,581.36,581.36,581.36,582.9,582.9,582.9,582.9,Upgrade
35,Retained Earnings,1257,1286,1319,1328,1326,1302,1289,1271,-,1205,1191,1110,1053,999.14,958.31,955.75,929.49,891.01,830.18,773.91,Upgrade
36,Treasury Stock,-54.11,-54.11,-29.64,-3.88,-6.46,-6.46,-6.57,-33.69,-,-33.69,-39.96,-39.96,-39.96,-39.96,-39.96,-39.96,-39.96,-39.96,-39.96,-39.96,Upgrade
37,Comprehensive Income & Other,2.8,2.27,1.19,0.29,0.7,1.53,3.68,1.67,-,1.68,2.12,0.43,-,-,-,-,-,-,-,-,Upgrade
38,Total Common Equity,2461,2489,2546,2579,2580,2556,2546,2526,-,2457,2444,2361,2304,1966,1926,1923,1898,1860,1799,1743,Upgrade
39,Minority Interest,116.86,26.19,26.46,-0.4,-0.31,-0.24,-0.14,-0.1,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
40,Shareholders' Equity,2578,2515,2572,2579,2579,2556,2546,2526,-,2457,2444,2361,2304,1966,1926,1923,1898,1860,1799,1743,Upgrade
41,Total Liabilities & Equity,4960,4570,4394,3942,3551,3377,3065,3047,-,2931,2943,2892,2676,2295,2305,2269,2194,2169,2109,2060,Upgrade
42,Total Debt,1193,992.17,771.67,471.06,266.39,178.13,147.55,92.65,-,58.02,31.59,25.56,-,-,-,0.7,-,3,23.8,91.7,Upgrade
43,Net Cash (Debt),-902.57,-781.17,-620.14,-328.25,-191.7,-120.59,-4.82,370.95,-,466.64,483.43,509.85,527.5,250.88,283.31,313.83,231.22,410.85,210.35,99.7,Upgrade
44,Net Cash Growth,-,-,-,-,-,-,-,-27.24%,-,86.00%,70.63%,62.46%,128.14%,-38.94%,34.69%,214.76%,2866.98%,356.04%,427.26%,-45.48%,Upgrade
45,Net Cash Per Share,-1.85,-1.71,-1.35,-0.65,-0.48,-0.23,-0.01,0.82,-,1.03,1.02,1.79,1.05,0.62,0.67,0.79,0.51,1.02,0.49,0.23,Upgrade
46,Filing Date Shares Outstanding,456.4,456.4,460.67,460.67,466.8,466.8,443.2,466.8,-,454.26,464.9,464.9,464.9,419.9,419.9,419.9,419.9,419.9,419.9,419.9,Upgrade
47,Total Common Shares Outstanding,456.4,456.4,460.67,460.67,466.8,466.8,443.2,466.8,-,454.26,464.9,464.9,464.9,419.9,419.9,419.9,419.9,419.9,419.9,419.9,Upgrade
48,Working Capital,46.97,193.69,80.42,389.85,696.03,632.29,784.51,1114,-,1304,1343,1273,1303,1028,1067,1065,1097,1151,1095,941.91,Upgrade
49,Book Value Per Share,5.39,5.45,5.53,5.60,5.53,5.48,5.74,5.41,-,5.41,5.26,5.08,4.96,4.68,4.59,4.58,4.52,4.43,4.28,4.15,Upgrade
50,Tangible Book Value,2011,2038,2094,2126,2304,2279,2292,2271,-,2208,2193,2110,2051,1713,1671,1667,1640,1679,1630,1572,Upgrade
51,Tangible Book Value Per Share,4.41,4.47,4.55,4.62,4.93,4.88,5.17,4.87,-,4.86,4.72,4.54,4.41,4.08,3.98,3.97,3.91,4.00,3.88,3.74,Upgrade
52,Buildings,-,980.15,-,530,-,460.33,-,396.23,-,-,-,372.44,-,375.28,-,374.87,-,373.79,-,353.63,Upgrade
53,Machinery,-,1421,-,597.35,-,590.96,-,550.48,-,-,-,569.97,-,551.22,-,547.01,-,535.65,-,506.28,Upgrade
54,Construction In Progress,-,602.65,-,1530,-,604.19,-,459.58,-,-,-,280.53,-,135.58,-,58.11,-,16.18,-,34.37,Upgrade
