,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2017,Q1 2017
9,Total Current Assets,2367,2477,2311,2108,2078,1856,1940,1531,1482,1471,1591,1092,1036,-,-,986.6,331.36,331.36
10,"Property, Plant & Equipment",1276,1057,1038,1033,924.43,855.38,817.42,755.48,591.7,536.6,476.26,439.67,426.83,-,-,377.22,215.72,215.72
11,Long-Term Investments,154.38,209.98,21.39,21.07,20.7,87.26,20.3,20.2,10,10,-,-,-,-,-,-,-,-
12,Goodwill,104.57,46.75,40.9,14.84,9.26,9.26,8.83,8.61,1.46,1.46,-,-,-,-,-,-,-,-
13,Other Intangible Assets,180.12,99.64,100.78,101.39,102.69,79.11,69.16,63.08,59.49,59.24,59.64,39.91,40.15,-,-,35.3,14.54,14.54
14,Long-Term Deferred Tax Assets,12.4,19.88,15.57,13.72,40.31,34.87,24.45,28.34,18.7,16.91,16.79,13.39,12.34,-,-,11.31,2.18,2.18
15,Long-Term Deferred Charges,58.8,52.19,48.39,47.88,36.87,35.75,33.71,31.49,22.59,22.19,22.75,24.77,21.21,-,-,20.3,9.09,9.09
16,Other Long-Term Assets,220.95,109.88,273.27,267.98,133.71,56.65,108.43,87.17,50.55,62.72,70.98,58.53,44.37,-,-,42.37,9.46,9.46
17,Total Assets,4374,4072,3849,3608,3346,3014,3023,2526,2237,2180,2237,1668,1581,-,-,1473,582.35,582.35
18,Accounts Payable,922.37,804.98,880.54,872.54,874.82,617.49,627.29,503.68,432.68,405.14,459.79,447.18,409.25,-,-,353.46,174.3,174.3
19,Accrued Expenses,86.77,135.31,51,168,60.53,104.73,33.06,117.51,50.91,101.15,26.67,103.5,36.68,-,-,62.28,21.38,21.38
20,Short-Term Debt,636.46,816.63,678.93,485.46,509.49,483.76,514.87,93.06,74.5,142.77,187.23,227.28,266.54,-,-,265.67,73.93,73.93
21,Current Portion of Long-Term Debt,151.06,62.19,96.54,6.66,20.65,30.58,48.97,30.74,19.34,1.56,15.43,2.18,21.27,-,-,2.61,21.59,21.59
22,Current Portion of Leases,-,37.13,-,25.46,-,17.46,-,18.93,-,18.05,-,15.8,-,-,-,10.14,-,-
23,Current Income Taxes Payable,31.79,14.04,20.28,16.89,25.4,8.66,23.91,17.48,44.75,12.26,23.74,3.61,7.37,-,-,6.89,6.96,6.96
24,Current Unearned Revenue,3.63,4.66,3.56,2.85,2.16,2.14,3.63,1.52,1.99,3.32,1.48,0.52,0.57,-,-,2.15,-,-
25,Other Current Liabilities,330.66,354.13,330.48,270.93,208.12,237.43,222.23,257.72,208.19,174.16,207.11,170.05,184.13,-,-,178.59,1.64,1.64
26,Total Current Liabilities,2163,2229,2061,1849,1701,1502,1474,1041,832.36,858.39,921.45,970.13,925.81,-,-,881.78,299.8,299.8
27,Long-Term Debt,308.31,243.78,216.58,170.75,99.4,1.95,2.18,2.25,32.2,2.57,2.7,0.03,0.5,-,-,2.53,5,5
28,Long-Term Leases,62.98,65.46,70.25,51.88,31.17,32.18,31.42,33.45,26.85,24.64,14.84,15.93,14.57,-,-,2.5,5.62,5.62
29,Long-Term Unearned Revenue,29.02,22.99,23.79,25.1,26.37,27.73,28.64,29.53,30.53,29.83,29.44,23.25,21.5,-,-,19.1,-,-
30,Long-Term Deferred Tax Liabilities,16.99,4.81,3.56,4.23,31.06,28.29,19.73,22.28,12.83,12.64,11.47,11.13,10.8,-,-,7.76,1.21,1.21
31,Other Long-Term Liabilities,-,-,0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Total Liabilities,2580,2566,2376,2101,1889,1592,1556,1128,934.77,928.07,979.89,1020,973.18,-,-,913.67,311.63,311.63
33,Common Stock,85.48,85.49,85.49,85.49,85.49,85.49,85.49,85.49,85.49,83,83,62.25,62.25,-,-,62.25,60,60
34,Additional Paid-In Capital,787.8,781.42,771.53,762.31,747.33,768.53,763.59,758.32,751.83,715.28,715.28,163.1,163.1,-,-,163.1,135.13,135.13
35,Retained Earnings,750.16,716.53,677.6,643.09,607.56,572.51,566.32,537.53,501.87,461.32,465.92,430.53,390.36,-,-,328.05,77.83,77.83
36,Treasury Stock,-88.07,-106.56,-102.01,-71.99,-61.85,-89.93,-36.78,-36.78,-36.78,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-1.3,-14.25,-7.91,1.43,-3.44,4.06,-3.87,-7.02,-14.43,-12.37,-11.64,-13.14,-12.75,-,-,0.86,-3.67,-3.67
38,Total Common Equity,1534,1463,1425,1420,1375,1341,1375,1338,1288,1247,1253,642.74,602.95,-,554.26,554.26,269.3,269.3
39,Minority Interest,260.24,43.55,48.74,87.3,81.8,80.86,91.92,59.96,13.9,4.72,4.96,5.04,5.2,-,-,5.17,1.43,1.43
40,Shareholders' Equity,1794,1506,1473,1508,1457,1422,1467,1398,1302,1252,1258,647.77,608.16,-,559.42,559.42,270.72,270.72
41,Total Liabilities & Equity,4374,4072,3849,3608,3346,3014,3023,2526,2237,2180,2237,1668,1581,-,-,1473,582.35,582.35
42,Total Debt,1159,1225,1062,740.22,660.71,565.93,597.45,178.42,152.9,189.58,220.2,261.23,302.87,-,283.44,283.44,106.14,106.14
43,Net Cash (Debt),-852.01,-814.79,-793.35,-404.89,-297.42,-211.04,-79.45,169.6,170.92,214.98,319.51,-96.71,-125.61,-,-132.44,-132.44,-55.97,-55.97
44,Net Cash Per Share,-10.13,-9.63,-9.42,-4.60,-3.56,-2.43,-0.94,1.97,2.06,2.57,4.24,-1.57,-2.01,-,-2.15,-2.11,-0.93,-0.93
45,Filing Date Shares Outstanding,83.22,83.23,83.41,84.55,83.48,83.41,85.49,85.49,85.49,83,83,62.25,62.25,62.66,61.69,62.25,60,60
46,Total Common Shares Outstanding,83.22,83.23,83.41,84.55,83.48,83.41,85.49,85.49,85.49,83,83,62.25,62.25,62.66,61.69,62.25,60,60
47,Working Capital,204.69,247.66,249.3,259.34,376.9,353.39,466.34,490.65,649.8,612.5,669.55,121.85,110.61,-,-,104.82,31.56,31.56
48,Book Value Per Share,18.43,17.57,17.08,16.80,16.47,16.07,16.08,15.65,15.07,15.03,15.09,10.33,9.69,-,8.90,8.90,4.49,4.49
49,Tangible Book Value,1249,1316,1283,1304,1263,1252,1297,1266,1227,1187,1193,602.83,562.8,-,518.96,518.96,254.76,254.76
50,Tangible Book Value Per Share,15.01,15.81,15.38,15.42,15.13,15.01,15.17,14.81,14.35,14.30,14.37,9.68,9.04,-,8.34,8.34,4.25,4.25
51,Land,-,26.5,-,28.15,-,21.52,-,10.9,-,10.31,-,10.34,-,-,-,11.79,4.47,4.47
52,Buildings,-,541.81,-,521.1,-,325.69,-,255.39,-,229.27,-,181.14,-,-,-,181.02,113.07,113.07
53,Machinery,-,579.25,-,553.48,-,488.04,-,437.43,-,374.26,-,346.33,-,-,-,304.17,1126,1126
54,Construction In Progress,-,109.08,-,136.95,-,233.96,-,229.84,-,77.64,-,48.02,-,-,-,28.21,19.71,19.71
