,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2017,Q1 2017
13,EV/FCF Ratio,-37.19,-27.26,-,-,-10.47,-,-,-,-7.62,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.65,0.65,0.81,0.72,0.49,0.45,0.40,0.41,0.13,0.12,0.15,0.18,0.40,0.50,-,0.51,0.51,0.39,0.39
15,Debt / EBITDA Ratio,3.59,3.86,3.44,3.61,1.95,2.56,2.19,2.97,0.81,0.70,0.84,1.04,1.17,1.37,-,1.41,1.48,0.86,0.86
16,Debt / FCF Ratio,-,-10.08,-,-,-2.77,-,-,-,-0.66,-,-,-,-,-4.44,-,-,-12.44,-,-
17,Asset Turnover,0.77,0.85,0.79,0.99,0.81,0.82,0.63,0.84,0.76,0.78,0.73,1.05,-,-,-,-,1.47,-,
18,Inventory Turnover,7.96,7.29,8.28,7.87,10.86,8.19,8.86,6.40,9.83,8.01,8.57,7.29,10.29,-,-,-,-,7.48,-
19,Quick Ratio,0.88,0.88,0.93,0.90,0.97,1.03,1.07,1.13,1.27,1.55,1.52,1.52,0.99,0.95,-,-,0.99,0.78,0.78
20,Current Ratio,1.09,1.09,1.11,1.12,1.14,1.22,1.24,1.32,1.47,1.78,1.71,1.73,1.13,1.12,-,-,1.12,1.11,1.11
21,Return on Equity (ROE),7.47%,9.41%,9.43%,9.11%,9.42%,10.66%,8.15%,10.91%,12.33%,11.95%,14.83%,25.48%,-,-,22.58%,-,30.77%,-,
22,Return on Assets (ROA),3.50%,3.30%,3.86%,3.80%,4.11%,3.31%,3.44%,2.19%,5.01%,4.45%,5.43%,4.58%,-,-,-,-,11.25%,-,
23,Return on Capital (ROIC),5.20%,4.96%,6.03%,6.05%,6.36%,4.93%,5.24%,3.44%,7.64%,6.73%,8.89%,8.17%,-,-,12.14%,-,17.39%,-,
24,Return on Capital Employed (ROCE),10.03%,10.03%,11.66%,11.33%,10.41%,9.19%,9.47%,9.20%,9.89%,11.09%,11.83%,12.65%,23.63%,26.39%,-,-,15.25%,18.55%,9.28%
25,Earnings Yield,4.47%,6.21%,6.84%,6.31%,5.59%,5.90%,6.31%,5.81%,6.73%,6.66%,5.72%,5.64%,-,-,-,-,-,-,-
26,FCF Yield,-3.63%,-5.05%,-17.53%,-13.68%,-11.05%,-12.68%,-13.66%,-12.50%,-12.19%,-14.19%,-8.60%,-7.08%,-,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,1.37%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,16.18%,14.17%,1.83%,35.84%,14.63%,-,98.11%,11.02%,4.08%,19.01%,96.12%,5.87%,5.29%,7.99%,99.26%,4.31%,5.00%,5.62%,5.62%
29,Buyback Yield / Dilution,-1.04%,-0.73%,2.44%,0.85%,-2.12%,-0.72%,-3.71%,-12.75%,-39.55%,-32.57%,-33.53%,-22.08%,1.70%,-4.20%,-4.43%,-,-,-,-
30,Total Shareholder Return,-1.04%,-0.73%,2.44%,0.85%,-2.12%,-0.72%,-3.71%,-12.75%,-38.19%,-32.57%,-33.53%,-22.08%,1.70%,-4.20%,-4.43%,-,-,-,-
