,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
40,Total Debt,1070,1070,1127,1089,1200,989.27,1169,1170,1202,-,1186,1123
41,Net Cash (Debt),4683,4683,5142,5337,6118,6881,7259,7532,7827,-,4804,5541
42,Net Cash Growth,-23.46%,-31.95%,-29.17%,-29.14%,-21.83%,-,51.11%,35.93%,-,-,-,-
43,Net Cash Per Share,4.07,7.37,2.83,4.42,5.27,5.90,6.26,5.92,7.44,-,4.64,5.51
44,Filing Date Shares Outstanding,1149,1199,1199,1199,1199,1199,1199,1199,1199,1014,1019,1005
45,Total Common Shares Outstanding,1149,1199,1199,1199,1199,1199,1199,1199,1199,1014,1019,1005
46,Working Capital,-,6699,7104,7547,8169,8972,9216,9555,9894,-,6970,-
47,Book Value Per Share,12.25,12.25,12.34,12.41,12.39,12.30,12.19,12.04,11.97,-,10.24,9.94
48,Tangible Book Value,14509,14509,14612,14695,14666,14558,14416,14239,14148,-,10233,9921
49,Tangible Book Value Per Share,12.10,12.10,12.19,12.26,12.23,12.14,12.02,11.87,11.80,-,10.04,9.73
50,Buildings,-,-,822.94,-,822.94,-,822.51,-,823.07,-,844.64,-
51,Machinery,-,-,4839,-,3847,-,3625,-,3524,-,3007,-
52,Construction In Progress,-,-,4238,-,3917,-,3019,-,2134,-,1520,-
