,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
26,Shares Outstanding (Diluted),62,68,62,71,74,59,51,49,51,52,51,51
27,Shares Change (YoY),-15.79%,15.15%,19.77%,44.90%,45.90%,14.50%,0.40%,-3.89%,-,-,-,-
28,EPS (Basic),-0.00,0.00,0.11,0.13,0.12,-0.02,0.10,0.06,0.14,0.33,0.57,0.34
29,EPS (Diluted),-0.00,0.00,0.11,0.13,0.12,-0.02,0.10,0.06,0.14,0.33,0.57,0.34
30,EPS Growth,-,-,9.70%,116.67%,-13.83%,-,-82.60%,-82.35%,-,-,-,-
31,Free Cash Flow,-,2.72,1.38,-22.51,-15.09,-15.63,2.98,-33.34,31.46,-25.71,-18.24,-44.37
32,Free Cash Flow Per Share,-,0.04,0.02,-0.32,-0.20,-0.26,0.06,-0.69,0.62,-0.50,-0.36,-0.88
33,Dividend Per Share,-,-,-,-,0.200,-,-,-,-,-,-,-
34,Gross Margin,267.13%,49.31%,35.09%,39.29%,23.79%,49.21%,32.35%,40.83%,26.47%,49.25%,47.92%,45.79%
35,Operating Margin,17.96%,5.92%,-7.99%,4.76%,1.62%,0.26%,4.51%,6.73%,2.73%,37.02%,38.42%,30.60%
36,Profit Margin,-0.40%,0.29%,10.59%,14.58%,12.28%,-2.49%,8.24%,5.09%,12.86%,28.76%,33.89%,27.55%
37,Free Cash Flow Margin,-,4.72%,2.19%,-35.80%,-20.93%,-35.19%,4.82%,-58.13%,57.45%,-43.20%,-21.23%,-70.99%
38,EBITDA,12.6,4.37,-3.88,3.96,2.13,0.93,3.6,4.59,1.92,22.4,33.36,19.46
39,EBITDA Margin,19.45%,7.60%,-6.15%,6.29%,2.96%,2.09%,5.83%,8.00%,3.50%,37.63%,38.84%,31.14%
40,D&A For EBITDA,0.96,0.96,1.16,0.96,0.96,0.81,0.81,0.72,0.42,0.36,0.36,0.33
41,EBIT,11.64,3.4,-5.04,2.99,1.17,0.12,2.79,3.86,1.5,22.04,33,19.12
42,EBIT Margin,17.96%,5.92%,-7.99%,4.76%,1.62%,0.26%,4.51%,6.73%,2.73%,37.02%,38.42%,30.60%
43,Effective Tax Rate,-,-,-,7.43%,5.99%,-,-,-,7.92%,10.65%,12.64%,10.22%
44,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,0.37
