,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
38,Total Debt,274.84,276.14,272.84,259.27,243.18,236.33,234.5,7.34,7.85,4.96,-,-,-,-,-,10.01,29.6,29.6
39,Net Cash (Debt),496.78,477.64,512.96,544.76,539.96,634.62,723.95,572.22,626.61,631.18,517.94,520.92,553.54,-,-,101.54,51.08,51.08
40,Net Cash Growth,-8.00%,-24.74%,-29.14%,-4.80%,-13.83%,0.54%,39.78%,9.85%,13.20%,-,-,413.04%,983.61%,-,-,-,-,-
41,Net Cash Per Share,5.78,5.86,5.82,6.71,6.65,8.04,9.05,7.19,7.87,7.85,6.55,6.46,9.22,-,-,1.68,0.85,0.85
42,Filing Date Shares Outstanding,80.79,80,80,80,80,80,79.99,80,80,80,80,80,80,61.33,58.68,60.43,60,60
43,Total Common Shares Outstanding,80.79,80,80,80,80,80,79.99,80,80,80,80,80,80,61.33,58.68,60.43,60,60
44,Working Capital,936.94,945.06,938.47,963.7,948.88,1027,1073,723.3,766.9,769.22,723.86,691.1,685.69,-,-,-,167.58,167.58
45,Book Value Per Share,14.49,14.53,14.23,14.02,13.76,13.82,13.53,11.95,11.37,11.08,10.39,9.95,9.87,-,-,5.73,4.63,4.63
46,Tangible Book Value,1144,1135,1111,1095,1073,1078,1055,927.58,881.59,869.59,813.86,778.66,772,-,-,325.92,260.65,260.65
47,Tangible Book Value Per Share,14.16,14.19,13.89,13.68,13.42,13.47,13.19,11.59,11.02,10.87,10.17,9.73,9.65,-,-,5.41,4.34,4.34
48,Buildings,-,-,59.48,-,59.48,-,59.48,-,59.48,-,-,60.56,-,-,-,-,60.39,60.39
49,Machinery,-,-,145.27,-,146.04,-,141.96,-,133.33,-,-,116.46,-,-,-,-,99.72,99.72
50,Construction In Progress,-,-,202.65,-,154.67,-,49.35,-,0.07,-,-,0.03,-,-,-,-,3.56,3.56
