,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
23,Minority Interest in Earnings,-0.04,-0.1,-0.01,0.03,0.03,-0.02,-0.02,0.01,0.06,-0.05,-0.07,0.01,-0.05,-0.02,0.01,0.02,0.06,0.06
24,Net Income,27.43,23.63,16.54,21.13,27.56,22.88,30.41,45.4,47.09,27.35,34.93,28.62,19.22,21.42,22.41,15.11,16.91,16.91
25,Net Income to Common,27.43,23.63,16.54,21.13,27.56,22.88,30.41,45.4,47.09,27.35,34.93,28.62,19.22,21.42,22.41,15.11,16.91,16.91
26,Net Income Growth,-0.47%,3.28%,-45.60%,-53.45%,-41.48%,-16.32%,-12.94%,58.61%,144.98%,27.65%,55.85%,89.45%,13.65%,26.67%,-,-,-,-
27,Shares Outstanding (Basic),81,79,79,81,81,79,80,80,80,80,79,81,60,61,59,60,60,60
28,Shares Outstanding (Diluted),86,81,88,81,81,79,80,80,80,80,79,81,60,61,59,60,60,60
29,Shares Change (YoY),5.78%,3.28%,10.19%,1.93%,1.98%,-1.89%,1.22%,-1.32%,32.60%,31.15%,34.68%,33.46%,-0.56%,1.53%,-,-,-,-
30,EPS (Basic),0.34,0.30,0.21,0.26,0.34,0.29,0.38,0.57,0.59,0.34,0.44,0.35,0.32,0.35,0.38,0.25,0.28,0.28
31,EPS (Diluted),0.32,0.29,0.19,0.26,0.34,0.29,0.38,0.57,0.59,0.34,0.44,0.35,0.32,0.35,0.38,0.25,0.28,0.28
32,EPS Growth,-5.91%,0%,-50.63%,-54.33%,-42.61%,-14.71%,-13.99%,60.72%,84.76%,-2.67%,15.71%,41.96%,14.29%,24.76%,-,-,-,-
33,Free Cash Flow,11.69,-29.91,-14.17,25.65,-63.79,-52.96,30.17,-70.06,15.64,65.76,4.83,-24.11,10.85,27.96,20.85,26.78,2.29,2.29
34,Free Cash Flow Per Share,0.14,-0.37,-0.16,0.32,-0.79,-0.67,0.38,-0.88,0.20,0.82,0.06,-0.30,0.18,0.46,0.36,0.44,0.04,0.04
35,Dividend Per Share,-,-,0.250,-,-,-,0.400,-,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-37.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,34.30%,34.12%,28.21%,37.72%,25.93%,31.99%,25.26%,43.24%,35.87%,34.73%,40.62%,37.21%,39.95%,43.00%,35.49%,38.77%,40.38%,40.38%
38,Operating Margin,20.12%,21.30%,10.52%,22.15%,12.75%,22.33%,13.30%,32.64%,16.90%,25.77%,26.19%,26.51%,25.06%,30.39%,23.38%,25.51%,26.26%,26.26%
39,Profit Margin,21.36%,20.65%,17.77%,17.10%,21.73%,19.48%,18.94%,26.62%,30.33%,20.57%,23.94%,20.27%,20.98%,21.22%,21.34%,22.22%,22.31%,22.31%
40,Free Cash Flow Margin,9.10%,-26.12%,-15.22%,20.76%,-50.29%,-45.08%,18.79%,-41.08%,10.07%,49.46%,3.31%,-17.07%,11.84%,27.70%,19.86%,39.39%,3.02%,3.02%
41,EBITDA,29.47,27.93,13.34,30.79,19.61,29.65,24.77,-,29.51,-,41.01,40.24,25.76,33.27,27.44,19.93,22.74,22.74
42,EBITDA Margin,22.95%,24.40%,14.33%,24.92%,15.46%,25.24%,15.43%,-,19.01%,-,28.11%,28.50%,28.11%,32.96%,26.13%,29.32%,29.99%,29.99%
43,D&A For EBITDA,3.63,3.55,3.55,3.41,3.44,3.41,3.41,-,3.27,-,2.8,2.8,2.8,2.59,2.89,2.59,2.83,2.83
44,EBIT,25.84,24.38,9.79,27.37,16.18,26.24,21.36,55.67,26.24,34.26,38.22,37.44,22.97,30.68,24.55,17.34,19.9,19.9
45,EBIT Margin,20.12%,21.30%,10.52%,22.15%,12.75%,22.33%,13.30%,32.64%,16.90%,25.77%,26.19%,26.51%,25.06%,30.39%,23.38%,25.51%,26.26%,26.26%
46,Effective Tax Rate,11.12%,11.29%,8.28%,10.72%,12.10%,12.81%,13.41%,13.92%,13.97%,14.12%,14.54%,14.22%,14.70%,14.19%,13.86%,14.06%,15.00%,15.00%
47,Revenue as Reported,128.43,114.47,93.1,123.56,126.85,117.47,160.58,170.58,155.25,132.95,145.92,141.21,91.64,100.94,105.02,67.99,75.8,75.8
