,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
10,EV/Sales Ratio,8.23,5.71,5.71,7.53,6.94,6.75,7.16,6.96,8.57,7.18,8.19,7.67,8.02,-,-,-,-,-,-
11,EV/EBITDA Ratio,44.73,25.85,28.55,37.19,35.01,52.46,51.52,79.37,-,37.32,-,26.24,27.78,-,-,-,-,-,-
12,EV/EBIT Ratio,55.62,30.03,33.67,43.64,40.27,32.52,33.39,31.32,33.56,30.36,31.55,28.47,30.44,-,-,-,-,-,-
13,EV/FCF Ratio,-514.03,-389.72,-,-,-60.24,-,-,103.80,-,66.53,73.13,188.45,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.18,0.23,0.24,0.24,0.23,0.22,0.21,0.22,0.01,0.01,0.01,-,-,-,-,-,0.03,0.11,0.11
15,Debt / EBITDA Ratio,2.99,2.12,2.47,3.88,2.11,2.91,1.99,2.17,-,0.06,-,-,-,-,-,-,0.13,0.33,0.33
16,Debt / FCF Ratio,-,-40.81,-,-,-4.26,-,-,5.65,-,0.13,0.09,-,-,-,-,-,0.32,6.47,12.95
17,Asset Turnover,0.33,0.30,0.24,0.33,0.34,0.31,0.49,0.61,0.57,-,0.63,0.63,-,-,-,-,0.84,-,
18,Inventory Turnover,1.58,3.35,3.19,3.10,3.65,4.05,3.20,4.29,3.11,3.18,-,4.01,4.56,-,-,-,-,3.22,-
19,Quick Ratio,1.85,7.55,10.56,8.41,7.95,7.53,7.77,6.31,4.42,4.47,4.62,6.20,6.38,7.05,-,-,-,2.35,2.35
20,Current Ratio,2.55,8.42,11.71,9.26,8.60,8.23,8.50,6.90,5.14,5.22,5.36,7.01,7.16,7.83,-,-,-,3.06,3.06
21,Return on Equity (ROE),9.41%,8.25%,5.85%,7.59%,9.97%,8.37%,11.93%,19.44%,20.92%,-,17.18%,14.41%,-,-,-,-,24.16%,-,
22,Return on Assets (ROA),4.15%,3.98%,1.61%,4.57%,2.72%,4.38%,4.04%,12.46%,6.06%,-,10.26%,10.40%,-,-,-,-,13.81%,-,
23,Return on Capital (ROIC),4.48%,4.28%,1.75%,5.02%,3.01%,4.93%,4.68%,14.78%,7.24%,-,11.73%,11.79%,-,-,-,-,16.12%,-,
24,Return on Capital Employed (ROCE),4.01%,6.00%,5.38%,5.61%,6.58%,8.84%,9.57%,10.37%,16.06%,14.86%,14.91%,15.54%,14.50%,12.08%,-,-,-,14.26%,7.13%
25,Earnings Yield,1.79%,2.86%,2.81%,2.19%,2.42%,2.79%,2.98%,3.08%,2.66%,2.90%,2.34%,2.48%,2.25%,-,-,-,-,-,-
26,FCF Yield,-0.18%,-0.22%,-2.60%,-2.62%,-1.45%,-3.47%,-1.58%,0.85%,0.28%,1.30%,1.22%,0.46%,0.87%,-,-,-,-,-,-
27,Dividend Yield,0.52%,-,-,0.50%,-,-,-,0.67%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,25.82%,72.92%,-,8.22%,-,116.12%,-,-,-,50.97%,-,-,-,-,-,0.30%,119.90%,72.50%,72.50%
29,Buyback Yield / Dilution,-5.66%,-5.78%,-3.28%,-10.19%,-1.93%,-1.98%,1.89%,-1.22%,1.32%,-32.60%,-31.15%,-34.68%,-33.46%,0.56%,-1.53%,-,-,-,-
30,Total Shareholder Return,-5.15%,-5.78%,-3.28%,-9.68%,-1.93%,-1.98%,1.89%,-0.56%,1.32%,-32.60%,-31.15%,-34.68%,-33.46%,0.56%,-1.53%,-,-,-,-
