,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
37,Gross Margin,38.60%,21.99%,21.64%,28.43%,24.62%,32.26%,25.22%,26.41%,29.03%,26.19%,37.56%
38,Operating Margin,4.60%,-0.46%,-10.99%,14.21%,5.61%,5.70%,-23.95%,11.80%,6.10%,6.57%,-93.30%
39,Profit Margin,7.51%,2.62%,-6.43%,16.92%,5.60%,5.53%,-18.06%,12.06%,5.53%,4.36%,-71.64%
40,Free Cash Flow Margin,-36.67%,-21.98%,-132.97%,63.89%,-1.31%,-16.45%,-185.50%,50.90%,-13.12%,-11.38%,-425.27%
41,EBITDA,17.28,2.51,-22.51,105.22,29.08,24.4,-37.92,90.82,27.74,30.77,-45.2
42,EBITDA Margin,6.17%,0.64%,-9.19%,14.83%,6.61%,6.97%,-21.47%,12.38%,7.20%,7.62%,-85.36%
43,D&A For EBITDA,4.4,4.31,4.4,4.4,4.43,4.43,4.39,4.26,4.23,4.23,4.2
44,EBIT,12.88,-1.8,-26.91,100.81,24.66,19.97,-42.3,86.56,23.51,26.54,-49.4
45,EBIT Margin,4.60%,-0.46%,-10.99%,14.21%,5.61%,5.70%,-23.95%,11.80%,6.10%,6.57%,-93.30%
46,Effective Tax Rate,-,-,-,11.20%,-,-,-,10.30%,3.64%,9.84%,-
47,Revenue as Reported,280.15,392.69,244.81,709.25,439.87,350.19,176.6,733.58,385.32,404.02,52.95
48,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,0.1
