,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Operating Expenses,25.01,32.31,17.32,32.45,12.99,23.46,15.93,27.49,17.89,21.08,15.3,20.2,23.94,20.16,20.16
10,Operating Income,20.29,28.53,25.98,17.18,35.06,16.94,20.95,19.69,30.58,34.98,26.48,43.61,39.88,37.32,37.32
11,Interest Expense,-0.79,-0.65,-0.61,-0.85,-0.93,-1.34,-1.04,-1.04,-1.4,-2.26,-1.96,-2.49,-2.49,-2.42,-2.42
12,Interest & Investment Income,2.77,4.71,6.29,5.93,6.05,4.82,1.35,0.57,0.17,0.16,0.08,0.12,0.12,0.4,0.4
13,Currency Exchange Gain (Loss),-2.44,2.44,-,3.7,-4.95,4.95,-,8.56,-5.02,5.02,-,-1.26,-1.26,-0.37,-0.37
14,Other Non Operating Income (Expenses),-0.6,-0.81,0.08,-0.25,-1.13,11.83,-1.55,-8.15,6.51,0.61,-0.97,-3.32,-0.09,-0.33,-0.33
15,EBT Excluding Unusual Items,19.23,34.22,31.74,25.71,34.1,37.19,19.7,19.63,30.83,38.52,23.64,36.67,36.15,34.61,34.61
16,Gain (Loss) on Sale of Investments,1.29,0.55,-,1.64,-,-,-,-,-0,-0.02,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-11.36,0.02,0.01,0,-0.36,3.45,-,1.07,0.14,7.16,0.57,0.07,0.07,0.07,0.07
18,Asset Writedown,-1.11,0.38,-0.38,0.23,-0.25,-0.29,0.29,-1.62,1.51,-5.77,0.23,-0.86,-0.86,-0.73,-0.73
19,Other Unusual Items,-1.84,0.94,0.09,-2.47,-0.7,0.7,-,8.51,-0.06,0.06,-,5.29,5.81,0.84,0.84
20,Pretax Income,6.21,36.11,31.47,25.11,32.78,41.06,19.99,27.58,32.43,39.94,24.44,41.17,41.17,34.79,34.79
21,Income Tax Expense,0.48,4.63,3.69,3.81,3.57,5.38,2.24,2.33,4.39,4.69,3.18,5.74,5.74,4.73,4.73
22,Earnings From Continuing Operations,5.73,31.48,27.78,21.3,29.21,35.68,17.75,25.26,28.03,35.26,21.27,35.43,35.43,30.06,30.06
23,Minority Interest in Earnings,0.36,0.6,0.05,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,6.09,32.08,27.82,21.3,29.21,35.68,17.75,25.26,28.03,35.26,21.27,35.43,35.43,30.06,30.06
25,Net Income to Common,6.09,32.08,27.82,21.3,29.21,35.68,17.75,25.26,28.03,35.26,21.27,35.43,35.43,30.06,30.06
26,Net Income Growth,-79.15%,-10.09%,56.79%,-15.68%,4.20%,1.21%,-16.55%,-28.72%,-20.89%,17.28%,-29.26%,-,-,-,-
27,Shares Outstanding (Basic),115,116,116,117,116,113,89,87,88,85,89,87,87,87,87
28,Shares Outstanding (Diluted),115,116,116,117,116,113,89,87,88,85,89,87,87,87,87
29,Shares Change (YoY),-0.76%,2.82%,30.66%,34.50%,32.69%,32.33%,0.13%,0.28%,0.85%,-2.10%,1.69%,-,-,-,-
30,EPS (Basic),0.05,0.28,0.24,0.18,0.25,0.32,0.20,0.29,0.32,0.41,0.24,0.41,0.41,0.34,0.34
31,EPS (Diluted),0.05,0.28,0.24,0.18,0.25,0.32,0.20,0.29,0.32,0.41,0.24,0.41,0.41,0.34,0.34
32,EPS Growth,-80.42%,-12.55%,20.00%,-37.31%,-21.47%,-23.52%,-16.67%,-28.53%,-21.55%,19.79%,-30.43%,-,-,-,-
33,Free Cash Flow,-32.03,-3.29,-21.81,-0.97,27.19,-16.62,41.86,51.54,55.68,1.69,-2.16,11.95,11.95,-11.86,-11.86
34,Free Cash Flow Per Share,-0.28,-0.03,-0.19,-0.01,0.23,-0.15,0.47,0.59,0.64,0.02,-0.02,0.14,0.14,-0.14,-0.14
35,Dividend Per Share,-,-,-,0.300,-,-,-,0.300,-,-,-,-,-,-,-
36,Gross Margin,24.23%,29.65%,26.26%,25.63%,28.45%,21.89%,22.72%,24.98%,27.26%,26.43%,26.63%,28.33%,28.33%,30.27%,30.27%
37,Operating Margin,10.85%,13.90%,15.75%,8.87%,20.76%,9.18%,12.91%,10.42%,17.20%,16.49%,16.88%,19.36%,17.71%,19.65%,19.65%
38,Profit Margin,3.26%,15.63%,16.87%,11.00%,17.29%,19.34%,10.93%,13.37%,15.77%,16.62%,13.56%,15.73%,15.73%,15.83%,15.83%
39,Free Cash Flow Margin,-17.14%,-1.60%,-13.22%,-0.50%,16.10%,-9.01%,25.79%,27.28%,31.32%,0.80%,-1.38%,5.31%,5.31%,-6.24%,-6.24%
40,EBITDA,32.39,41.49,38.09,29.29,46.69,28.9,32.58,31.33,40.07,46.5,35.97,53.54,49.64,46.46,46.46
41,EBITDA Margin,17.33%,20.22%,23.09%,15.12%,27.65%,15.66%,20.08%,16.58%,22.54%,21.92%,22.93%,23.77%,22.04%,24.46%,24.46%
42,D&A For EBITDA,12.11,12.95,12.11,12.11,11.63,11.97,11.63,11.63,9.49,11.51,9.49,9.93,9.76,9.13,9.13
43,EBIT,20.29,28.53,25.98,17.18,35.06,16.94,20.95,19.69,30.58,34.98,26.48,43.61,39.88,37.32,37.32
44,EBIT Margin,10.85%,13.90%,15.75%,8.87%,20.76%,9.18%,12.91%,10.42%,17.20%,16.49%,16.88%,19.36%,17.71%,19.65%,19.65%
45,Effective Tax Rate,7.72%,12.82%,11.72%,15.17%,10.89%,13.10%,11.23%,8.43%,13.55%,11.74%,13.00%,13.93%,13.93%,13.59%,13.59%
46,Revenue as Reported,186.91,205.22,164.93,193.63,168.9,184.52,162.31,188.92,177.79,212.09,156.87,830.26,-,-,-
