,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Other Non Operating Income (Expenses),1.08,2.38,-3.14,0.11,-0.08,1.4,2.43,-3.42,-46.66,47.35,-0.42,-2.28,3.67,1.6,-5.36,-0.02
13,EBT Excluding Unusual Items,-5.82,45.75,66.04,168.76,82.36,36.6,21.57,63.69,18.13,21.03,91.74,28.89,5.71,10.38,30.57,79.02
14,Gain (Loss) on Sale of Investments,-4.68,0.2,-0.38,4.86,4.56,0.34,2.29,1.96,1.95,0.08,-0.1,0.29,0.29,0.16,0.21,0.22
15,Gain (Loss) on Sale of Assets,-0,0,-0,0,-0.01,0.01,-0.01,-,-,-,-,0.01,-,-,-,-
16,Asset Writedown,2.04,-2.04,0.38,-0.38,6.7,-26.23,3.45,-3.45,0.46,-0.46,-0.13,0.13,0.53,-0.43,-0.1,-
17,Other Unusual Items,-,-0.57,0.55,0.02,4.54,-,-,-,2.47,-,-,-,11.24,-,-1.03,1.03
18,Pretax Income,-8.45,43.35,66.58,173.26,98.15,10.72,27.3,62.2,23.01,20.66,91.52,29.33,17.78,10.11,29.65,80.27
19,Income Tax Expense,-9.54,5,6.41,27.18,10.74,1.59,3.7,8.38,0.02,1.53,9.3,2.97,2.43,0.73,3.22,11.27
20,Earnings From Continuing Operations,1.09,38.34,60.18,146.09,87.41,9.13,23.59,53.82,22.99,19.12,82.21,26.35,15.35,9.38,26.43,69
21,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-0,0,0,-,-,-,0.09
22,Net Income,1.09,38.34,60.18,146.09,87.41,9.13,23.59,53.82,22.99,19.12,82.21,26.35,15.35,9.38,26.43,69.09
23,Net Income to Common,1.09,38.34,60.18,146.09,87.41,9.13,23.59,53.82,22.99,19.12,82.21,26.35,15.35,9.38,26.43,69.09
24,Net Income Growth,-98.76%,320.08%,155.06%,171.44%,280.17%,-52.27%,-71.30%,104.21%,49.76%,103.79%,211.09%,-61.85%,-,-,-,-
25,Shares Outstanding (Basic),135,136,135,137,138,134,137,135,99,182,103,101,102,102,102,102
26,Shares Outstanding (Diluted),135,136,137,137,138,134,137,135,99,182,103,101,102,102,102,102
27,Shares Change (YoY),-1.92%,1.67%,-0.30%,1.47%,39.14%,-26.39%,32.46%,32.74%,-2.91%,77.99%,1.83%,-0.23%,-,-,-,-
28,EPS (Basic),0.01,0.28,0.45,1.07,0.63,0.07,0.17,0.40,0.23,0.11,0.79,0.26,0.15,0.09,0.26,0.68
29,EPS (Diluted),0.01,0.28,0.44,1.07,0.63,0.07,0.17,0.40,0.23,0.11,0.79,0.26,0.15,0.09,0.26,0.68
30,EPS Growth,-98.73%,313.16%,155.82%,167.50%,173.23%,-35.15%,-78.33%,53.85%,54.25%,14.50%,205.50%,-61.76%,-,-,-,-
31,Free Cash Flow,-,52.31,30.18,112.87,210.81,30.55,35.97,-34.45,57.67,-13.67,17.43,7.29,51.17,-11.71,0.75,2.3
32,Free Cash Flow Per Share,-,0.38,0.22,0.83,1.53,0.23,0.26,-0.26,0.58,-0.08,0.17,0.07,0.50,-0.11,0.01,0.02
33,Dividend Per Share,-,-,-,-,0.400,-,-,-,0.166,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,140.96%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,198.69%,80.22%,76.24%,83.55%,69.21%,118.35%,51.59%,65.79%,55.43%,59.88%,63.98%,65.52%,72.12%,71.45%,78.08%,79.08%
36,Operating Margin,15.78%,36.07%,43.00%,57.70%,38.02%,54.69%,13.96%,45.07%,11.59%,-2.88%,37.57%,43.49%,18.41%,16.84%,42.09%,58.55%
37,Profit Margin,1.08%,38.44%,43.15%,51.87%,43.80%,16.64%,26.49%,40.01%,16.90%,31.48%,45.60%,37.92%,24.55%,19.85%,30.00%,53.56%
38,Free Cash Flow Margin,-,52.44%,21.64%,40.08%,105.63%,55.69%,40.39%,-25.61%,42.37%,-22.51%,9.67%,10.49%,81.84%,-24.76%,0.85%,1.79%
39,EBITDA,21.34,41.46,64.66,167.98,81.36,34.12,17.91,64.74,20.52,1.55,71.68,34.07,14.82,9.31,39.27,77.71
40,EBITDA Margin,21.23%,41.56%,46.36%,59.65%,40.76%,62.21%,20.11%,48.13%,15.08%,2.55%,39.76%,49.03%,23.69%,19.70%,44.57%,60.24%
41,D&A For EBITDA,5.48,5.48,4.7,5.48,5.48,4.12,5.48,4.12,4.75,3.3,3.94,3.85,3.3,1.35,2.18,2.18
42,EBIT,15.86,35.98,59.96,162.5,75.88,30,12.43,60.62,15.77,-1.75,67.75,30.22,11.51,7.96,37.08,75.53
43,EBIT Margin,15.78%,36.07%,43.00%,57.70%,38.02%,54.69%,13.96%,45.07%,11.59%,-2.88%,37.57%,43.49%,18.41%,16.84%,42.09%,58.55%
44,Effective Tax Rate,-,11.54%,9.62%,15.69%,10.94%,14.82%,13.56%,13.48%,0.07%,7.43%,10.16%,10.13%,13.64%,7.20%,10.86%,14.04%
45,Revenue as Reported,-,99.76,139.45,281.61,199.58,54.86,89.07,134.51,136.08,-,180.3,69.5,62.53,264.37,-,-
