,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
25,Long-Term Leases,-,0.52,0.9,1.41,1.04,-,1.48,2,2.49,2.17,1.59,0.35,0.52,-,-,-
26,Long-Term Unearned Revenue,-,3.55,3.97,4.33,4.8,-,5.48,5.81,6.33,6.88,6.29,6.65,6.99,-,-,-
27,Long-Term Deferred Tax Liabilities,-,2.07,2.24,2.66,2.58,-,1.63,1.34,1.31,-,0.03,0,0.05,-,-,-
28,Total Liabilities,-,126.42,128.53,187.52,223.65,-,86.27,121.76,253.24,112.07,108.78,61.91,59.7,-,-,-
29,Common Stock,-,136.46,136.06,136.06,136.06,-,136.06,136.06,136.06,136.06,102.04,102.04,102.04,-,-,-
30,Additional Paid-In Capital,-,1040,1027,1026,1024,-,1022,1022,1022,1022,255.67,255.67,255.67,-,-,-
31,Retained Earnings,-,872.69,834.35,828.59,682.51,-,585.97,584.97,531.15,508.16,489.03,406.82,380.46,-,-,-
32,Treasury Stock,-,-0.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,-4.52,-3.91,-0.96,-1.02,-,1.44,-,-,-,-,-,-,-,-,-
34,Total Common Equity,2044,2044,1994,1990,1842,-,1746,1743,1689,1666,846.74,764.52,738.17,-,-,667.65
35,Minority Interest,-,-,-,-,-,-,-,-,-,-,-0,-0,-,-,-,-
36,Shareholders' Equity,2044,2044,1994,1990,1842,-,1746,1743,1689,1666,846.74,764.52,738.17,-,-,668.01
37,Total Liabilities & Equity,-,2170,2122,2177,2066,-,1832,1865,1943,1778,955.52,826.44,797.87,-,-,-
38,Total Debt,2.12,2.12,2.61,3.03,3,-,4.34,5.21,23.12,22.34,13.61,11.12,1.4,-,-,8.8
39,Net Cash (Debt),1860,1860,1798,1816,1694,-,1445,1429,1480,1430,612.12,571.83,565.59,-,-,587.53
40,Net Cash Growth,9.78%,-,24.42%,27.10%,14.45%,-,136.09%,149.84%,161.71%,-,-,-2.67%,-,-,-,-
41,Net Cash Per Share,13.75,13.65,13.16,13.30,12.28,-,10.54,10.62,14.93,7.85,5.92,5.64,5.54,-,-,5.78
42,Filing Date Shares Outstanding,136.46,136.28,136.06,136.06,136.06,134.03,136.06,136.06,136.06,136.06,102.04,102.04,102.04,102.31,101.63,101.6
43,Total Common Shares Outstanding,136.46,136.28,136.06,136.06,136.06,134.03,136.06,136.06,136.06,136.06,102.04,102.04,102.04,102.31,101.63,101.6
44,Working Capital,-,1851,1802,1798,1657,-,1541,1545,1494,1512,694.22,622.75,595.68,-,-,-
45,Book Value Per Share,15.00,15.00,14.65,14.62,13.54,-,12.83,12.81,12.42,12.25,8.30,7.49,7.23,-,-,6.54
46,Tangible Book Value,2037,2037,1987,1983,1835,-,1738,1736,1682,1659,839.37,757.09,730.68,-,-,664.16
47,Tangible Book Value Per Share,14.95,14.95,14.60,14.57,13.49,-,12.78,12.76,12.36,12.19,8.23,7.42,7.16,-,-,6.51
48,Buildings,-,-,97.96,-,97.96,-,97.96,-,94.67,-,-,85.61,85.39,-,-,-
49,Machinery,-,-,89.07,-,86.21,-,100.87,-,77.17,-,-,61.45,61.21,-,-,-
50,Construction In Progress,-,-,-,-,-,-,0.64,-,-,-,-,0.2,0.2,-,-,-
