,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
9,Prepaid Expenses,-,-,-,0.54,-,-,-,0.78,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,231.2,4.6,227.92,5.05,24.9,7.98,20.92,10.6,15.56,4.73,17.96,10.37,22.83,19.73,22.26,8.04,17.4,7.38,-,14.1
11,Total Current Assets,920.46,920.38,945.7,1152,859.55,885.7,871.2,853.38,851.99,810.72,820.39,801.13,769.76,689.61,717.06,181.95,164.54,188.35,-,166.83
12,"Property, Plant & Equipment",675.53,641.8,602.71,575.6,563.29,520.36,499.63,498.56,431.09,406.69,380.55,393.75,363.88,307.56,278.55,230.56,193.93,186.43,-,172.88
13,Long-Term Investments,279.6,277.58,295.78,293.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Goodwill,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83,16.3,7.96,7.96,7.96,7.96,7.96,-,7.96
15,Other Intangible Assets,34.2,35.28,36.42,37.17,38.29,39.41,40.41,39.41,40.01,40.95,41.95,42.86,41.01,16.71,16.78,17.03,16.86,17.09,-,17.58
16,Long-Term Deferred Tax Assets,12.04,11.59,12.38,12.11,16.19,15.72,13.98,12.22,9.96,8.9,8.32,7.46,7.77,7.26,7.08,7.3,3.21,3.29,-,3.28
17,Long-Term Deferred Charges,25.54,27.83,38.73,31.2,34.01,34.18,36.63,33.35,33.43,34.77,35.86,36.16,34.87,-,40.05,25.47,25.64,27.28,-,27.73
18,Other Long-Term Assets,10.13,17.25,12.99,18.34,72.38,16.7,7.92,11.26,36.76,48.32,40.94,25.93,40.07,119.19,14.41,21.39,46.44,14.74,-,10.72
19,Total Assets,1982,1957,1970,2145,1609,1537,1495,1473,1428,1375,1353,1332,1274,1148,1082,491.67,458.56,445.14,-,406.98
20,Accounts Payable,77.56,67.16,57.45,84.07,88.99,67.82,57.02,60.1,50.48,50.23,51.94,48.97,50.82,21.67,25.45,15.37,0.13,0.48,-,16.89
21,Accrued Expenses,14.51,19.31,14.13,22.88,13.31,16.74,13.15,18.18,11.75,14.72,11.28,21.71,10.49,10.34,8.4,12.94,19.94,19.61,-,11.74
22,Short-Term Debt,3,3,3,3,-,-,-,8,-,-,-,-,20,38.21,-,-,19,20,-,-
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,18.63,1.35,17.88,1.5,-,-,-,-,-,-,-,-
24,Current Portion of Leases,16.34,17.46,15.5,18.29,17.1,17.8,17.55,18.1,-,16.5,-,16.1,11.6,9.66,-,-,-,-,-,-
25,Current Income Taxes Payable,13.82,7.23,10.85,4.84,11.97,6.27,5.13,2.01,10.03,6.08,9.01,2.73,9.24,3.87,3.29,6.71,2.72,2.21,-,5.98
26,Current Unearned Revenue,20.14,17.76,19.99,24.66,25.04,26.92,30.1,25.16,26.44,23.36,18.79,17.94,17.02,6.19,7.41,7.46,7.11,8.06,-,7.58
27,Other Current Liabilities,27.07,27.24,36.42,40.6,41.47,43.37,53.97,57.89,56.16,50.04,46.37,48.66,27.87,2.07,0.33,1.01,2.04,8.85,-,0.1
28,Total Current Liabilities,172.44,159.16,157.34,198.35,197.87,178.92,176.93,189.44,173.48,162.28,155.27,157.62,147.04,92.01,44.88,43.5,50.93,59.21,-,42.29
29,Long-Term Debt,502.93,496.66,490.48,484.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,54.07,56.25,51.1,52.41,58.09,60.97,55.14,58,62.25,60.69,62.5,65.96,51.36,52.97,39.52,-,-,-,-,-
31,Long-Term Unearned Revenue,9.49,11.01,12.93,14.89,16.84,18.8,20.76,22.91,24.27,26.34,28.26,28.18,29.99,31.45,33.26,35.08,9.52,10.3,-,11.86
32,Long-Term Deferred Tax Liabilities,7.01,7.49,7.76,7.98,8.51,7.94,8.07,8.17,3.76,4.03,3.91,4.03,4.7,0.52,-,-,-,-,-,-
33,Total Liabilities,745.94,730.58,719.6,757.99,281.32,266.63,260.89,278.52,263.76,253.35,249.95,255.79,233.09,176.95,117.67,78.58,60.45,69.51,-,54.14
34,Common Stock,161.23,161.23,113.54,113.54,113.79,113.79,113.79,113.79,113.96,113.47,66.75,66.75,65.1,65.1,65.1,48.83,48.83,48.83,-,48.83
35,Additional Paid-In Capital,551.9,550.4,597.97,596.02,600.04,597.68,593.63,587.71,585.7,575.9,619.9,616.93,575.56,575.56,575.56,52.67,52.67,52.67,-,52.67
36,Retained Earnings,708.82,658.54,641.76,600.73,569.22,518.1,501.66,471.18,447.18,408.38,394.5,372.12,352.5,328.24,323.56,311.6,296.62,274.14,-,251.34
37,Treasury Stock,-317.39,-277.38,-235.54,-51.98,-33.1,-33.1,-45.21,-45.21,-47.76,-40.58,-41.08,-41.08,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,52.7,52.7,52.7,52.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,1157,1145,1170,1311,1250,1196,1164,1127,1099,1057,1040,1015,993.16,968.9,964.22,413.09,398.11,375.64,352.84,352.84
40,Minority Interest,79.13,80.49,79.5,76.31,77.27,73.8,69.84,67,65.23,64.67,62.82,61.6,47.4,2.43,-,-,-,-,-,-
41,Shareholders' Equity,1236,1226,1250,1387,1327,1270,1234,1194,1164,1122,1103,1076,1041,971.33,964.22,413.09,398.11,375.64,352.84,352.84
42,Total Liabilities & Equity,1982,1957,1970,2145,1609,1537,1495,1473,1428,1375,1353,1332,1274,1148,1082,491.67,458.56,445.14,-,406.98
43,Total Debt,576.34,573.38,560.07,558.06,75.19,78.77,72.69,84.1,80.88,78.54,80.39,83.57,82.96,100.84,39.52,-,19,20,-,-
44,Net Cash (Debt),-293.88,-60.24,-192.26,240.45,422.98,468.18,490.9,483.91,482.77,463.92,499.2,494.56,483.98,468.6,572.3,88.2,55.83,85.34,87.39,87.39
45,Net Cash Growth,-,-,-,-50.31%,-12.38%,0.92%,-1.66%,-2.15%,-0.25%,-1.00%,-12.77%,460.70%,766.91%,449.13%,554.88%,0.93%,-,-,-,-
46,Net Cash Per Share,-1.72,-0.35,-1.07,1.45,2.58,2.87,3.03,3.11,2.93,2.82,3.03,3.08,3.02,2.92,3.89,0.73,0.46,0.71,0.73,0.73
47,Filing Date Shares Outstanding,149.79,152.76,157.24,161.5,163.61,163.36,160.46,150.78,164.57,164.49,160.47,160.47,160.47,160.47,160.47,120.35,120.35,120.35,120.31,120.35
48,Total Common Shares Outstanding,149.79,152.76,157.24,161.5,163.61,163.36,160.46,150.78,164.57,164.49,160.47,160.47,160.47,160.47,160.47,120.35,120.35,120.35,120.31,120.35
49,Working Capital,748.02,761.22,788.36,954.05,661.68,706.78,694.27,663.94,678.51,648.43,665.12,643.5,622.72,597.6,672.17,138.46,113.6,129.14,-,124.55
50,Book Value Per Share,7.73,7.50,7.44,8.12,7.64,7.32,7.25,7.48,6.68,6.43,6.48,6.32,6.19,6.04,6.01,3.43,3.31,3.12,2.93,2.93
51,Tangible Book Value,1098,1085,1109,1249,1187,1132,1099,1063,1034,991.38,973.29,947.04,935.86,944.24,939.48,388.1,373.3,350.59,327.31,327.31
52,Tangible Book Value Per Share,7.33,7.11,7.05,7.73,7.25,6.93,6.85,7.05,6.28,6.03,6.07,5.90,5.83,5.88,5.85,3.22,3.10,2.91,2.72,2.72
53,Buildings,-,132.91,-,132.91,-,132.91,-,132.91,-,132.91,-,132.91,-,91.28,-,-,-,-,-,-
54,Machinery,-,493.49,-,481.36,-,460.72,-,441.87,-,405.49,-,389.68,-,335.78,-,298.9,288.38,282.5,-,273.19
55,Construction In Progress,-,245.24,-,175.67,-,112.78,-,100.69,-,30.74,-,8.44,-,9.47,-,106.07,73.31,65.09,-,47.62
