,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
37,Operating Margin,4.53%,3.50%,12.82%,-26.10%,7.31%,-2.57%,7.80%,-24.69%,8.12%,-7.21%,7.81%,24.73%,16.54%
38,Profit Margin,3.78%,3.62%,12.17%,-19.27%,11.42%,-0.64%,8.32%,-19.01%,14.05%,-2.87%,9.59%,20.20%,18.30%
39,Free Cash Flow Margin,-,-26.59%,-8.64%,-97.75%,5.32%,-0.38%,-9.04%,-60.18%,3.67%,-12.81%,-6.44%,-33.41%,16.68%
40,EBITDA,14.94,8.95,39.74,-11.93,23.91,-0.73,18.84,-11.17,29,-3.53,9.24,21.31,64.01
41,EBITDA Margin,5.17%,4.40%,13.53%,-22.62%,7.92%,-0.80%,8.60%,-21.55%,8.60%,-5.06%,9.47%,26.61%,16.94%
42,D&A For EBITDA,1.84,1.84,2.11,1.84,1.84,1.63,1.75,1.63,1.63,1.5,1.62,1.5,1.5
43,EBIT,13.1,7.11,37.63,-13.77,22.07,-2.36,17.09,-12.8,27.37,-5.04,7.62,19.8,62.51
44,EBIT Margin,4.53%,3.50%,12.82%,-26.10%,7.31%,-2.57%,7.80%,-24.69%,8.12%,-7.21%,7.81%,24.73%,16.54%
45,Effective Tax Rate,-,7.61%,7.38%,-,1.92%,-,2.42%,-,6.03%,-,9.51%,13.61%,10.50%
46,Revenue as Reported,-,203.22,293.64,52.74,302.03,91.96,219.01,51.83,337.2,69.87,97.65,80.07,377.94
