,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q4 2019,Q4 2018,Q2 2014,Q1 2014,Q2 2013,Q1 2013,Q4 2010
25,Additional Paid-In Capital,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,-,-,-,2790,-,2790,-,-,-,2920
26,Retained Earnings,-144936,-125244,-125920,-125724,-128126,-125049,-128395,-132087,-136520,-130372,-,-,-,-137422,-,-128852,-,-,-,17723
27,Treasury Stock,-3547,-3547,-3547,-3547,-3547,-3547,-3547,-3547,-3547,-3547,-,-,-,-3547,-,-3547,-,-,-,-
28,Shareholders' Equity,227808,247500,246824,247019,244618,247695,244348,240657,236224,242372,-,-,-,235322,-,243892,-,-,-,394143
29,Total Liabilities & Equity,255581,403138,402007,402286,400114,402793,399669,395890,391621,397412,-,-,-,281557,-,276377,-,-,-,618509
30,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166680
31,Net Cash (Debt),112323,108093,92308,60469,43848,48480,24227,24604,15363,12667,-,-,-,46501,-,11287,-,-,-,-13423
32,Net Cash Growth,156.16%,122.96%,281.01%,145.77%,185.41%,282.72%,-,-,-,-72.76%,-,-,-,-,-,-,-,-,-,-
33,Net Cash Per Share,3045.91,2878.43,2359.89,1652.54,1182.83,1318.23,656.30,666.03,417.33,343.34,-,-,-,1257.86,-,-,-,-,-,-
34,Filing Date Shares Outstanding,36.88,37.55,39.12,36.59,37.07,36.78,36.92,36.94,36.81,36.89,36.9,36.73,36.87,36.97,36.98,-,-,-,-,-
35,Total Common Shares Outstanding,36.88,37.55,39.12,36.59,37.07,36.78,36.92,36.94,36.81,36.89,36.9,36.73,36.87,36.97,36.98,-,-,-,-,-
36,Working Capital,90129,-33817,-47020,-81795,-73738,44155,40861,37307,33050,35875,-,-,-,38357,-,53348,-,-,-,193239
37,Book Value Per Share,6177.56,6590.72,6310.12,6750.77,6598.76,6735.15,6619.16,6514.50,6416.75,6569.40,-,-,-,6365.48,-,-,-,-,-,-
38,Tangible Book Value,227808,247500,246824,247019,244618,247695,244348,240657,236224,242372,-,-,-,235322,-,243892,-,-,-,394129
39,Tangible Book Value Per Share,6177.56,6590.72,6310.12,6750.77,6598.76,6735.15,6619.16,6514.50,6416.75,6569.40,-,-,-,6365.48,-,-,-,-,-,-
40,Construction In Progress,33135,181396,181220,181073,180979,186225,186049,185788,185488,183329,-,-,-,154470,-,125490,-,-,-,116313
