,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Other Long-Term Assets,-,22.25,24.25,19.18,42.58,54.63,56.74,56.61,51.01,80.9,41.18,39.92,37.45,-,-,-
17,Total Assets,-,1442,1437,1425,1442,1483,1507,1473,1467,1437,1485,619.9,564.04,-,-,-
18,Accounts Payable,-,90.43,47.82,66.83,58.82,86.84,56.47,63.84,30.76,38.25,33,41.92,24.96,-,-,-
19,Accrued Expenses,-,8.86,45.33,19.07,47.98,8.41,42.91,19.15,50.81,11.78,49.76,52.34,59.24,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,0.37,0.37,-,-,-
21,Current Portion of Leases,-,5.67,-,7.25,6.49,5.35,7.26,8.07,6.24,6.73,6.09,4.24,3.19,-,-,-
22,Current Income Taxes Payable,-,1.02,0.14,2.18,0.02,0.69,0.02,2.4,-,1.57,-,5.82,3.76,-,-,-
23,Current Unearned Revenue,-,1.63,1.37,3.19,3.7,6.05,7.22,3.28,2.73,4.21,3.02,4.4,8.91,-,-,-
24,Other Current Liabilities,-,4.36,10.1,3.87,4.34,4.43,5.11,3.89,5.13,3.82,4.85,2.95,3.7,-,-,-
25,Total Current Liabilities,-,111.99,104.77,102.39,121.35,111.76,118.99,100.63,95.67,66.36,96.71,112.05,104.13,-,-,-
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,2.42,2.51,-,-,-
27,Long-Term Leases,-,11.52,12.82,14.95,11.1,14.45,13.2,16.04,15.71,18.41,18.83,21.17,4.72,-,-,-
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-,-,-
29,Long-Term Deferred Tax Liabilities,-,1.95,1.72,1.39,1.35,1.25,1.88,0.79,0.17,0.14,-,0.01,0,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,0.78,0.77,-,-,-
31,Total Liabilities,-,125.46,119.3,118.73,133.8,127.46,134.07,117.45,111.55,84.91,115.54,136.42,112.29,-,-,-
32,Common Stock,-,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,51.79,51.79,-,-,-
33,Additional Paid-In Capital,-,1030,1016,1032,1027,1026,1019,1012,1006,1003,999.48,152.3,149.16,-,-,-
34,Retained Earnings,-,251.77,261.54,272.43,272.15,276.88,292.54,288.91,291.22,288.46,305.3,282.43,253.26,-,-,-
35,Treasury Stock,-,-2,-2,-45.36,-42.19,-3.26,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1349,1349,1344,1328,1326,1369,1380,1370,1367,1360,1374,486.52,454.21,-,-,203.83
37,Minority Interest,-,-32.41,-26.96,-22.01,-18.1,-12.82,-7.55,-14.43,-11.45,-7.73,-4.37,-3.04,-2.46,-,-,-
38,Shareholders' Equity,1316,1316,1317,1306,1308,1356,1373,1356,1355,1352,1369,483.48,451.75,-,-,203.59
39,Total Liabilities & Equity,-,1442,1437,1425,1442,1483,1507,1473,1467,1437,1485,619.9,564.04,-,-,-
40,Total Debt,17.19,17.19,12.82,22.2,17.59,19.8,20.46,24.1,21.95,25.14,24.92,28.21,10.79,-,-,3.25
41,Net Cash (Debt),915.98,915.98,940.4,935.04,946.24,943.74,966.1,968.05,982.67,954.01,1004,180.72,264.14,-,-,135.35
42,Net Cash Growth,-3.20%,-2.94%,-2.66%,-3.41%,-3.71%,-1.08%,-3.74%,435.65%,272.03%,-,-,33.53%,-,-,-,-
43,Net Cash Per Share,12.91,14.69,13.07,13.45,13.98,12.97,15.33,14.03,14.05,13.74,17.46,3.47,5.10,-,-,2.60
44,Filing Date Shares Outstanding,70.94,62.33,67.92,68.01,68.14,69.05,69.05,69.05,69.05,69.05,69.05,51.79,51.79,51.59,51.61,52.06
45,Total Common Shares Outstanding,70.94,62.33,67.92,68.01,68.14,69.05,69.05,69.05,69.05,69.05,69.05,51.79,51.79,51.59,51.61,52.06
46,Working Capital,-,1164,1164,1152,1154,1208,1219,1224,1227,1225,1291,425.76,400.08,-,-,-
47,Book Value Per Share,21.63,21.63,19.79,19.53,19.46,19.82,19.99,19.85,19.79,19.70,19.90,9.39,8.77,-,-,3.94
48,Tangible Book Value,1320,1320,1316,1299,1297,1339,1350,1368,1364,1357,1371,483.82,451.22,-,-,202.77
49,Tangible Book Value Per Share,21.18,21.18,19.37,19.11,19.03,19.39,19.55,19.81,19.75,19.66,19.86,9.34,8.71,-,-,3.92
50,Buildings,-,-,77.48,-,58.21,-,44.28,-,44.28,-,4.98,4.98,4.98,-,-,-
51,Machinery,-,-,26.26,-,24.48,-,22.03,-,18.21,-,11.97,9.93,9.33,-,-,-
