,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,EV/FCF Ratio,-164.45,-,119.66,-,-97.70,-82.32,-,-,-67.59,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.41,0.41,0.40,0.39,0.38,0.35,0.31,0.34,0.07,0.07,0.08,0.03,0.03,0.04,0.06,0.13,-,-,0.16,0.13
16,Debt / EBITDA Ratio,3.57,1.92,2.34,2.11,-,2.30,1.97,2.35,0.47,0.59,0.74,0.27,0.16,0.20,0.30,0.23,-,-,0.26,0.46
17,Debt / FCF Ratio,-,-,26.14,-,-11.86,-6.91,-,-,-0.60,-,-,-,-,-,-,-,-,-,12.53,-
18,Asset Turnover,0.94,0.89,0.93,0.94,1.01,0.91,0.96,1.26,1.14,1.11,1.01,1.40,1.24,1.58,2.17,-,-,-,-,
19,Inventory Turnover,9.19,9.48,8.80,9.14,10.20,8.39,7.61,7.39,8.57,8.36,8.39,6.38,9.04,8.96,9.91,9.95,-,-,-,-
20,Quick Ratio,2.33,2.33,2.82,3.05,2.94,2.77,3.32,2.84,1.27,1.47,1.66,2.35,2.11,2.77,3.19,0.60,1.02,-,1.07,-
21,Current Ratio,2.98,2.98,3.41,3.89,3.46,3.53,4.19,3.45,1.78,2.14,2.22,3.26,2.76,3.52,3.89,1.20,1.56,-,1.67,-
22,Return on Equity (ROE),10.58%,9.19%,12.15%,-13.80%,8.02%,9.46%,8.70%,8.25%,5.88%,5.99%,7.94%,17.71%,13.19%,20.07%,42.50%,-,-,47.78%,-,
23,Return on Assets (ROA),6.81%,4.20%,5.67%,-6.65%,5.08%,4.49%,5.21%,3.47%,4.82%,2.82%,4.90%,8.26%,8.78%,11.40%,21.97%,-,-,-,-,
24,Return on Capital (ROIC),7.63%,4.70%,6.41%,-7.63%,5.81%,5.14%,6.25%,4.23%,5.64%,3.28%,5.87%,10.05%,10.40%,14.14%,31.82%,-,-,31.50%,-,
25,Return on Capital Employed (ROCE),4.10%,4.62%,3.74%,3.73%,-,7.46%,6.99%,5.80%,7.50%,9.74%,11.52%,13.67%,16.20%,17.03%,18.87%,43.38%,42.60%,-,17.65%,-
26,Earnings Yield,1.68%,1.94%,2.12%,1.79%,0.89%,1.87%,1.57%,0.86%,0.88%,1.27%,1.23%,1.72%,1.27%,1.07%,1.12%,-,-,-,-,-
27,FCF Yield,-0.61%,-0.70%,0.81%,-1.71%,-0.98%,-1.18%,-1.80%,-1.39%,-1.45%,-2.03%,-1.79%,-2.52%,-1.89%,-1.29%,-0.74%,-,-,-,-,-
28,Dividend Yield,0.95%,1.94%,-,-,1.05%,-,-,-,0.54%,-,-,-,0.39%,-,-,-,-,-,-,-
29,Payout Ratio,79.82%,2.34%,147.32%,5.40%,-,0.51%,146.32%,1.35%,1.53%,2.70%,278.93%,0.02%,-,0.08%,133.58%,0.07%,0.23%,0.74%,89.59%,4.16%
30,Buyback Yield / Dilution,12.41%,0.81%,12.11%,-0.00%,23.66%,-2.76%,-12.85%,-7.77%,-29.04%,-0.14%,-9.04%,-33.35%,-35.50%,-33.43%,-21.94%,-0.12%,-,-,-,-
31,Total Shareholder Return,13.37%,2.75%,12.11%,-0.00%,24.71%,-2.76%,-12.85%,-7.77%,-28.50%,-0.14%,-9.04%,-33.35%,-35.11%,-33.43%,-21.94%,-0.12%,-,-,-,-
