,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
26,Other Current Liabilities,31.09,7.67,32.85,127.53,31.82,11.91,36.36,119.52,-,-,-,-,-,10.76,10.76,10.08,-
27,Total Current Liabilities,344.02,363.72,348.53,442.43,325.23,345.53,308.5,342.8,-,-,-,-,-,292.82,292.82,275.23,-
28,Long-Term Leases,133.37,131.51,151.05,144.41,171.2,167.13,180.16,180.67,-,-,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,5.43,5.55,4.83,3.77,4.2,4.11,4.69,3.95,-,-,-,-,-,9.74,9.74,8.63,-
30,Long-Term Deferred Tax Liabilities,0.02,0.08,0.75,0.1,1.13,1.06,0.49,-,-,-,-,-,-,0.95,0.95,1.17,-
31,Other Long-Term Liabilities,11.74,35.78,33.98,35.24,26.74,29.37,26.78,30.62,-,-,-,-,-,50.51,50.51,39.55,-
32,Total Liabilities,494.58,536.63,539.14,625.95,528.5,547.2,520.63,558.03,-,-,-,-,-,354.02,354.02,324.58,-
33,Common Stock,205.99,205.99,158.45,158.45,158.45,158.45,118.84,118.84,-,-,-,-,-,118.84,118.84,118.84,-
34,Additional Paid-In Capital,1632,1632,1693,1691,1696,1696,685.35,721.22,-,-,-,-,-,675.84,675.84,689.47,-
35,Retained Earnings,564.61,526.69,509.13,475.11,469.52,440.86,423.9,396.87,-,-,-,-,-,257.42,257.42,215.11,-
36,Treasury Stock,-104.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,2298,2364,2361,2325,2324,2296,1228,1237,-,-,1129,-,1052,1052,1052,1023,686.2
38,Minority Interest,215.73,214.2,191.45,183.44,137.76,133.51,123.58,143.89,-,-,-,-,-,104.37,104.37,112.42,-
39,Shareholders' Equity,2514,2578,2552,2508,2462,2429,1352,1381,-,-,1240,-,1156,1156,1156,1136,793.07
40,Total Liabilities & Equity,3008,3115,3092,3134,2991,2976,1872,1939,-,-,-,-,-,1510,1510,1460,-
41,Total Debt,169.52,169.82,181.72,186.03,198.69,215.64,216.14,233.01,-,-,267.99,-,24.35,24.35,24.35,23.33,21.29
42,Net Cash (Debt),1095,1288,1337,1399,1389,1355,407.63,377.38,-,-,284.51,-,592.74,592.74,592.74,912.87,593.33
43,Net Cash Growth,-21.18%,-4.98%,228.11%,270.58%,-,-,43.27%,-,-,-,-52.00%,-,-0.10%,-,-,-,-
44,Net Cash Per Share,5.51,6.15,6.46,6.32,6.53,7.99,2.66,2.31,-,-,1.82,-,3.84,3.84,3.84,5.91,-
45,Filing Date Shares Outstanding,202.99,205.99,205.99,205.99,205.99,205.99,154.49,154.49,150.9,152.03,156.32,154.49,154.49,154.49,154.49,154.49,-
46,Total Common Shares Outstanding,202.99,205.99,205.99,205.99,205.99,205.99,154.49,154.49,150.9,152.03,156.32,154.49,154.49,154.49,154.49,154.49,-
47,Working Capital,1103,1247,1322,1291,1411,1388,461.35,399.38,-,-,-,-,-,464.04,464.04,759.15,-
48,Book Value Per Share,11.32,11.48,11.46,11.29,11.28,11.15,7.95,8.01,-,-,7.31,-,6.81,6.81,6.81,6.62,4.44
49,Tangible Book Value,1773,1836,1832,1795,1804,1771,811.6,817.92,-,-,699.76,-,622.11,622.11,622.11,969.69,631.95
50,Tangible Book Value Per Share,8.73,8.91,8.89,8.72,8.76,8.60,5.25,5.29,-,-,4.53,-,4.03,4.03,4.03,6.28,4.09
51,Machinery,-,500.52,-,482.8,-,444.06,-,450.61,-,-,-,-,-,379.77,379.77,338.48,-
52,Construction In Progress,-,502.95,-,391.84,-,285.95,-,236.16,-,-,-,-,-,49.85,49.85,46.63,-
