,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
15,EBT Excluding Unusual Items,112.65,76.17,32.68,-18.29,6.5,0.31,37.57,2.1,31.33,24.06,53.86,33.16,88.14,46.68,29.25
16,Gain (Loss) on Sale of Investments,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.1,0.21,0.05,1.23,0.1,-,-,-,-,-,-,-,0.25,0.93,-
18,Asset Writedown,-56.71,16.01,-16.08,11.63,-13.1,3.2,-3.23,7.17,-7.27,11.28,-11.29,6.95,-6.98,-0.19,-
19,Other Unusual Items,-6.72,6.58,-,4.59,-0.02,0.02,-,2.49,0.15,-0.15,-,17.15,0.05,-0.05,-
20,Pretax Income,51.62,98.97,16.65,-0.84,-6.52,3.52,34.34,11.75,24.21,35.19,42.56,57.26,81.46,47.37,29.25
21,Income Tax Expense,10.35,11.48,1.27,-2.33,3.67,-2.08,-1.58,-7.5,-0.85,-0.66,3.67,10.05,3.49,2.93,1.71
22,Earnings From Continuing Operations,41.27,87.48,15.38,1.48,-10.19,5.6,35.92,19.26,25.05,35.86,38.89,47.21,77.97,44.44,27.54
23,Minority Interest in Earnings,-15.55,-43.89,-2.5,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,25.72,43.6,12.88,1.48,-10.19,5.6,35.92,19.26,25.05,35.86,38.89,47.21,77.97,44.44,27.54
25,Net Income to Common,25.72,43.6,12.88,1.48,-10.19,5.6,35.92,19.26,25.05,35.86,38.89,47.21,77.97,44.44,27.54
26,Net Income Growth,-,678.61%,-64.13%,-92.31%,-,-84.38%,-7.64%,-59.21%,-67.87%,-19.31%,41.25%,-,-,-,-
27,Shares Outstanding (Basic),256,233,258,287,235,249,239,245,202,189,185,189,186,185,-
28,Shares Outstanding (Diluted),256,233,258,287,235,249,239,245,202,189,185,189,186,185,-
29,Shares Change (YoY),9.21%,-6.24%,7.60%,16.81%,16.08%,32.07%,29.30%,30.06%,8.48%,2.16%,-,-,-,-,-
30,EPS (Basic),0.10,0.19,0.05,0.01,-0.04,0.02,0.15,0.08,0.12,0.19,0.21,0.25,0.42,0.24,-
31,EPS (Diluted),0.10,0.19,0.05,0.01,-0.04,0.02,0.15,0.08,0.12,0.19,0.21,0.25,0.42,0.24,-
32,EPS Growth,-,730.49%,-66.67%,-93.42%,-,-88.18%,-28.57%,-68.64%,-70.38%,-21.02%,-,-,-,-,-
33,Free Cash Flow,415.36,675.67,-252.5,-29.75,-34.47,-126.32,-104.11,-97.91,-60.06,-21.86,10.76,-54.73,12.35,-74.75,-29.8
34,Free Cash Flow Per Share,1.62,2.89,-0.98,-0.10,-0.15,-0.51,-0.43,-0.40,-0.30,-0.12,0.06,-0.29,0.07,-0.41,-
35,Dividend Per Share,-,0.080,-,0.040,-,-,-,0.040,-,-,-,-,-,-,-
36,Gross Margin,19.20%,19.68%,12.94%,6.98%,11.10%,10.86%,13.15%,9.16%,16.08%,15.78%,17.15%,14.36%,17.91%,23.03%,6.75%
37,Operating Margin,10.90%,8.89%,4.92%,-2.09%,0.46%,0.34%,3.72%,-0.55%,5.04%,5.36%,8.44%,3.72%,10.09%,8.29%,6.75%
38,Profit Margin,2.35%,4.47%,1.81%,0.17%,-0.89%,0.67%,4.51%,2.08%,3.07%,5.48%,6.11%,5.73%,8.58%,8.34%,6.34%
39,Free Cash Flow Margin,38.02%,69.31%,-35.38%,-3.36%,-3.01%,-15.06%,-13.07%,-10.58%,-7.35%,-3.34%,1.69%,-6.64%,1.36%,-14.03%,-6.87%
40,EBITDA,129.95,99.88,45.94,-7.71,10.38,10.92,34.69,0,44.46,39.63,57.03,33.95,93.66,47.07,31.28
41,EBITDA Margin,11.89%,10.24%,6.44%,-0.87%,0.91%,1.30%,4.36%,0.00%,5.44%,6.06%,8.96%,4.12%,10.31%,8.83%,7.21%
42,D&A For EBITDA,10.82,13.24,10.82,10.82,5.07,8.1,5.07,5.07,3.31,4.54,3.31,3.31,1.98,2.9,1.98
43,EBIT,119.12,86.64,35.11,-18.54,5.31,2.82,29.62,-5.07,41.15,35.08,53.71,30.64,91.68,44.17,29.3
44,EBIT Margin,10.90%,8.89%,4.92%,-2.09%,0.46%,0.34%,3.72%,-0.55%,5.04%,5.36%,8.44%,3.72%,10.09%,8.29%,6.75%
45,Effective Tax Rate,20.05%,11.60%,7.63%,-,-,-,-,-,-,-,8.62%,17.56%,4.29%,6.19%,5.84%
46,Revenue as Reported,1093,974.91,713.76,885.97,1145,838.62,796.33,925.33,816.68,654.32,636.36,824.28,908.82,966.86,-
