,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Earnings From Continuing Operations,105.29,68.22,63.97,124.25,79.46,65.65,50.83,82.22,57.58,36.47,40.72,56.97,58.46,52.97,52.97
23,Minority Interest in Earnings,-2.27,-2.65,0.03,-1.35,-1.82,-1.81,-1.32,-1.8,-2.15,-0.34,-0.75,-4.19,2.25,-1.13,-1.13
24,Net Income,103.02,65.57,64,122.9,77.64,63.84,49.51,80.42,55.44,36.13,39.97,52.78,60.71,51.84,51.84
25,Net Income to Common,103.02,65.57,64,122.9,77.64,63.84,49.51,80.42,55.44,36.13,39.97,52.78,60.71,51.84,51.84
26,Net Income Growth,32.69%,2.71%,29.27%,52.82%,40.06%,76.72%,23.85%,52.36%,-8.68%,-30.31%,-22.89%,-,-,-,-
27,Shares Outstanding (Basic),414,402,407,407,414,409,346,303,312,298,311,307,-,309,309
28,Shares Outstanding (Diluted),414,402,407,407,414,409,346,303,312,298,311,307,-,309,309
29,Shares Change (YoY),0.16%,-1.66%,17.58%,34.37%,32.64%,37.34%,11.46%,-1.21%,-,-3.52%,0.64%,-,-,-,-
30,EPS (Basic),0.25,0.16,0.16,0.30,0.19,0.16,0.14,0.27,0.18,0.12,0.13,0.17,-,0.17,0.17
31,EPS (Diluted),0.25,0.16,0.16,0.30,0.19,0.16,0.14,0.27,0.18,0.12,0.13,0.17,-,0.17,0.17
32,EPS Growth,32.47%,4.44%,9.94%,13.73%,5.60%,28.68%,11.12%,54.23%,-,-27.77%,-23.38%,-,-,-,-
33,Free Cash Flow,-77.84,-52.43,-95.15,95.49,-73.9,-73.85,-78.2,65.2,6.99,-53.23,-23.07,-,-,16.41,16.41
34,Free Cash Flow Per Share,-0.19,-0.13,-0.23,0.23,-0.18,-0.18,-0.23,0.22,0.02,-0.18,-0.07,-,-,0.05,0.05
35,Dividend Per Share,0.100,-,-,0.250,-,-,-,0.157,-,-,-,0.179,-,-,-
36,Dividend Growth,-,-,-,59.13%,-,-,-,-12.04%,-,-,-,-,-,-,-
37,Gross Margin,41.66%,38.12%,42.54%,45.69%,40.33%,43.19%,38.42%,40.11%,37.71%,33.09%,36.73%,-159.16%,194.39%,40.88%,40.88%
38,Operating Margin,21.82%,10.70%,17.61%,21.39%,21.12%,21.19%,19.34%,13.00%,20.47%,18.30%,16.81%,3.50%,27.59%,20.34%,20.34%
39,Profit Margin,24.38%,19.48%,23.64%,38.53%,18.62%,18.71%,18.50%,22.82%,16.07%,14.95%,15.86%,21.01%,19.42%,20.77%,20.77%
40,Free Cash Flow Margin,-18.42%,-15.57%,-35.14%,29.94%,-17.72%,-21.64%,-29.22%,18.50%,2.03%,-22.02%,-9.15%,-,-,6.58%,6.58%
41,EBITDA,101.08,49.15,56.57,77.11,95.03,80.63,58.75,52.8,76.23,50.81,47.99,14.42,90.65,55.19,55.19
42,EBITDA Margin,23.93%,14.60%,20.89%,24.18%,22.79%,23.63%,21.95%,14.98%,22.10%,21.03%,19.04%,5.74%,29.00%,22.12%,22.12%
43,D&A For EBITDA,8.9,13.13,8.9,8.9,6.98,8.33,6.98,6.98,5.62,6.59,5.62,5.62,4.43,4.43,4.43
44,EBIT,92.19,36.02,47.67,68.22,88.04,72.31,51.77,45.82,70.61,44.22,42.36,8.8,86.22,50.76,50.76
45,EBIT Margin,21.82%,10.70%,17.61%,21.39%,21.12%,21.19%,19.34%,13.00%,20.47%,18.30%,16.81%,3.50%,27.59%,20.34%,20.34%
46,Effective Tax Rate,10.44%,1.88%,13.31%,4.03%,16.76%,18.32%,10.26%,4.78%,16.09%,11.28%,12.15%,7.73%,7.74%,14.50%,14.50%
47,Revenue as Reported,1030,-,270.76,318.98,1026,-,267.62,352.39,344.99,241.66,252.03,1063,-,-,-
