,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
26,Current Unearned Revenue,17.72,10.51,5.15,6.39,9.34,11.56,6.66,10.23,-,18.14,-,15.34,-,5.33,5.33
27,Other Current Liabilities,27.64,16.74,15.16,64.07,20.74,17.15,14.54,48.5,-,19.74,-,15.99,-,23.9,23.9
28,Total Current Liabilities,807.18,647.57,488.06,551.06,536.1,546.6,522.72,698.38,-,598.5,-,526.57,-,440.88,440.88
29,Long-Term Debt,-,-,80.07,80.07,-,-,73.78,73.78,-,48.8,-,14.39,-,6.36,6.36
30,Long-Term Leases,0.36,0.35,-,-,-,-,-,-,-,5.22,-,7.13,-,10.42,10.42
31,Long-Term Unearned Revenue,30,24.74,24.95,25.16,23.27,22.33,22.04,22.15,-,22.38,-,17.77,-,6.05,6.05
32,Long-Term Deferred Tax Liabilities,-,-,-,-,10.48,11.8,11.7,13.72,-,4.87,-,5.28,-,5.28,5.28
33,Total Liabilities,837.54,672.66,593.09,656.3,569.85,580.72,630.23,808.04,-,679.77,-,571.13,-,468.99,468.99
34,Common Stock,408.8,408.8,292,292,292,292,292,219,-,219,-,219,-,219,219
35,Additional Paid-In Capital,1727,1727,1844,1844,1844,1844,1844,59.29,-,59.29,-,59.29,-,59.29,59.29
36,Retained Earnings,1074,971.32,1008,943.95,821.06,743.42,743.68,694.3,-,558.37,-,537.02,-,423.53,423.53
37,Total Common Equity,3210,3107,3144,3080,2957,2879,2880,972.59,-,836.66,815.31,815.31,701.82,701.82,701.82
38,Minority Interest,48.8,29.62,15.24,13.97,12.61,12.9,10.59,9.26,-,5.31,-,6.62,-,4.68,4.68
39,Shareholders' Equity,3259,3137,3159,3094,2970,2892,2890,981.86,-,841.97,821.93,821.93,706.5,706.5,706.5
40,Total Liabilities & Equity,4097,3810,3752,3750,3540,3473,3521,1790,-,1522,-,1393,-,1175,1175
41,Total Debt,325.07,224.1,167.04,101.02,35.98,5.54,110.31,214.9,-,240.96,136.81,136.81,97.34,97.34,97.34
42,Net Cash (Debt),244.98,372.09,368.07,398.05,464.61,656.76,592.33,-32.71,-,-152.53,9.4,9.4,-7.19,-7.19,-7.19
43,Net Cash Growth,-47.27%,-43.34%,-37.86%,-,-,-,6201.08%,-,-,-,-,-,-,-,-
44,Net Cash Per Share,0.59,0.92,0.90,0.98,1.12,1.60,1.71,-0.11,-,-0.51,0.03,0.03,-,-0.02,-0.02
45,Filing Date Shares Outstanding,408.8,408.8,408.8,408.8,408.8,408.8,408.8,408.8,311.88,306.6,310.84,306.6,-,306.6,306.6
46,Total Common Shares Outstanding,408.8,408.8,408.8,408.8,408.8,408.8,408.8,306.6,311.88,306.6,310.84,306.6,-,306.6,306.6
47,Working Capital,1441,1359,1467,1373,1437,1410,1315,570.62,-,501.04,-,491.84,-,409.95,409.95
48,Book Value Per Share,7.85,7.60,7.69,7.53,7.23,7.04,7.04,3.17,-,2.73,2.66,2.66,2.29,2.29,2.29
49,Tangible Book Value,3108,3038,3076,3011,2888,2810,2810,902.25,-,765.09,768.9,768.9,687.59,687.59,687.59
50,Tangible Book Value Per Share,7.60,7.43,7.52,7.37,7.06,6.87,6.87,2.94,-,2.50,2.51,2.51,2.24,2.24,2.24
51,Buildings,-,328.48,-,271.1,-,81.67,-,49.19,-,48.71,-,48.71,-,31.02,31.02
52,Machinery,-,250.83,-,220.01,-,197.09,-,175.88,-,146.82,-,129.97,-,119.25,119.25
53,Construction In Progress,-,14.69,-,47.87,-,141.12,-,137.45,-,48.9,-,19.72,-,10.51,10.51
