,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
18,Total Assets,-,1670,1735,1772,1822,1872,1916,1940,1955,870.85,-,-,648.77,-,-,527.65
19,Accounts Payable,-,28.83,10.54,34.46,47.53,56.06,13.86,21.79,44.07,37.29,-,-,10.55,-,-,7.33
20,Accrued Expenses,-,9.46,15.62,10.52,16.69,7.85,17.85,6.3,21.69,7.29,-,-,22.12,-,-,6.86
21,Current Portion of Leases,-,14.57,14.47,12.67,13.65,13.01,13.51,9.05,9.05,5.65,-,-,5.67,-,-,6
22,Current Income Taxes Payable,-,0.41,-,0.85,-,2.23,0.78,10.08,9.56,28.04,-,-,8.21,-,-,5.92
23,Current Unearned Revenue,-,3.94,5.92,5.11,4.48,5.86,5.45,5.35,5.75,9.35,-,-,10.28,-,-,6.02
24,Other Current Liabilities,-,5.56,17.91,6.86,2.51,2.87,54.47,8.72,3.03,9.32,-,-,3.58,-,-,2.56
25,Total Current Liabilities,-,62.78,64.46,70.47,84.86,87.88,105.93,61.29,93.15,96.94,-,-,60.41,-,-,34.69
26,Long-Term Leases,-,19.27,21.09,18.19,19.31,20.93,25.24,30.82,31.72,34.94,-,-,34.33,-,-,35.14
27,Long-Term Unearned Revenue,-,30.11,30.11,30.11,30.11,29.11,29.58,29.58,29.58,29.58,-,-,5.67,-,-,5.49
28,Long-Term Deferred Tax Liabilities,-,8.62,8.6,8.23,8.32,4.68,4.37,3.92,9.1,0.01,-,-,0.06,-,-,0.12
29,Other Long-Term Liabilities,-,0.12,0.14,0.09,0.06,0.06,0.06,0.05,0.05,0.05,-,-,0.04,-,-,0.04
30,Total Liabilities,-,120.91,124.4,127.09,142.67,142.66,165.17,125.66,163.6,161.53,-,-,100.51,-,-,75.48
31,Common Stock,-,112.49,112.49,112.49,112.23,112.23,112.23,93.52,93.52,69.87,-,-,69.87,-,-,69.87
32,Additional Paid-In Capital,-,1404,1399,1396,1391,1384,1381,1399,1393,355.26,-,-,344.45,-,-,337.64
33,Retained Earnings,-,60.53,110.03,131.12,160.08,206.85,232.52,299.46,293.13,279.12,-,-,133.87,-,-,44.57
34,Treasury Stock,-,-43.66,-26.62,-10.17,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,0.31,0.3,0.3,0.3,0.62,0.39,-0.05,0.27,0.35,-,-,0.07,-,-,0.09
36,Total Common Equity,1534,1534,1595,1630,1664,1704,1726,1792,1780,704.6,-,548.26,548.26,-,452.17,452.17
37,Minority Interest,-,15.62,15.93,15.12,15.88,24.92,24.92,22.83,11.31,4.72,-,-,-,-,-,-
38,Shareholders' Equity,1549,1549,1611,1645,1680,1729,1751,1815,1792,709.32,-,548.26,548.26,-,452.17,452.17
39,Total Liabilities & Equity,-,1670,1735,1772,1822,1872,1916,1940,1955,870.85,-,-,648.77,-,-,527.65
40,Total Debt,33.84,33.84,35.56,30.86,32.95,33.94,38.75,39.87,40.77,40.59,-,39.99,39.99,-,41.14,41.14
41,Net Cash (Debt),619.5,619.5,691.24,819.7,950.72,1209,1242,1324,1393,355.67,-,321.25,321.25,-,310.7,310.7
42,Net Cash Growth,-34.84%,-48.74%,-44.36%,-38.09%,-31.77%,239.82%,-,312.12%,333.73%,-,-,3.40%,-,-,-,-
43,Net Cash Per Share,5.56,5.65,6.14,7.36,6.22,16.65,11.96,11.05,11.61,4.25,-,4.20,3.71,-,-,3.68
44,Filing Date Shares Outstanding,111.51,109.7,111.14,111.41,112.49,112.23,112.23,112.23,112.23,111.79,83.85,75.26,83.85,83.65,-,83.85
45,Total Common Shares Outstanding,111.51,109.7,111.14,111.41,112.23,112.23,112.23,112.23,112.23,83.85,83.85,75.26,83.85,83.65,-,83.85
46,Working Capital,-,832.66,928.53,977.43,999.82,1316,1337,1508,1534,516.53,-,-,377.75,-,-,384.13
47,Book Value Per Share,13.98,13.98,14.35,14.63,14.82,15.18,15.38,15.96,15.86,8.40,-,6.54,6.54,-,5.39,5.39
48,Tangible Book Value,1503,1503,1564,1600,1634,1670,1693,1758,1747,670.65,-,518.11,518.11,-,451.57,451.57
49,Tangible Book Value Per Share,13.70,13.70,14.07,14.36,14.56,14.88,15.09,15.67,15.56,8.00,-,6.18,6.18,-,5.39,5.39
50,Buildings,-,-,235.3,-,234.89,-,0.66,-,0.66,-,-,-,0.66,-,-,0.66
51,Machinery,-,-,191.98,-,188.41,-,167.01,-,133.11,-,-,-,75.91,-,-,49.71
52,Construction In Progress,-,-,-,-,-,-,253.41,-,110.9,-,-,-,64.81,-,-,0.62
