,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Treasury Stock,-57.64,-56.98,-7.39,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-0.99,-1.38,-1.32,-0.75,0.14,0.23,-0,-0,-,-,-,-,-,-,-
37,Total Common Equity,1193,1201,1270,1273,1267,1258,1249,1235,1237,1193,1173,469.44,-,417.87,391.15
38,Minority Interest,7.56,9.69,10.22,11.45,11.4,-0.07,-0.15,0.21,0.44,0.49,0.6,-,-,-,-
39,Shareholders' Equity,1200,1210,1280,1284,1278,1258,1249,1235,1237,1194,1174,469.44,-,417.87,391.15
40,Total Liabilities & Equity,1712,1727,1769,1771,1711,1739,1714,1627,1588,1522,1531,807.28,-,721.09,-
41,Total Debt,392.77,392.18,381.58,361.8,342.04,352.58,369.7,283.79,236.98,218.23,245.1,230.12,-,208.58,177.65
42,Net Cash (Debt),368.96,447.15,514.29,549.07,533.62,636.33,658.95,734.85,813.23,794.31,804.71,120.58,-,45.06,68.3
43,Net Cash Growth,-30.86%,-29.73%,-21.95%,-25.28%,-34.38%,-19.89%,-18.11%,509.41%,-,1662.83%,1078.14%,-,-,-,-
44,Net Cash Per Share,4.90,11.57,8.72,9.24,9.06,10.93,11.18,12.60,13.67,13.70,17.83,2.70,-,1.00,1.57
45,Filing Date Shares Outstanding,57.52,57.52,58.96,58.53,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,43.75,44.21,43.5
46,Total Common Shares Outstanding,57.52,57.54,58.96,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,44.21,43.75,44.21,43.5
47,Working Capital,685.26,747.24,801.33,778.37,743.35,797.15,834.03,836.43,833.95,813.93,802.16,110.49,-,64.69,-
48,Book Value Per Share,20.74,20.87,21.54,21.59,21.49,21.34,21.18,20.95,20.98,20.24,19.90,10.62,-,9.45,8.85
49,Tangible Book Value,1119,1126,1195,1197,1190,1181,1172,1157,1158,1137,1117,412.75,-,360.37,332.83
50,Tangible Book Value Per Share,19.45,19.57,20.27,20.31,20.19,20.04,19.87,19.63,19.65,19.29,18.94,9.34,-,8.15,7.53
51,Buildings,-,198.48,-,193.54,-,192.82,-,190.4,-,110.85,-,110.62,-,110.62,-
52,Machinery,-,261.28,-,259.53,-,239.22,-,221.61,-,193.39,-,160.22,-,152.69,-
53,Construction In Progress,-,254.74,-,220.76,-,92.58,-,44.61,-,109.4,-,123.05,-,107.65,-
