,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-1.95,-0.68,0.42,-11.5,10.63,2.92,-2.04,-31.47,31.15,0.87,-1.43,0.53,-0.51,-1.98,1.28
15,EBT Excluding Unusual Items,-7.62,9.18,3.84,-6.04,21.9,32.27,14.25,1.87,32.79,37.99,10.15,20.26,34.54,17.28,13.98
16,Gain (Loss) on Sale of Investments,-2.53,0.92,2.27,1.37,-10.96,12.73,1.87,-10.55,18.04,2.41,-0.27,-0.27,0.06,0.15,-0.06
17,Gain (Loss) on Sale of Assets,0,0,-0.22,-0.08,-0.01,-0.01,0.05,-0.15,0.06,-0.13,-,0.83,-0,-0.01,-
18,Asset Writedown,-0.87,-0.02,-0.02,0.37,-0.41,-0.02,-0.02,-4.74,-0.05,-,-,0.22,-0.22,0.07,-0.88
19,Other Unusual Items,-0.79,0.79,-,4.84,-,-,-,11.53,-,-,-,3.65,-,-,-
20,Pretax Income,-11.82,10.87,5.87,0.46,10.52,44.96,16.15,-2.04,50.83,40.28,9.87,24.68,34.38,17.49,13.04
21,Income Tax Expense,-1.12,1.87,1.69,1.28,1.31,6.65,2.7,-0.16,7.44,5.59,0.85,2.79,4.71,2.07,1.74
22,Earnings From Continuing Operations,-10.69,9.01,4.18,-0.82,9.21,38.31,13.45,-1.89,43.39,34.68,9.03,21.9,29.67,15.42,11.31
23,Minority Interest in Earnings,2.39,0.23,1.23,3.36,-0.32,0,0.37,0.22,0.05,0.11,-0,-,-,-,-
24,Net Income,-8.3,9.23,5.41,2.54,8.89,38.32,13.82,-1.66,43.45,34.79,9.03,21.9,29.67,15.42,11.31
25,Net Income to Common,-8.3,9.23,5.41,2.54,8.89,38.32,13.82,-1.66,43.45,34.79,9.03,21.9,29.67,15.42,11.31
26,Net Income Growth,-,-75.90%,-60.88%,-,-79.54%,10.13%,53.12%,-,46.45%,125.65%,-20.19%,-,-,-,-
27,Shares Outstanding (Basic),75,39,59,59,59,58,59,58,60,58,45,45,44,45,43
28,Shares Outstanding (Diluted),75,39,59,59,59,58,59,58,60,58,45,45,44,45,43
29,Shares Change (YoY),28.01%,-33.61%,0.03%,1.88%,-1.05%,0.44%,30.60%,30.53%,36.01%,29.03%,3.76%,-,-,-,-
30,EPS (Basic),-0.11,0.24,0.09,0.04,0.15,0.66,0.23,-0.03,0.73,0.60,0.20,0.49,0.68,0.34,0.26
31,EPS (Diluted),-0.11,0.24,0.09,0.04,0.15,0.66,0.23,-0.03,0.73,0.60,0.20,0.49,0.68,0.34,0.26
32,EPS Growth,-,-63.69%,-60.90%,-,-79.32%,9.65%,17.25%,-,7.68%,77.19%,-23.08%,-,-,-,-
33,Free Cash Flow,-12.65,-4.49,-17.04,8.49,-88.7,-8.03,-60.29,-64.69,6.87,-16.26,-24.84,21.95,59.92,7.4,-22.53
34,Free Cash Flow Per Share,-0.17,-0.12,-0.29,0.14,-1.51,-0.14,-1.02,-1.11,0.12,-0.28,-0.55,0.49,1.37,0.16,-0.52
35,Dividend Per Share,-,-,-,0.502,-,-,-,0.500,-,-,-,0.250,-,-,-
36,Dividend Growth,-,-,-,0.32%,-,-,-,100.00%,-,-,-,-,-,-,-
37,Gross Margin,31.44%,37.58%,35.81%,39.54%,30.72%,38.29%,41.00%,36.37%,36.60%,31.14%,34.19%,38.38%,40.90%,37.71%,33.39%
38,Operating Margin,-3.08%,1.78%,2.05%,0.23%,1.39%,15.36%,17.55%,4.76%,20.17%,19.75%,15.34%,23.69%,28.78%,23.53%,16.49%
39,Profit Margin,-7.69%,8.63%,5.58%,2.41%,9.26%,42.28%,15.60%,-1.38%,40.92%,38.11%,11.09%,18.64%,24.92%,15.78%,14.05%
40,Free Cash Flow Margin,-11.73%,-4.20%,-17.58%,8.04%,-92.34%,-8.86%,-68.05%,-53.68%,6.48%,-17.81%,-30.53%,18.69%,50.33%,7.58%,-27.98%
41,EBITDA,5.22,9.93,10.53,8.79,8.52,22.87,22.73,12.92,27.16,24.41,18.23,33.57,39.72,28.79,18.74
42,EBITDA Margin,4.84%,9.28%,10.87%,8.32%,8.87%,25.23%,25.66%,10.72%,25.59%,26.74%,22.41%,28.58%,33.36%,29.46%,23.27%
43,D&A For EBITDA,8.54,8.02,8.54,8.54,7.19,8.95,7.19,7.19,5.75,6.38,5.75,5.75,5.46,5.8,5.46
44,EBIT,-3.32,1.91,1.99,0.25,1.34,13.92,15.55,5.73,21.41,18.03,12.48,27.82,34.26,22.99,13.28
45,EBIT Margin,-3.08%,1.78%,2.05%,0.23%,1.39%,15.36%,17.55%,4.76%,20.17%,19.75%,15.34%,23.69%,28.78%,23.53%,16.49%
46,Effective Tax Rate,-,17.17%,28.73%,278.35%,12.48%,14.79%,16.73%,-,14.63%,13.89%,8.58%,11.29%,13.70%,11.84%,13.30%
47,Revenue as Reported,107.91,106.96,96.91,105.65,96.05,90.62,88.59,120.49,106.17,91.29,81.37,117.47,119.05,97.7,80.51
