,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,"Property, Plant & Equipment",-,302.49,279.42,215.71,187.99,156.63,138.67,116.64,86.61,35.17,20.48,16.87,12.72,-,9.76,-
11,Long-Term Investments,-,7.03,111.53,7.03,109.98,5,106.38,5,5,-,-,-,-,-,-,-
12,Other Intangible Assets,-,30.72,30.89,31.05,31.21,31.37,31.53,31.7,31.86,32.02,32.18,32.4,-,-,-,-
13,Long-Term Deferred Charges,-,0.01,0.02,0.03,0.04,-,0.06,0.07,0.08,0.09,0.1,0.11,-,-,0.32,-
14,Other Long-Term Assets,-,107.72,0.35,109.27,15.12,116.94,9.98,0.19,0.21,0.63,0.76,1.49,14.39,-,0.6,-
15,Total Assets,-,1405,1445,1434,1492,1576,1629,1690,1735,1800,1836,918.57,982.35,-,1109,-
16,Accounts Payable,-,134.28,38.88,77.6,3.14,107.07,4.77,97.73,2.29,75.73,64.24,80.91,1.31,-,71.32,-
17,Accrued Expenses,-,7.02,39.73,3.2,49.17,7.38,79.75,6,69.81,9.16,4.87,2.21,90.45,-,1.83,-
18,Short-Term Debt,-,-,-,-,-,30,30,30,30,-,-,-,-,-,-,-
19,Current Portion of Leases,-,3.38,3.57,3.76,3.77,4.13,4.31,4.12,2.45,-,2.82,-,2.8,-,-,-
20,Current Income Taxes Payable,-,1.2,-,0.98,-,1.09,-,0.06,-,0.05,-,0.34,-,-,0.18,-
21,Current Unearned Revenue,-,0.21,0.16,-,-,-,-,-,-,-,4.95,-,-,-,-,-
22,Other Current Liabilities,-,3.96,59.52,5.05,50.76,4.23,32.98,3.94,33.73,73.95,65.42,100.42,96.77,-,144.68,-
23,Total Current Liabilities,-,150.05,141.86,90.58,106.84,153.89,151.82,141.84,138.27,158.88,142.3,183.87,191.33,-,218.02,-
24,Long-Term Leases,-,6.57,7.64,9.21,9.08,9.6,10.28,11.17,3.31,3.68,3.94,4.12,1.11,-,1.21,-
25,Long-Term Unearned Revenue,-,16.55,16.55,8.55,8.55,8.1,8.1,8.1,8.1,0.39,0.58,0.86,1.15,-,1.8,-
26,Total Liabilities,-,173.17,166.05,108.34,124.47,171.59,170.19,161.11,149.68,162.95,146.82,188.86,193.59,-,221.03,-
27,Common Stock,-,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,74.26,74.26,-,74.26,-
28,Additional Paid-In Capital,-,2577,2571,2564,2558,2539,2521,2501,2482,2455,2432,1437,1409,-,1351,-
29,Retained Earnings,-,-1444,-1391,-1337,-1290,-1234,-1161,-1071,-996.06,-917.07,-842.41,-781.44,-694.54,-,-536.45,-
30,Comprehensive Income & Other,-,0.06,0.16,0.14,0.11,0.26,0.29,0.09,0.14,0.07,0.25,-0.08,-0.07,-,-0.05,-
31,Shareholders' Equity,1232,1232,1279,1326,1367,1404,1459,1529,1585,1637,1689,729.71,788.76,-,888.37,986.15
32,Total Liabilities & Equity,-,1405,1445,1434,1492,1576,1629,1690,1735,1800,1836,918.57,982.35,-,1109,-
33,Total Debt,9.94,9.94,11.21,12.97,12.85,43.73,44.58,45.28,35.76,3.68,6.76,4.12,3.91,-,1.21,0.5
34,Net Cash (Debt),899.35,899.35,963.17,1007,1091,1165,1253,1442,1532,1693,1733,807.28,897.31,-,1058,1138
35,Net Cash Growth,-17.57%,-22.81%,-23.15%,-30.17%,-28.79%,-31.19%,-27.70%,78.59%,70.74%,-,63.82%,-29.07%,-,-,-,-
36,Net Cash Per Share,9.01,9.23,9.59,10.24,11.06,11.69,12.70,14.54,16.28,17.07,18.12,10.87,12.00,-,14.16,15.36
37,Filing Date Shares Outstanding,99.81,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,74.26,74.26,73.65,74.26,74.07
38,Total Common Shares Outstanding,99.81,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,74.26,74.26,73.65,74.26,74.07
39,Working Capital,-,806.71,881.13,980.78,1040,1112,1191,1395,1473,1573,1640,683.82,763.91,-,880.7,-
40,Book Value Per Share,12.44,12.44,12.92,13.39,13.81,14.18,14.73,15.44,16.01,16.53,17.06,9.83,10.62,-,11.96,13.28
41,Tangible Book Value,1201,1201,1248,1295,1336,1373,1427,1497,1554,1605,1657,697.31,788.76,-,888.37,986.15
42,Tangible Book Value Per Share,12.13,12.13,12.61,13.08,13.49,13.86,14.42,15.12,15.69,16.21,16.73,9.39,10.62,-,11.96,13.28
43,Machinery,-,-,15.68,-,15.49,-,15.46,-,14.85,-,13.23,-,11.16,-,10.03,-
44,Construction In Progress,-,-,263.78,-,169.54,-,117.43,-,73.76,-,7.01,-,3,-,1.66,-
