,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
29,Long-Term Deferred Tax Liabilities,0.04,0.03,9.82,10.09,0.1,-,0.05,5.45,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,16.5,19.25,22,-,-,-,-,-
31,Total Liabilities,978.98,814.66,796.07,856.71,820.92,725.9,669.55,615.61,479.38,618.5,526.46,518.37,-,-,-,134.53
32,Common Stock,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,53.1,53.1,53.1,-,-,-,53.1
33,Additional Paid-In Capital,1273,1270,1271,1270,1275,1273,1270,1270,1270,320.54,320.54,320.5,-,-,-,320.54
34,Retained Earnings,343.45,321.45,317.49,306.51,275.21,268.69,284.92,287.26,297.9,286.25,267.84,244.42,-,-,-,18.75
35,Treasury Stock,-20.52,-20.52,-14.52,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-0.84,1.87,-0.28,-0.23,-,-,-,0.04,-,-,-,0.04,-,-,-,-
37,Shareholders' Equity,1666,1643,1644,1647,1621,1612,1626,1628,1639,659.88,641.48,618.06,-,-,517.34,392.39
38,Total Liabilities & Equity,2645,2458,2441,2504,2442,2338,2295,2244,2118,1278,1168,1136,-,-,-,526.92
39,Total Debt,639.64,507.05,475.89,470.11,476.15,391.36,291.17,246.62,99.96,243.08,188.79,179.61,-,-,47.25,9.5
40,Net Cash (Debt),212.53,284.27,349.27,385.1,416.17,412.51,538.78,527.25,777.14,-135.53,-67.04,-70.02,-,-,71.93,44.13
41,Net Cash Growth,-48.93%,-31.09%,-35.17%,-26.96%,-46.45%,-,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,3.06,4.05,4.95,4.35,7.16,5.64,8.08,7.62,13.05,-2.57,-1.26,-1.33,-,-,1.35,0.86
43,Filing Date Shares Outstanding,70.06,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,53.1,53.1,53.1,53.47,52.73,53.27,53.1
44,Total Common Shares Outstanding,70.06,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,53.1,53.1,53.1,53.47,52.73,53.27,53.1
45,Working Capital,664.84,714.37,700.17,773.96,738.11,749.87,823.55,888.87,1039,78.07,104.49,78.93,-,-,-,162.64
46,Book Value Per Share,23.78,23.21,23.23,23.26,22.90,22.77,22.96,22.99,23.14,12.43,12.08,11.64,-,-,9.74,7.39
47,Tangible Book Value,1659,1636,1637,1641,1616,1606,1620,1623,1633,654.41,636.36,613.2,-,-,512.77,391.92
48,Tangible Book Value Per Share,23.68,23.11,23.12,23.17,22.82,22.69,22.88,22.92,23.07,12.32,11.98,11.55,-,-,9.66,7.38
49,Buildings,-,13.77,-,13.77,-,13.77,-,13.77,-,13.77,13.77,13.77,-,-,-,13.77
50,Machinery,-,682.95,-,660.13,-,598.92,-,558.99,-,390.12,373.48,365.18,-,-,-,198.88
51,Construction In Progress,-,148.46,-,94.86,-,118.1,-,113.93,-,227.89,228.07,207.3,-,-,-,24.17
