,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
19,Other Unusual Items,-0.36,-0.09,-0,0.29,-,-,-,11.48,-,-,-,11.18,-,-,-,38.28
20,Pretax Income,-19.54,-3.13,-3.51,1.83,5.4,17.35,-2.33,-4.37,10.01,6.01,9.38,19.96,12.88,16.66,23.78,34.24
21,Income Tax Expense,-0.78,1.09,0.07,2.39,1.16,1.42,0.19,-1.35,1.45,1.48,0.86,1.39,1.4,1.85,2.79,3.42
22,Earnings From Continuing Operations,-18.76,-4.22,-3.57,-0.56,4.25,15.93,-2.52,-3.02,8.55,4.53,8.52,18.57,11.48,14.81,20.99,30.82
23,Minority Interest in Earnings,4.96,3.48,1.04,0.1,0.7,0.86,0.1,1.03,0.1,0.39,0.39,0.59,0.79,0.47,0.8,0.49
24,Net Income,-13.8,-0.74,-2.54,-0.46,4.94,16.78,-2.42,-1.99,8.66,4.92,8.91,19.16,12.27,15.28,21.79,31.31
25,Net Income to Common,-13.8,-0.74,-2.54,-0.46,4.94,16.78,-2.42,-1.99,8.66,4.92,8.91,19.16,12.27,15.28,21.79,31.31
26,Net Income Growth,-,-,-,-,-42.88%,241.13%,-,-,-29.47%,-67.80%,-59.10%,-38.79%,-,-,-,-
27,Shares Outstanding (Basic),80,79,85,73,82,79,81,74,78,82,81,80,61,59,61,60
28,Shares Outstanding (Diluted),80,79,85,73,82,79,81,74,78,82,81,80,61,59,61,60
29,Shares Change (YoY),-1.95%,0.24%,4.97%,-2.26%,4.54%,-3.26%,-0.55%,-7.43%,28.34%,38.37%,33.84%,33.52%,-,-,-,-
30,EPS (Basic),-0.17,-0.01,-0.03,-0.01,0.06,0.21,-0.03,-0.03,0.11,0.06,0.11,0.24,0.20,0.26,0.36,0.52
31,EPS (Diluted),-0.17,-0.01,-0.03,-0.01,0.06,0.21,-0.03,-0.03,0.11,0.06,0.11,0.24,0.20,0.26,0.36,0.52
32,EPS Growth,-,-,-,-,-45.36%,252.62%,-,-,-45.04%,-76.73%,-69.44%,-54.16%,-,-,-,-
33,Free Cash Flow,3.91,-29.13,-19.83,-17.69,19.13,-29.05,16.34,20.05,-33.01,12.49,-31.13,7.25,-9.19,24.64,20.1,27.35
34,Free Cash Flow Per Share,0.05,-0.37,-0.23,-0.24,0.23,-0.37,0.20,0.27,-0.42,0.15,-0.38,0.09,-0.15,0.42,0.33,0.45
35,Dividend Per Share,-,-,-,0.125,-,-,-,-,-,-,-,0.625,-,-,-,-
36,Gross Margin,45.21%,39.04%,39.48%,60.93%,70.69%,76.15%,64.73%,70.87%,73.16%,79.66%,86.78%,84.58%,89.80%,89.83%,90.21%,90.09%
37,Operating Margin,-42.67%,-6.94%,-7.42%,-2.31%,3.24%,16.75%,-5.81%,-17.01%,6.41%,3.66%,9.53%,5.92%,8.67%,14.07%,19.77%,-2.21%
38,Profit Margin,-27.53%,-1.03%,-3.23%,-0.52%,6.52%,18.18%,-3.10%,-2.01%,7.37%,4.39%,12.23%,14.39%,8.05%,12.53%,17.87%,19.68%
39,Free Cash Flow Margin,7.79%,-40.50%,-25.28%,-20.10%,25.21%,-31.47%,20.93%,20.34%,-28.10%,11.14%,-42.71%,5.44%,-6.03%,20.20%,16.49%,17.20%
40,EBITDA,-16.86,0.35,-1.29,2.49,6.11,19.05,-0.88,-13.1,10.94,7.36,10.37,11.3,16.25,20.55,27.15,-0.49
41,EBITDA Margin,-33.63%,0.49%,-1.64%,2.83%,8.06%,20.63%,-1.12%,-13.30%,9.32%,6.56%,14.23%,8.49%,10.66%,16.85%,22.26%,-0.30%
42,D&A For EBITDA,4.53,5.34,4.53,4.53,3.66,3.58,3.66,3.66,3.42,3.26,3.42,3.42,3.03,3.39,3.03,3.03
43,EBIT,-21.39,-4.99,-5.82,-2.04,2.46,15.46,-4.54,-16.76,7.52,4.1,6.95,7.88,13.22,17.16,24.11,-3.52
44,EBIT Margin,-42.67%,-6.94%,-7.42%,-2.31%,3.24%,16.75%,-5.81%,-17.01%,6.41%,3.66%,9.53%,5.92%,8.67%,14.07%,19.77%,-2.21%
45,Effective Tax Rate,-,-,-,130.76%,21.39%,8.20%,-,-,14.53%,24.64%,9.15%,6.94%,10.84%,11.09%,11.73%,9.98%
46,Revenue as Reported,50.14,71.92,78.46,88.04,75.86,92.31,78.09,98.56,117.45,112.15,72.89,133.19,152.49,121.99,121.94,159.07
