,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/EBITDA Ratio,17.67,16.99,12.28,13.70,13.28,13.29,15.22,14.60,16.73,15.25,20.86,18.07,26.06,23.89,26.56,-,-,-,-,-
13,EV/EBIT Ratio,22.55,21.55,14.98,16.12,15.58,15.70,18.03,17.36,20.36,19.28,26.61,22.49,32.62,29.18,32.44,-,-,-,-,-
14,EV/FCF Ratio,121.79,116.35,-,-,25.86,-,18.72,-,19.10,127.97,-74.01,-,68.06,-,35.88,-,-,-,-,-
15,Debt / Equity Ratio,0.26,0.26,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.10,-,0.27,0.27
16,Debt / EBITDA Ratio,0.87,2.52,3.36,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.03,0.04,0.04,0.24,0.19,-,0.60,0.60
17,Debt / FCF Ratio,6.01,6.01,-,-,0.02,-,0.02,-,0.02,0.21,-0.10,-,0.07,-,0.06,0.40,0.38,-,3.79,7.57
18,Asset Turnover,0.82,0.80,1.04,1.20,0.84,0.85,1.07,1.16,0.86,0.77,0.78,1.10,0.73,-,-,-,-,0.95,-,
19,Inventory Turnover,5.11,4.12,4.35,5.63,6.17,4.90,5.63,6.39,7.36,6.10,5.86,5.15,8.40,7.77,-,-,-,-,8.70,-
20,Quick Ratio,0.76,0.76,0.78,1.16,1.41,1.50,1.65,1.68,1.40,1.60,1.59,1.41,1.24,1.41,1.65,-,0.61,-,0.50,0.50
21,Current Ratio,1.18,1.18,1.20,1.61,1.77,2.03,2.02,2.11,1.80,2.05,1.97,1.82,1.57,1.74,1.86,-,0.84,-,0.67,0.67
22,Return on Equity (ROE),0.48%,0.12%,23.24%,28.62%,13.40%,13.01%,25.17%,26.40%,11.01%,9.93%,16.40%,19.52%,9.29%,20.09%,25.03%,-,-,25.96%,-,
23,Return on Assets (ROA),1.47%,0.05%,12.96%,15.33%,8.25%,7.91%,14.58%,14.26%,7.38%,5.76%,9.21%,7.46%,6.10%,-,-,-,-,11.79%,-,
24,Return on Capital (ROIC),2.08%,0.08%,19.35%,21.87%,11.21%,10.76%,20.67%,20.06%,9.84%,7.93%,13.54%,11.01%,8.56%,16.02%,19.09%,-,-,17.85%,-,
25,Return on Capital Employed (ROCE),22.32%,22.32%,25.97%,26.25%,23.94%,24.09%,23.64%,22.14%,19.37%,16.61%,15.89%,17.66%,17.94%,20.68%,20.45%,-,31.67%,-,17.41%,8.70%
26,Earnings Yield,3.24%,3.37%,4.57%,4.15%,4.50%,4.37%,3.82%,4.07%,3.48%,3.85%,2.83%,3.26%,2.36%,2.39%,2.25%,-,-,-,-,-
27,FCF Yield,0.80%,0.83%,0.37%,3.26%,3.50%,3.97%,4.79%,5.16%,4.80%,0.70%,-1.22%,-0.09%,1.38%,2.74%,2.74%,-,-,-,-,-
28,Dividend Yield,2.42%,-,-,-,2.85%,-,1.20%,-,1.67%,-,1.48%,-,1.22%,-,0.56%,-,-,-,-,-
29,Payout Ratio,79.63%,168.17%,39748.71%,-,-,48.36%,120.20%,-,-,116.60%,142.61%,-,-,159.86%,0.39%,0.92%,3.21%,7.49%,75.86%,75.86%
30,Buyback Yield / Dilution,3.01%,5.75%,3.93%,1.30%,1.08%,1.07%,0.98%,0.51%,-0.01%,0.04%,-15.30%,-25.05%,-25.02%,-25.05%,-10.39%,0.02%,-,-,-,-
31,Total Shareholder Return,5.43%,5.75%,3.93%,1.30%,3.94%,1.07%,2.18%,0.51%,1.66%,0.04%,-13.81%,-25.05%,-23.81%,-25.05%,-9.82%,0.02%,-,-,-,-
