,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
17,Asset Writedown,-1.39,-0,-,0.78,-0.78,1.68,-1.68,0.71,-0.98,-,-,-,-
18,Other Unusual Items,-1.09,-0.26,1.34,-0.41,-,-,-,4.85,-,-,-,0.61,0.61
19,Pretax Income,10.75,20.82,68.33,4.29,12.75,16.07,63.69,4.88,12.19,35.5,35.5,32.63,32.63
20,Income Tax Expense,1.84,2.42,9.45,0.33,1.13,1.29,8.41,0.72,0.71,3.81,3.81,4.66,4.66
21,Net Income,8.91,18.4,58.87,3.96,11.62,14.78,55.27,4.17,11.48,31.68,31.68,27.98,27.98
22,Net Income to Common,8.91,18.4,58.87,3.96,11.62,14.78,55.27,4.17,11.48,31.68,31.68,27.98,27.98
23,Net Income Growth,-23.33%,24.48%,6.51%,-4.92%,1.23%,-53.35%,74.46%,-85.11%,-58.97%,-,-,-,-
24,Shares Outstanding (Basic),375,356,346,336,306,276,263,252,267,-,-,254,254
25,Shares Outstanding (Diluted),375,356,346,336,306,276,263,252,267,-,-,254,254
26,Shares Change (YoY),22.47%,29.20%,31.57%,33.67%,14.49%,-,-,-1.08%,5.10%,-,-,-,-
27,EPS (Basic),0.02,0.05,0.17,0.01,0.04,0.05,0.21,0.02,0.04,-,-,0.11,0.11
28,EPS (Diluted),0.02,0.05,0.17,0.01,0.04,0.05,0.21,0.02,0.04,-,-,0.11,0.11
29,EPS Growth,-37.40%,-3.65%,-19.05%,-28.87%,-11.58%,-,-,-84.94%,-60.96%,-,-,-,-
30,Free Cash Flow,-27.82,-40.57,127,4.52,0.14,-37.68,105.1,7.7,-1.38,31.03,31.03,13.45,13.45
31,Free Cash Flow Per Share,-0.07,-0.11,0.37,0.01,0.00,-0.14,0.40,0.03,-0.01,-,-,0.05,0.05
32,Dividend Per Share,-,-,-,0.100,-,-,-,-,-,-,-,-,-
33,Gross Margin,49.59%,55.70%,62.81%,53.64%,69.50%,55.60%,63.87%,53.53%,-45.64%,100.00%,100.00%,67.73%,67.73%
34,Operating Margin,3.62%,9.29%,24.88%,-2.67%,9.14%,7.59%,28.86%,-3.67%,5.64%,21.54%,21.54%,19.05%,19.05%
35,Profit Margin,7.28%,11.30%,25.09%,4.13%,9.84%,10.12%,24.92%,4.54%,9.45%,18.97%,18.97%,20.10%,20.10%
36,Free Cash Flow Margin,-22.73%,-24.92%,54.13%,4.72%,0.12%,-25.81%,47.39%,8.39%,-1.13%,18.58%,18.58%,9.66%,9.66%
37,EBITDA,10.9,20.51,64.84,3.92,18.64,18.8,71.87,4.48,14.23,43.34,43.34,33.88,33.88
38,EBITDA Margin,8.91%,12.60%,27.64%,4.09%,15.78%,12.88%,32.40%,4.88%,11.72%,25.96%,25.96%,24.34%,24.34%
39,D&A For EBITDA,6.48,5.39,6.48,6.48,7.85,7.72,7.85,7.85,7.38,7.38,7.38,7.36,7.36
40,EBIT,4.43,15.12,58.36,-2.55,10.79,11.09,64.02,-3.37,6.85,35.96,35.96,26.52,26.52
41,EBIT Margin,3.62%,9.29%,24.88%,-2.67%,9.14%,7.59%,28.86%,-3.67%,5.64%,21.54%,21.54%,19.05%,19.05%
42,Effective Tax Rate,17.13%,11.63%,13.84%,7.68%,8.86%,8.05%,13.21%,14.68%,5.85%,10.75%,10.75%,14.27%,14.27%
43,Revenue as Reported,122.41,162.81,234.62,95.83,118.11,146,221.8,91.74,455.38,-,-,-,-
