,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2019
21,Accrued Expenses,-,104.92,138.42,89.53,162.66,84.23,138.71,66.49,120.78,-,-,-,20.27
22,Short-Term Debt,-,368.47,336.5,280.33,323.53,231,301,293.36,234.3,-,-,-,12.7
23,Current Portion of Long-Term Debt,-,55.43,43.46,45.75,36.07,-,12.92,-,0.27,-,-,-,-
24,Current Portion of Leases,-,-,7.25,-,11.88,-,19.66,-,19.4,-,-,-,-
25,Current Income Taxes Payable,-,28.74,11.54,55.27,28.12,10.26,0.3,10.46,5.64,-,-,-,2.58
26,Current Unearned Revenue,-,122.8,92.08,105.92,109.31,97.75,88.17,86.52,104.5,-,-,-,-
27,Other Current Liabilities,-,242.71,115.56,104.8,117.14,108.28,19.13,80.43,120.89,-,-,-,7.01
28,Total Current Liabilities,-,3814,3120,3350,3482,3195,2698,2504,2667,-,-,-,358.5
29,Long-Term Debt,-,229.54,235.74,243.46,243.46,278.87,365.21,313.88,249.25,-,-,-,-
30,Long-Term Leases,-,2.23,3.65,5.04,5.45,7.62,10.4,13.14,14.07,-,-,-,2.44
31,Long-Term Unearned Revenue,-,45.83,31.51,29.34,26.77,30.03,27.38,27.95,28.51,-,-,-,13.53
32,Long-Term Deferred Tax Liabilities,-,5.92,6.37,8.84,3.61,8.01,6.04,6.93,2.9,-,-,-,-
33,Other Long-Term Liabilities,-,75.51,80.5,77.25,74.52,58.82,58.79,49.56,48.15,-,-,-,0.48
34,Total Liabilities,-,4173,3478,3714,3836,3578,3166,2915,3010,-,-,-,374.95
35,Common Stock,-,420.96,420.96,420.96,420.96,420.96,378.86,378.86,378.86,-,-,-,364
36,Additional Paid-In Capital,-,2071,2068,2066,2064,1912,227.03,263.45,261.38,-,-,-,-
37,Retained Earnings,-,829.05,856.81,1008,893.68,677.8,603.09,479.44,391.29,-,-,-,20.7
38,Comprehensive Income & Other,-,0.02,-0,-,-,-,38.63,-,-,-,-,-,-
39,Total Common Equity,3321,3321,3346,3495,3378,3011,1248,1122,1032,-,-,729.02,384.7
40,Minority Interest,-,24.3,21.19,17.47,16.19,9.83,11.97,14.6,16.97,-,-,-,-
41,Shareholders' Equity,3345,3345,3367,3512,3395,3021,1260,1136,1048,-,-,733.75,384.7
42,Total Liabilities & Equity,-,7518,6845,7226,7231,6598,4425,4052,4058,-,-,-,759.66
43,Total Debt,655.66,655.66,626.62,574.57,620.39,517.49,709.19,620.38,517.28,-,-,234.15,15.14
44,Net Cash (Debt),1960,1960,1693,1984,2085,2010,190.19,-66.74,21.67,-,-,124.06,135.21
45,Net Cash Growth,-6.00%,-2.50%,790.32%,-,9523.65%,-,-,-,-83.97%,-,-,-,-
46,Net Cash Per Share,4.74,4.63,4.00,4.69,5.03,4.89,0.51,-0.17,0.06,-,-,0.32,0.32
47,Filing Date Shares Outstanding,413.32,420.96,420.96,420.96,420.96,420.96,378.86,378.86,378.86,374.63,375.01,381.91,364
48,Total Common Shares Outstanding,413.32,420.96,420.96,420.96,420.96,420.96,378.86,378.86,378.86,374.63,375.01,381.91,364
49,Working Capital,-,2206,2271,2450,2393,2223,671.9,519.8,428.42,-,-,-,242.35
50,Book Value Per Share,7.89,7.89,7.95,8.30,8.03,7.15,3.29,2.96,2.72,-,-,2.04,1.06
51,Tangible Book Value,3238,3238,3263,3411,3295,2945,1183,1056,965.6,-,-,669.39,356.77
52,Tangible Book Value Per Share,7.69,7.69,7.75,8.10,7.83,7.00,3.12,2.79,2.55,-,-,1.87,0.98
53,Buildings,-,-,432.83,-,406.07,-,195.42,-,195.42,-,-,-,-
54,Machinery,-,-,773.22,-,655.93,-,490.12,-,380.63,-,-,-,79.12
55,Construction In Progress,-,-,107.61,-,60.69,-,185.34,-,144.14,-,-,-,15.17
