,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
12,Interest & Investment Income,3.37,4.49,6.2,2.76,0.83,0.44,0.5,1.12,1.08,0.14,0.14,0.11,0.11
13,Currency Exchange Gain (Loss),-0.48,0.48,-,1.2,-1.74,1.74,-,6.12,-2.16,1.08,1.08,0.29,0.29
14,Other Non Operating Income (Expenses),-1.13,-0.29,0.05,0.21,1.57,0.71,-1.3,-0.97,0.77,-0.12,-0.12,-0.11,-0.11
15,EBT Excluding Unusual Items,19.42,22.13,24.28,5.47,36.84,51.99,56.1,36.81,46.98,77.37,77.37,14.23,14.23
16,Gain (Loss) on Sale of Investments,-,1.25,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.16,-0.08,0.08,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-0.1,0.1,-,-0.03,1.89,-2.03,2.03,-1.64,0.36,-0.18,-0.18,-0.07,-0.07
19,Other Unusual Items,1.25,0.66,1.17,3.09,-,-,-,4.04,-3.37,1.69,1.69,0.69,0.69
20,Pretax Income,20.72,24.07,25.52,8.53,38.73,49.96,58.13,39.21,43.96,78.88,78.88,14.84,14.84
21,Income Tax Expense,2.14,3.39,3.26,-4.35,4.27,6,7.85,6.34,6.17,9.76,9.76,2.51,2.51
22,Earnings From Continuing Operations,18.58,20.69,22.26,12.88,34.46,43.96,50.27,32.87,37.79,69.12,69.12,12.33,12.33
23,Minority Interest in Earnings,0.65,0.03,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,19.23,20.72,22.26,12.88,34.46,43.96,50.27,32.87,37.79,69.12,69.12,12.33,12.33
25,Net Income to Common,19.23,20.72,22.26,12.88,34.46,43.96,50.27,32.87,37.79,69.12,69.12,12.33,12.33
26,Net Income Growth,-44.18%,-52.88%,-55.72%,-60.81%,-8.83%,-36.39%,-27.26%,166.55%,206.48%,-,-,-,-
27,Shares Outstanding (Basic),120,157,89,123,93,92,93,92,-,92,92,93,93
28,Shares Outstanding (Diluted),120,157,89,123,93,92,93,92,-,92,92,93,93
29,Shares Change (YoY),29.45%,69.83%,-3.84%,33.33%,-,-0.25%,0.22%,-0.98%,-,-,-,-,-
30,EPS (Basic),0.16,0.13,0.25,0.10,0.37,0.48,0.54,0.36,-,0.75,0.75,0.13,0.13
31,EPS (Diluted),0.16,0.13,0.25,0.10,0.37,0.48,0.54,0.36,-,0.75,0.75,0.13,0.13
32,EPS Growth,-56.88%,-72.25%,-53.95%,-70.61%,-,-36.10%,-27.27%,169.19%,-,-,-,-,-
33,Free Cash Flow,23.17,12.55,-4.31,-,26.57,-2.53,41.88,-,-,31.1,31.1,-4.42,-4.42
34,Free Cash Flow Per Share,0.19,0.08,-0.05,-,0.29,-0.03,0.45,-,-,0.34,0.34,-0.05,-0.05
35,Dividend Per Share,-,-,-,0.857,-,-,-,-,-,-,-,-,-
36,Gross Margin,31.70%,29.78%,33.58%,55.43%,35.67%,37.70%,35.02%,54.47%,6.87%,45.60%,45.60%,30.09%,30.09%
37,Operating Margin,15.57%,15.75%,17.18%,2.12%,26.38%,29.89%,28.86%,16.23%,30.35%,36.79%,36.79%,16.43%,16.43%
38,Profit Margin,16.95%,18.64%,20.77%,10.06%,24.85%,26.59%,25.37%,16.43%,24.11%,33.10%,33.10%,13.93%,13.93%
39,Free Cash Flow Margin,20.42%,11.29%,-4.02%,-,19.17%,-1.53%,21.13%,-,-,14.89%,14.89%,-5.00%,-5.00%
40,EBITDA,23.96,24.86,24.7,9.01,42.61,55.47,63.22,38.51,53.61,82.87,82.87,19.4,19.4
41,EBITDA Margin,21.11%,22.37%,23.05%,7.03%,30.74%,33.55%,31.91%,19.24%,34.20%,39.68%,39.68%,21.92%,21.92%
42,D&A For EBITDA,6.29,7.35,6.29,6.29,6.04,6.05,6.04,6.04,6.05,6.05,6.05,4.86,4.86
43,EBIT,17.67,17.51,18.42,2.72,36.58,49.42,57.19,32.47,47.56,76.82,76.82,14.54,14.54
44,EBIT Margin,15.57%,15.75%,17.18%,2.12%,26.38%,29.89%,28.86%,16.23%,30.35%,36.79%,36.79%,16.43%,16.43%
45,Effective Tax Rate,10.32%,14.06%,12.77%,-,11.03%,12.00%,13.51%,16.17%,14.02%,12.38%,12.38%,16.91%,16.91%
46,Revenue as Reported,113.47,111.15,107.19,630.24,138.64,165.35,198.16,774.47,-,208.82,208.82,88.49,88.49
