,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Total Current Assets,1420,1301,1353,-,-,1273,1199,1503,1124,1030,1067,1044,910.72,841.48,844.96,1007,2446,24.92,16.65,22.57,Upgrade
10,"Property, Plant & Equipment",6.43,7.57,8.74,-,-,11.33,13.12,8.44,7.31,8.89,10.47,11.32,12.72,13.2,14.55,3.88,4.07,2.54,0.86,1.05,Upgrade
11,Goodwill,447.74,446.58,446.58,-,-,454.56,454.56,454.56,454.56,454.56,454.56,454.56,454.56,454.56,454.56,454.56,461.83,-,-,-,Upgrade
12,Other Intangible Assets,11.06,11.46,11.28,-,-,12.39,9.3,9.69,1.63,1.73,1.74,1.83,0.36,0.41,0.46,0.52,0.59,35.03,35.05,34.54,Upgrade
13,Long-Term Deferred Tax Assets,4.07,2.68,2.13,-,-,1.58,1.02,1.04,1.32,1.31,1.22,1.48,1.85,1.83,1.93,1.88,0.6,-,-,-,Upgrade
14,Long-Term Deferred Charges,0.28,0.28,0.4,-,-,0.48,0.34,0.64,0.82,0.97,1.2,1.33,1.42,1.37,1.13,0.6,0.62,-,-,-,Upgrade
15,Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-,-,-,-,-,-,Upgrade
16,Total Assets,1890,1770,1822,-,-,1754,1677,1977,1589,1497,1537,1514,1382,1313,1318,1468,2914,62.49,52.57,58.16,Upgrade
17,Accounts Payable,335.36,297.08,243.44,-,-,244.42,243.37,519.67,317.01,141.32,182.11,291.18,166.87,124.09,168.95,140.35,1137,39.49,39.46,38.85,Upgrade
18,Accrued Expenses,2.61,7.48,3.03,-,-,9.65,10.55,16.29,3.85,5.08,2.99,9.15,2.82,5.12,2.27,17.42,30.47,10.05,9.19,18.01,Upgrade
19,Short-Term Debt,364.07,275.21,360.15,-,-,307.08,214.64,234.55,146.16,291.2,302.09,200.31,194.97,203.32,161.87,355.37,754,-,-,-,Upgrade
20,Current Portion of Long-Term Debt,-,31.04,29.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Current Portion of Leases,33.01,2.71,-,-,-,26.15,5.68,3.54,2.66,4.14,2.97,5.25,-,-,-,-,-,-,-,-,Upgrade
22,Current Income Taxes Payable,17.52,1.68,6.8,-,-,14.6,17.43,15.63,29.19,13.95,13.79,8.77,34.89,27.86,45.92,31.27,25.34,-,1.16,-,Upgrade
23,Current Unearned Revenue,4.16,14.02,25.77,-,-,1.95,2.17,3.26,0.41,0.9,6.65,1.31,0.72,1.22,0.28,0.63,0.54,-,1.11,1.1,Upgrade
24,Other Current Liabilities,722.55,726.64,723.65,-,-,709.65,838.47,835.17,756.99,751.2,763.58,758.35,745.82,735.85,726.47,747.2,837.24,23.99,27.74,24.1,Upgrade
25,Total Current Liabilities,1479,1356,1393,-,-,1313,1332,1628,1256,1208,1274,1274,1146,1097,1106,1292,2784,73.52,78.66,82.06,Upgrade
26,Long-Term Debt,58.07,58.07,75.11,-,-,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Long-Term Leases,1.11,1.42,1.84,-,-,2.84,4.1,1.25,1.17,1.13,3.5,1.82,8.23,9.04,10.69,-,-,-,-,-,Upgrade
28,Other Long-Term Liabilities,-,-,-,-,-,0.33,0.32,0.32,3.66,3.62,3.57,3.57,4.94,4.94,4.94,6.97,-,7.93,7.94,7.82,Upgrade
29,Total Liabilities,1538,1415,1470,-,-,1406,1337,1630,1261,1213,1281,1280,1159,1111,1121,1299,2784,81.46,86.6,89.88,Upgrade
30,Common Stock,322.75,322.75,322.75,-,-,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,290.09,Upgrade
31,Additional Paid-In Capital,477.96,471.21,465.18,-,-,382.99,382.33,377.44,371.45,365.24,360.3,355.38,350.51,337.47,334.66,337.59,332.96,316.27,294.86,294.86,Upgrade
32,Retained Earnings,-693.04,-678.92,-659.8,-,-,-625.02,-606.83,-596.46,-606.02,-605.63,-607.56,-611.37,-611.89,-605.58,-599.67,-614.61,-630.38,-611.5,-605.16,-604.14,Upgrade
33,Treasury Stock,-103.21,-103.21,-103.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Comprehensive Income & Other,14.15,16.98,12.96,-,-,18.57,7.69,11.28,14.11,5.12,-0.32,-1.36,1.35,1.24,1.24,2.7,7.42,-5.82,-5.81,-4.6,Upgrade
35,Total Common Equity,18.61,28.82,37.88,-,-,66.63,73.28,82.34,69.63,54.83,42.51,32.74,30.06,23.22,26.32,15.77,0.1,-10.96,-26.03,-23.79,Upgrade
36,Minority Interest,332.74,325.62,314.22,-,-,281.5,266.93,265.39,258.53,229.69,212.76,201.89,192.33,178.34,169.89,153.44,129.54,-8.01,-8.01,-7.93,Upgrade
37,Shareholders' Equity,351.35,354.44,352.1,-,-,348.12,340.21,347.74,328.16,284.52,255.26,234.63,222.39,201.55,196.21,169.21,129.64,-18.97,-34.03,-31.72,Upgrade
38,Total Liabilities & Equity,1890,1770,1822,-,-,1754,1677,1977,1589,1497,1537,1514,1382,1313,1318,1468,2914,62.49,52.57,58.16,Upgrade
39,Total Debt,456.27,368.47,466.94,-,-,425.07,224.42,239.34,149.99,296.46,308.56,207.38,203.2,212.36,172.56,355.37,754,-,-,-,Upgrade
40,Net Cash (Debt),-426.42,-322.81,-426.55,-,-,-389.34,-164.63,-195.7,-104.26,-239.98,-279.12,-187.23,-185.07,-145.07,-100.1,-36.85,662.03,21.49,4.16,8.98,Upgrade
41,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8585.27%,83.82%,-65.59%,-71.68%,Upgrade
42,Net Cash Per Share,-0.52,-0.40,-0.52,-,-,-0.48,-0.20,-0.25,-0.13,-0.29,-0.34,-0.24,-0.23,-0.17,-0.12,-0.05,0.67,0.03,0.01,0.01,Upgrade
43,Filing Date Shares Outstanding,846.74,846.74,819.07,-,820.38,816.63,816.63,816.63,816.63,816.63,809.62,816.63,816.63,816.63,816.28,816.63,816.63,816.63,788.58,816.63,Upgrade
44,Total Common Shares Outstanding,846.74,846.74,819.07,-,820.38,816.63,816.63,816.63,816.63,816.63,809.62,816.63,816.63,816.63,816.28,816.63,816.63,816.63,788.58,816.63,Upgrade
45,Working Capital,-59.04,-54.64,-40.08,-,-,-40.04,-133.72,-125.05,-132.64,-178.2,-206.86,-230.5,-235.36,-255.98,-260.8,-285.26,-338.07,-48.6,-62.01,-59.5,Upgrade
46,Book Value Per Share,0.02,0.03,0.05,-,-,0.08,0.09,0.10,0.09,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.00,-0.01,-0.03,-0.03,Upgrade
47,Tangible Book Value,-440.19,-429.22,-419.98,-,-,-400.32,-390.58,-381.91,-386.56,-401.46,-413.79,-423.65,-424.86,-431.76,-428.71,-439.31,-462.32,-45.98,-61.08,-58.34,Upgrade
48,Tangible Book Value Per Share,-0.52,-0.51,-0.51,-,-,-0.49,-0.48,-0.47,-0.47,-0.49,-0.51,-0.52,-0.52,-0.53,-0.52,-0.54,-0.57,-0.06,-0.08,-0.07,Upgrade
49,Buildings,-,1.8,-,-,-,1.8,-,1.8,-,1.8,-,1.8,-,1.8,-,1.8,-,17.46,-,15.42,Upgrade
50,Machinery,-,15.28,-,-,-,15,-,14.7,-,14.78,-,14.73,-,14.08,-,14.15,-,54.14,-,55.04,Upgrade
