,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
30,EPS Growth,5.74%,39.72%,7.89%,155.60%,10.40%,3.42%,56.73%,-52.64%,-,-,-,-
31,Free Cash Flow,-,-38.65,-142.02,-268.31,498.11,32.47,35.2,-215.34,225.76,3.84,-111.75,-111.75
32,Free Cash Flow Per Share,-,-0.21,-0.81,-1.56,2.84,0.18,0.26,-1.71,1.66,0.03,-0.85,-0.85
33,Dividend Per Share,-,-,-,-,0.667,-,-,-,-,-,-,-
34,Gross Margin,-10.90%,39.12%,31.86%,43.16%,28.77%,34.45%,34.43%,33.51%,36.36%,39.06%,36.53%,36.53%
35,Operating Margin,18.48%,28.20%,14.13%,18.27%,12.01%,21.34%,16.44%,10.42%,14.94%,19.91%,18.11%,18.11%
36,Profit Margin,11.23%,24.67%,15.64%,17.97%,13.27%,17.73%,13.31%,6.49%,12.65%,15.93%,11.90%,11.90%
37,Free Cash Flow Margin,-,-13.70%,-47.58%,-146.30%,137.46%,11.67%,13.86%,-147.91%,84.38%,1.75%,-63.83%,-63.83%
38,EBITDA,93.35,91.49,55.18,45.46,55.48,69.48,53.34,25.28,50.08,52.59,40.59,40.59
39,EBITDA Margin,21.19%,32.43%,18.49%,24.79%,15.31%,24.97%,20.99%,17.36%,18.72%,23.96%,23.18%,23.18%
40,D&A For EBITDA,11.95,11.95,13.02,11.95,11.95,10.1,11.57,10.1,10.1,8.88,8.88,8.88
41,EBIT,81.4,79.54,42.16,33.51,43.54,59.37,41.78,15.17,39.97,43.7,31.71,31.71
42,EBIT Margin,18.48%,28.20%,14.13%,18.27%,12.01%,21.34%,16.44%,10.42%,14.94%,19.91%,18.11%,18.11%
43,Effective Tax Rate,27.53%,11.63%,6.13%,16.23%,12.84%,10.43%,14.71%,3.98%,9.59%,8.61%,18.14%,18.14%
44,Revenue as Reported,-,282.08,298.48,183.39,362.37,278.2,254.09,145.59,267.54,219.5,175.09,175.09
