,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
24,Long-Term Unearned Revenue,-,34.83,38.29,29.2,31.56,29.9,30.11,32.81,35.43,40.35,-,54.12,54.26,-,-
25,Long-Term Deferred Tax Liabilities,-,-,-,-,-,22.35,23.84,25.06,26.63,-,-,-,-,-,-
26,Total Liabilities,-,2033,1823,2072,2473,3109,2941,2978,2715,3364,-,2585,2500,-,-
27,Common Stock,-,596.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,-,360,360,-,-
28,Additional Paid-In Capital,-,4134,4329,4329,4328,4328,4327,4327,4326,4325,-,1616,1608,-,-
29,Retained Earnings,-,1262,1504,1380,1259,1103,1212,1019,903.23,784.39,-,682.97,582.66,-,-
30,Comprehensive Income & Other,-,14.73,13.61,12.51,10.51,10.83,10.07,8.27,6.32,-,-,-,-,-,-
31,Shareholders' Equity,6006,6006,6247,6121,5998,5842,5949,5754,5636,5510,-,2659,2551,-,2177
32,Total Liabilities & Equity,-,8039,8070,8193,8471,8951,8890,8732,8350,8873,-,5244,5051,-,-
33,Total Debt,116.59,116.59,135.67,135.15,133.78,152.53,171.86,169.17,167.43,146.91,-,164.35,196.43,-,373.23
34,Net Cash (Debt),2489,2489,2771,2226,2597,2064,2560,2277,2673,3251,-,753.98,829.27,-,208.62
35,Net Cash Growth,-4.17%,20.59%,8.27%,-2.24%,-2.83%,-36.51%,-,201.97%,222.34%,-,-,-,-,-,-
36,Net Cash Per Share,4.11,4.18,4.68,3.71,4.35,3.46,4.29,3.82,4.45,5.63,-,1.41,1.54,-,0.40
37,Filing Date Shares Outstanding,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,536.31,536.4,536.4,538.14,524.47
38,Total Common Shares Outstanding,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,596.01,536.31,536.4,536.4,538.14,524.47
39,Working Capital,-,4112,4387,4237,4158,4146,4310,4185,4122,4166,-,1522,1454,-,-
40,Book Value Per Share,10.08,10.08,10.48,10.27,10.06,9.80,9.98,9.65,9.46,9.24,-,4.96,4.76,-,4.06
41,Tangible Book Value,5908,5908,6146,6019,5894,5739,5848,5697,5578,5454,-,2607,2504,-,2129
42,Tangible Book Value Per Share,9.91,9.91,10.31,10.10,9.89,9.63,9.81,9.56,9.36,9.15,-,4.86,4.67,-,3.97
43,Buildings,-,-,703.58,-,703.58,-,768.7,-,256.54,-,-,-,-,-,-
44,Machinery,-,-,1284,-,1249,-,990.57,-,844.67,-,-,-,631.48,-,-
45,Construction In Progress,-,-,289.75,-,177.49,-,207.67,-,720.7,-,-,-,683.15,-,-
