,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
36,Gross Margin,172.81%,38.12%,36.62%,33.42%,32.48%,33.76%,34.58%,38.92%,33.73%,38.60%,38.27%,38.62%,37.51%,42.31%,41.15%,41.15%
37,Operating Margin,17.72%,16.23%,-0.02%,-5.29%,9.14%,13.17%,3.30%,-13.57%,7.07%,21.74%,11.00%,-18.68%,17.85%,25.58%,7.47%,7.47%
38,Profit Margin,13.89%,11.36%,7.16%,1.65%,15.02%,15.03%,6.29%,-3.36%,16.28%,20.40%,10.37%,-14.31%,24.78%,16.52%,12.49%,12.49%
39,Free Cash Flow Margin,-,54.83%,-56.77%,-82.66%,16.11%,-13.07%,-33.47%,-208.50%,18.31%,14.09%,7.71%,-6.23%,-4.43%,16.40%,-23.14%,-23.14%
40,EBITDA,42.29,20.06,2.91,0.52,20.54,16.23,5.98,-1.74,14.82,20.69,11.25,-1.5,29.27,20.39,6.54,6.54
41,EBITDA Margin,18.99%,18.89%,2.74%,1.19%,10.60%,16.40%,7.09%,-4.78%,9.02%,25.41%,15.14%,-6.25%,19.89%,29.89%,13.59%,13.59%
42,D&A For EBITDA,2.83,2.83,2.94,2.83,2.83,3.2,3.19,3.2,3.2,2.99,3.08,2.99,2.99,2.94,2.94,2.94
43,EBIT,39.46,17.23,-0.03,-2.31,17.72,13.02,2.79,-4.95,11.62,17.7,8.17,-4.49,26.28,17.44,3.59,3.59
44,EBIT Margin,17.72%,16.23%,-0.02%,-5.29%,9.14%,13.17%,3.30%,-13.57%,7.07%,21.74%,11.00%,-18.68%,17.85%,25.58%,7.47%,7.47%
45,Effective Tax Rate,14.06%,0.83%,2.13%,-,10.98%,3.93%,-,-,6.33%,9.22%,4.45%,-,13.11%,8.40%,5.76%,5.76%
46,Revenue as Reported,-,106.18,106.23,43.67,193.76,98.93,84.42,36.44,164.4,81.4,74.32,24.05,147.19,68.21,48.1,48.1
