,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
40,Net Cash Per Share,6.43,6.61,6.18,6.48,6.52,6.68,6.86,8.90,8.56,11.03,-,0.80,0.84,-,1.21,1.21
41,Filing Date Shares Outstanding,71.65,71.65,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,57.35,53.45,49.55,53.45,53.45
42,Total Common Shares Outstanding,71.65,71.65,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,71.26,57.35,53.45,49.55,53.45,53.45
43,Working Capital,-,710.88,694.39,689.91,700.09,714.32,724.21,746.98,783.61,749.73,-,-,207.41,-,166.55,166.55
44,Book Value Per Share,13.90,13.90,13.69,13.54,13.48,13.47,13.25,13.17,13.19,12.81,-,6.76,6.76,-,5.84,5.84
45,Tangible Book Value,974.6,974.6,953.83,942.45,938.24,937.19,920.98,915.14,926.46,899.12,-,346.58,346.58,-,296.75,296.75
46,Tangible Book Value Per Share,13.60,13.60,13.39,13.23,13.17,13.15,12.92,12.84,13.00,12.62,-,6.48,6.48,-,5.55,5.55
47,Buildings,-,-,136.92,-,136.92,-,136.92,-,136.92,-,-,-,136.92,-,136.92,136.92
48,Machinery,-,-,56.11,-,55.5,-,50.98,-,48.59,-,-,-,38.74,-,34.96,34.96
49,Construction In Progress,-,-,116.75,-,97.57,-,27.29,-,0.76,-,-,-,0.43,-,-,-
