,field_name,name,en_name,type,order,unit,com_type_code
70,BSA96,TỔNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES,Chỉ tiêu cân đối kế toán,24,tỷ,CT
71,BSA53,Tổng tài sản,Total Assets,Chỉ tiêu cân đối kế toán,1,tỷ,NH
72,BSA2,"Tiền mặt, vàng bạc, đá quý",Cash and Precious Metals,Chỉ tiêu cân đối kế toán,2,tỷ,NH
73,BSB97,Tiền gửi tại ngân hàng nhà nước Việt Nam,Balances with the SBV,Chỉ tiêu cân đối kế toán,3,tỷ,NH
74,BSB98,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,Chỉ tiêu cân đối kế toán,4,tỷ,NH
75,BSB99,Chứng khoán kinh doanh,"Trading Securities, net",Chỉ tiêu cân đối kế toán,5,tỷ,NH
76,BSB100,Chứng khoán kinh doanh,Trading Securities,Chỉ tiêu cân đối kế toán,6,tỷ,NH
77,BSB101,Dự phòng giảm giá chứng khoán kinh doanh,Provision for diminution in value of Trading Securities,Chỉ tiêu cân đối kế toán,7,tỷ,NH
78,BSB102,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Derivatives and other financial liabilities,Chỉ tiêu cân đối kế toán,8,tỷ,NH
79,BSB103,Cho vay khách hàng,"Loans and advances to customers, net",Chỉ tiêu cân đối kế toán,9,tỷ,NH
80,BSB104,Cho vay khách hàng,Loans and advances to customers,Chỉ tiêu cân đối kế toán,10,tỷ,NH
81,BSB105,Dự phòng rủi ro cho vay khách hàng,Less: Provision for losses on loans and advances to customers,Chỉ tiêu cân đối kế toán,11,tỷ,NH
82,BSB106,Chứng khoán đầu tư,Investment Securities,Chỉ tiêu cân đối kế toán,12,tỷ,NH
83,BSB107,Chứng khoán đầu tư sẵn sàng để bán,Available-for Sales Securities,Chỉ tiêu cân đối kế toán,13,tỷ,NH
84,BSB108,Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-Maturity Securities,Chỉ tiêu cân đối kế toán,14,tỷ,NH
85,BSB109,Dự phòng giảm giá chứng khoán đầu tư,Less: Provision for diminution in value of investment securities,Chỉ tiêu cân đối kế toán,15,tỷ,NH
86,BSA43,"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,Chỉ tiêu cân đối kế toán,16,tỷ,NH
87,BSA44,Đầu tư vào công ty con,Investment in joint ventures,Chỉ tiêu cân đối kế toán,17,tỷ,NH
88,BSA45,Đầu tư vào công ty liên doanh,Investments in associate companies,Chỉ tiêu cân đối kế toán,18,tỷ,NH
89,BSA46,Đầu tư dài hạn khác,Other long-term investments,Chỉ tiêu cân đối kế toán,19,tỷ,NH
90,BSA47,Dự phòng giảm giá đầu tư dài hạn,Less: Provision for diminuation in value of long term investments,Chỉ tiêu cân đối kế toán,20,tỷ,NH
91,BSA29,Tài sản cổ định,Fixed assets,Chỉ tiêu cân đối kế toán,21,tỷ,NH
92,BSA30,Tài sản cố định hữu hình,Tangible fixed assets,Chỉ tiêu cân đối kế toán,22,tỷ,NH
93,BSA33,Tài sản cố định thuê tài chính,Leased assets,Chỉ tiêu cân đối kế toán,23,tỷ,NH
94,BSA36,Tài sản cố định vô hình,Intagible fixed assets,Chỉ tiêu cân đối kế toán,24,tỷ,NH
95,BSA40,Giá trị ròng tài sản đầu tư,Investment in properties,Chỉ tiêu cân đối kế toán,25,tỷ,NH
96,BSB110,Tài sản Có khác,Other Assets,Chỉ tiêu cân đối kế toán,26,tỷ,NH
97,BSA96,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,Chỉ tiêu cân đối kế toán,27,tỷ,NH
98,BSA54,Tổng nợ phải trả,Total Liabilities,Chỉ tiêu cân đối kế toán,28,tỷ,NH
99,BSB111,Các khoản nợ chính phủ và NHNN Việt Nam,Due to Gov and borrowings from SBV,Chỉ tiêu cân đối kế toán,29,tỷ,NH
100,BSB112,Tiền gửi và vay các Tổ chức tín dụng khác,Deposits and borrowings from other credit institutions,Chỉ tiêu cân đối kế toán,30,tỷ,NH
101,BSB113,Tiền gửi của khách hàng,Deposits from customers,Chỉ tiêu cân đối kế toán,31,tỷ,NH
102,BSB114,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Derivatives and other financial liabilities,Chỉ tiêu cân đối kế toán,32,tỷ,NH
103,BSB115,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác","Funds received from Gov, international and other institutions",Chỉ tiêu cân đối kế toán,33,tỷ,NH
104,BSB116,Phát hành giấy tờ có giá,Convertible bonds/CDs and other valuable papers issued,Chỉ tiêu cân đối kế toán,34,tỷ,NH
105,BSB117,Các khoản nợ khác,Other liabilities,Chỉ tiêu cân đối kế toán,35,tỷ,NH
106,BSA78,Vốn chủ sở hữu,Shareholders’ Equity,Chỉ tiêu cân đối kế toán,36,tỷ,NH
107,BSB118,Vốn của tổ chức tín dụng,Capital,Chỉ tiêu cân đối kế toán,37,tỷ,NH
108,BSB121,Quỹ của tổ chức tín dụng,Reserves,Chỉ tiêu cân đối kế toán,38,tỷ,NH
109,BSA85,Chênh lệch tỷ giá hối đoái,Foreign Currency Difference reserve,Chỉ tiêu cân đối kế toán,39,tỷ,NH
110,BSA84,Chênh lệch đánh giá lại tài sản,Difference upon Assets Revaluation,Chỉ tiêu cân đối kế toán,40,tỷ,NH
111,BSA90,Lợi nhuận chưa phân phối,Retained Earnings,Chỉ tiêu cân đối kế toán,41,tỷ,NH
112,BSA95,Cổ đông thiểu số,Minority Interest,Chỉ tiêu cân đối kế toán,42,tỷ,NH
113,CFA1,Lãi/Lỗ ròng trước thuế,Net Profit/Loss before tax,Chỉ tiêu lưu chuyển tiền tệ,20,tỷ,BH
114,CFA2,Chi phí khấu hao TSCĐ,Depreciation & Amortization,Chỉ tiêu lưu chuyển tiền tệ,21,tỷ,BH
115,CFA3,Chi phí dự phòng,Provisions,Chỉ tiêu lưu chuyển tiền tệ,22,tỷ,BH
116,CFA4,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Unrealized foreign exchange gain/loss,Chỉ tiêu lưu chuyển tiền tệ,23,tỷ,BH
117,CFA5,Lãi/Lỗ từ thanh lý tài sản cố định,Profit/Loss from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,24,tỷ,BH
118,CFA6,Lãi/Lỗ từ hoạt động đầu tư,Profit/Loss from investing activities,Chỉ tiêu lưu chuyển tiền tệ,25,tỷ,BH
119,CFA7,Thu nhập lãi,Interest Expense,Chỉ tiêu lưu chuyển tiền tệ,26,tỷ,BH
120,CFA8,Thu lãi và cổ tức,Interest income and dividends,Chỉ tiêu lưu chuyển tiền tệ,27,tỷ,BH
121,CFA9,Lãi/Lỗ trước những thay đổi vốn cố định,Operating Profit/Loss before changes in WC,Chỉ tiêu lưu chuyển tiền tệ,28,tỷ,BH
122,CFA10,Tăng/Giảm các khoản phải thu,Increase/Decrease in receivables,Chỉ tiêu lưu chuyển tiền tệ,29,tỷ,BH
123,CFA11,Tăng/Giảm hàng tồn kho,Increase/Decrease in inventories,Chỉ tiêu lưu chuyển tiền tệ,30,tỷ,BH
124,CFA12,Tăng/Giảm các khoản phải trả,Increase/Decrease in payables,Chỉ tiêu lưu chuyển tiền tệ,31,tỷ,BH
125,CFA13,Tăng/Giảm chi phí trả trước,Increase/Decrease in prepaid expenses,Chỉ tiêu lưu chuyển tiền tệ,32,tỷ,BH
126,CFA14,Chi phí lãi vay đã trả,Interest paid,Chỉ tiêu lưu chuyển tiền tệ,33,tỷ,BH
127,CFA15,Tiền thu nhập doanh nghiệp đã trả,Business Income Tax paid,Chỉ tiêu lưu chuyển tiền tệ,34,tỷ,BH
128,CFA16,Tiền thu khác từ các hoạt động kinh doanh,Other receipts from operating activities,Chỉ tiêu lưu chuyển tiền tệ,35,tỷ,BH
129,CFA17,Tiền chi khác từ các hoạt động kinh doanh,Other payments on operating activities,Chỉ tiêu lưu chuyển tiền tệ,36,tỷ,BH
130,CFA18,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Net cash inflows/outflows from operating activities,Chỉ tiêu lưu chuyển tiền tệ,37,tỷ,BH
131,CFA19,Tiền mua tài sản cố định và các tài sản dài hạn khác,Purchase of fixed assets and other long-term assets,Chỉ tiêu lưu chuyển tiền tệ,38,tỷ,BH
132,CFA20,Tiền thu được từ thanh lý tài sản cố định,Proceeds from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,39,tỷ,BH
133,CFA21,Tiền cho vay hoặc mua công cụ nợ,"Loans granted, purchases of debt instruments",Chỉ tiêu lưu chuyển tiền tệ,40,tỷ,BH
134,CFA22,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"Collection of loans, proceeds from sales of debts instruments",Chỉ tiêu lưu chuyển tiền tệ,41,tỷ,BH
135,CFA23,Đầu tư vào các doanh nghiệp khác,Investment in other entities,Chỉ tiêu lưu chuyển tiền tệ,42,tỷ,BH
136,CFA24,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Proceeds from divestment in other entities,Chỉ tiêu lưu chuyển tiền tệ,43,tỷ,BH
137,CFA25,Cổ tức và tiền lãi nhận được,Dividends and interest received,Chỉ tiêu lưu chuyển tiền tệ,44,tỷ,BH
138,CFA26,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,Net cash inflows/outflows from investing activities,Chỉ tiêu lưu chuyển tiền tệ,45,tỷ,BH
139,CFA27,Tiền thu từ phát hành cổ phiếu và vốn góp,Proceeds from shares issue,Chỉ tiêu lưu chuyển tiền tệ,46,tỷ,BH
140,CFA28,"Chi trả cho việc mua lại, trả cổ phiếu",Payments for share repurchases,Chỉ tiêu lưu chuyển tiền tệ,47,tỷ,BH
141,CFA29,Tiền thu được các khoản đi vay,Proceeds from borrowings,Chỉ tiêu lưu chuyển tiền tệ,48,tỷ,BH
142,CFA30,Tiền trả các khoản đi vay,Repayment of borrowings,Chỉ tiêu lưu chuyển tiền tệ,49,tỷ,BH
143,CFA31,Tiền thanh toán vốn gốc đi thuê tài chính,Finance lease principal payments,Chỉ tiêu lưu chuyển tiền tệ,50,tỷ,BH
144,CFA32,Cổ tức đã trả,Dividends paid,Chỉ tiêu lưu chuyển tiền tệ,51,tỷ,BH
145,CFA33,Cố tức đã nhận,Dividends received,Chỉ tiêu lưu chuyển tiền tệ,52,tỷ,BH
146,CFA34,Lưu chuyển tiền tệ từ hoạt động tài chính,Net cash inflows/outflows from financing activities,Chỉ tiêu lưu chuyển tiền tệ,53,tỷ,BH
147,CFA35,Lưu chuyển tiền thuần trong kỳ,Net increase/decrease in cash and cash equivalents,Chỉ tiêu lưu chuyển tiền tệ,54,tỷ,BH
148,CFA36,Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of period,Chỉ tiêu lưu chuyển tiền tệ,55,tỷ,BH
149,CFA37,Ảnh hưởng của chênh lệch tỷ giá,Foreign exchange differences Adjustment,Chỉ tiêu lưu chuyển tiền tệ,56,tỷ,BH
150,CFA38,Tiền và tương đương tiền cuối kỳ,Cash and Cash Equivalents at the end of period,Chỉ tiêu lưu chuyển tiền tệ,57,tỷ,BH
151,CFA1,Lãi/Lỗ ròng trước thuế,Net Profit/Loss before tax,Chỉ tiêu lưu chuyển tiền tệ,19,tỷ,CK
152,CFA2,Chi phí khấu hao TSCĐ,Depreciation & Amortization,Chỉ tiêu lưu chuyển tiền tệ,20,tỷ,CK
153,CFA3,Chi phí dự phòng,Provisions,Chỉ tiêu lưu chuyển tiền tệ,21,tỷ,CK
154,CFA4,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Unrealized foreign exchange gain/loss,Chỉ tiêu lưu chuyển tiền tệ,22,tỷ,CK
155,CFS191,Lãi/Lỗ từ thanh lý tài sản cố định,Profit/Loss from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,23,tỷ,CK
156,CFA6,Lãi/Lỗ từ hoạt động đầu tư,Profit/Loss from investing activities,Chỉ tiêu lưu chuyển tiền tệ,24,tỷ,CK
157,CFA7,Thu nhập lãi,Interest Expense,Chỉ tiêu lưu chuyển tiền tệ,25,tỷ,CK
158,CFA8,Thu lãi và cổ tức,Interest income and dividends,Chỉ tiêu lưu chuyển tiền tệ,26,tỷ,CK
159,CFA9,Lãi/Lỗ trước những thay đổi vốn cố định,Operating Profit/Loss before changes in WC,Chỉ tiêu lưu chuyển tiền tệ,27,tỷ,CK
160,CFS200,Tăng/Giảm các khoản phải thu,Increase/Decrease in receivables,Chỉ tiêu lưu chuyển tiền tệ,28,tỷ,CK
161,CFA11,Tăng/Giảm hàng tồn kho,Increase/Decrease in inventories,Chỉ tiêu lưu chuyển tiền tệ,29,tỷ,CK
162,CFS210,Tăng/Giảm các khoản phải trả,Increase/Decrease in payables,Chỉ tiêu lưu chuyển tiền tệ,30,tỷ,CK
163,CFA13,Tăng/Giảm chi phí trả trước,Increase/Decrease in prepaid expenses,Chỉ tiêu lưu chuyển tiền tệ,31,tỷ,CK
164,CFA14,Chi phí lãi vay đã trả,Interest paid,Chỉ tiêu lưu chuyển tiền tệ,32,tỷ,CK
165,CFA15,Tiền thu nhập doanh nghiệp đã trả,Business Income Tax paid,Chỉ tiêu lưu chuyển tiền tệ,33,tỷ,CK
166,CFA16,Tiền thu khác từ các hoạt động kinh doanh,Other receipts from operating activities,Chỉ tiêu lưu chuyển tiền tệ,34,tỷ,CK
167,CFA17,Tiền chi khác từ các hoạt động kinh doanh,Other payments on operating activities,Chỉ tiêu lưu chuyển tiền tệ,35,tỷ,CK
168,CFA18,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Net cash inflows/outflows from operating activities,Chỉ tiêu lưu chuyển tiền tệ,36,tỷ,CK
169,CFA19,Tiền mua tài sản cố định và các tài sản dài hạn khác,Purchase of fixed assets and other long-term assets,Chỉ tiêu lưu chuyển tiền tệ,37,tỷ,CK
170,CFA20,Tiền thu được từ thanh lý tài sản cố định,Proceeds from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,38,tỷ,CK
171,CFA21,Tiền cho vay hoặc mua công cụ nợ,"Loans granted, purchases of debt instruments",Chỉ tiêu lưu chuyển tiền tệ,39,tỷ,CK
172,CFA22,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"Collection of loans, proceeds from sales of debts instruments",Chỉ tiêu lưu chuyển tiền tệ,40,tỷ,CK
173,CFA23,Đầu tư vào các doanh nghiệp khác,Investment in other entities,Chỉ tiêu lưu chuyển tiền tệ,41,tỷ,CK
174,CFA24,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Proceeds from divestment in other entities,Chỉ tiêu lưu chuyển tiền tệ,42,tỷ,CK
175,CFA25,Cổ tức và tiền lãi nhận được,Dividends and interest received,Chỉ tiêu lưu chuyển tiền tệ,43,tỷ,CK
176,CFA26,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,Net cash inflows/outflows from investing activities,Chỉ tiêu lưu chuyển tiền tệ,44,tỷ,CK
177,CFA27,Tiền thu từ phát hành cổ phiếu và vốn góp,Proceeds from shares issue,Chỉ tiêu lưu chuyển tiền tệ,45,tỷ,CK
178,CFA28,"Chi trả cho việc mua lại, trả cổ phiếu",Payments for share repurchases,Chỉ tiêu lưu chuyển tiền tệ,46,tỷ,CK
179,CFA29,Tiền thu được các khoản đi vay,Proceeds from borrowings,Chỉ tiêu lưu chuyển tiền tệ,47,tỷ,CK
180,CFA30,Tiền trả các khoản đi vay,Repayment of borrowings,Chỉ tiêu lưu chuyển tiền tệ,48,tỷ,CK
181,CFA31,Tiền thanh toán vốn gốc đi thuê tài chính,Finance lease principal payments,Chỉ tiêu lưu chuyển tiền tệ,49,tỷ,CK
182,CFA32,Cổ tức đã trả,Dividends paid,Chỉ tiêu lưu chuyển tiền tệ,50,tỷ,CK
183,CFA33,Cố tức đã nhận,Dividends received,Chỉ tiêu lưu chuyển tiền tệ,51,tỷ,CK
184,CFA34,Lưu chuyển tiền tệ từ hoạt động tài chính,Net cash inflows/outflows from financing activities,Chỉ tiêu lưu chuyển tiền tệ,52,tỷ,CK
185,CFA35,Lưu chuyển tiền thuần trong kỳ,Net increase/decrease in cash and cash equivalents,Chỉ tiêu lưu chuyển tiền tệ,53,tỷ,CK
186,CFA36,Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of period,Chỉ tiêu lưu chuyển tiền tệ,54,tỷ,CK
187,CFA37,Ảnh hưởng của chênh lệch tỷ giá,Foreign exchange differences Adjustment,Chỉ tiêu lưu chuyển tiền tệ,55,tỷ,CK
188,CFA38,Tiền và tương đương tiền cuối kỳ,Cash and Cash Equivalents at the end of period,Chỉ tiêu lưu chuyển tiền tệ,56,tỷ,CK
189,CFA1,Lãi/Lỗ ròng trước thuế,Net Profit/Loss before tax,Chỉ tiêu lưu chuyển tiền tệ,15,tỷ,CT
190,CFA2,Chi phí khấu hao TSCĐ,Depreciation & Amortization,Chỉ tiêu lưu chuyển tiền tệ,16,tỷ,CT
191,CFA3,Chi phí dự phòng,Provisions,Chỉ tiêu lưu chuyển tiền tệ,17,tỷ,CT
192,CFA4,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Unrealized foreign exchange gain/loss,Chỉ tiêu lưu chuyển tiền tệ,18,tỷ,CT
193,CFA5,Lãi/Lỗ từ thanh lý tài sản cố định,Profit/Loss from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,19,tỷ,CT
194,CFA6,Lãi/Lỗ từ hoạt động đầu tư,Profit/Loss from investing activities,Chỉ tiêu lưu chuyển tiền tệ,20,tỷ,CT
195,CFA7,Thu nhập lãi,Interest Expense,Chỉ tiêu lưu chuyển tiền tệ,21,tỷ,CT
196,CFA8,Thu lãi và cổ tức,Interest income and dividends,Chỉ tiêu lưu chuyển tiền tệ,22,tỷ,CT
197,CFA9,Lãi/Lỗ trước những thay đổi vốn cố định,Operating Profit/Loss before changes in WC,Chỉ tiêu lưu chuyển tiền tệ,23,tỷ,CT
198,CFA10,Tăng/Giảm các khoản phải thu,Increase/Decrease in receivables,Chỉ tiêu lưu chuyển tiền tệ,24,tỷ,CT
199,CFA11,Tăng/Giảm hàng tồn kho,Increase/Decrease in inventories,Chỉ tiêu lưu chuyển tiền tệ,25,tỷ,CT
200,CFA12,Tăng/Giảm các khoản phải trả,Increase/Decrease in payables,Chỉ tiêu lưu chuyển tiền tệ,26,tỷ,CT
201,CFA13,Tăng/Giảm chi phí trả trước,Increase/Decrease in prepaid expenses,Chỉ tiêu lưu chuyển tiền tệ,27,tỷ,CT
202,CFA14,Chi phí lãi vay đã trả,Interest paid,Chỉ tiêu lưu chuyển tiền tệ,28,tỷ,CT
203,CFA15,Tiền thu nhập doanh nghiệp đã trả,Business Income Tax paid,Chỉ tiêu lưu chuyển tiền tệ,29,tỷ,CT
204,CFA16,Tiền thu khác từ các hoạt động kinh doanh,Other receipts from operating activities,Chỉ tiêu lưu chuyển tiền tệ,30,tỷ,CT
205,CFA17,Tiền chi khác từ các hoạt động kinh doanh,Other payments on operating activities,Chỉ tiêu lưu chuyển tiền tệ,31,tỷ,CT
206,CFA18,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Net cash inflows/outflows from operating activities,Chỉ tiêu lưu chuyển tiền tệ,32,tỷ,CT
