,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,26.82,21.32,18.06,25.92,45.57,36.82,32.06,24.76,15.05,28.24,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.48,2.23,1.86,1.60,2.48,2.55,3.66,2.17,1.47,2.22,4.23,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,37.52,51.12,26.57,54.95,-,35.57,60.32,28.97,10.79,14.95,22.80,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,55.45,61.03,29.58,75.84,-,39.43,68.20,31.84,11.30,15.55,23.46,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-122.80,-,62.24,103.51,294.99,-,30.77,21.88,9.08,22.20,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,-,0.03,0.04,0.05,0.05,0.05,0.06,0.19,-,0.13,0.07,0.07,0.07,0.00,0.00
15,Debt / EBITDA Ratio,0.27,2.63,0.14,0.62,-,0.30,4.20,0.36,2.66,0.58,1.65,0.22,-,0.22,0.13,0.08,0.08,0.01,0.01
16,Debt / FCF Ratio,-,-,1.16,2.65,-,-,0.50,0.88,0.46,0.86,-,1.77,-,0.75,0.35,0.50,0.93,0.31,0.63
17,Asset Turnover,0.67,0.81,-,-,0.62,0.54,0.70,0.49,0.56,0.65,-,-,-,-,2.36,2.96,1.82,-,
18,Inventory Turnover,-,5.74,6.22,-,-,4.71,4.04,4.32,4.44,6.48,5.89,-,-,-,-,7.23,9.99,7.60,-
19,Quick Ratio,7.04,7.04,8.28,9.96,-,11.66,12.21,8.69,7.87,10.58,10.88,2.90,-,3.33,-,2.76,2.76,3.96,3.96
20,Current Ratio,8.13,8.13,9.34,11.32,-,13.08,13.87,9.95,12.53,11.98,12.22,3.92,-,4.73,-,3.87,3.87,5.12,5.12
21,Return on Equity (ROE),1.39%,11.59%,-,-,8.79%,2.32%,8.30%,1.65%,5.31%,6.90%,-,-,49.51%,41.98%,69.26%,86.90%,29.12%,-,
22,Return on Assets (ROA),0.12%,7.12%,-,-,4.15%,0.23%,4.32%,0.78%,2.32%,2.71%,-,-,-,-,40.16%,49.78%,17.39%,-,
23,Return on Capital (ROIC),0.13%,7.64%,-,-,4.38%,0.24%,4.59%,0.82%,2.43%,2.90%,-,-,32.27%,31.81%,49.91%,61.56%,21.33%,-,
24,Return on Capital Employed (ROCE),4.99%,2.61%,4.29%,1.28%,-,4.09%,3.26%,3.97%,7.85%,8.49%,10.47%,37.88%,-,55.15%,-,53.37%,32.07%,17.12%,8.56%
25,Earnings Yield,2.06%,1.84%,3.06%,2.14%,1.68%,2.23%,1.52%,2.61%,4.74%,3.92%,3.76%,-,-,-,-,-,-,-,-
26,FCF Yield,-0.67%,0.79%,1.07%,0.57%,0.24%,0.71%,2.68%,3.33%,5.99%,2.90%,0.39%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.51%,-,1.37%,-,-,-,-,1.65%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,78.93%,691.08%,96.04%,-,-,127.18%,-,7.95%,4.49%,235.59%,1.15%,2.11%,-,-,-,6.95%,6.75%,52.60%,52.60%
29,Buyback Yield / Dilution,0.85%,3.10%,-1.25%,1.47%,-0.01%,-2.45%,-30.06%,-35.36%,-33.30%,-33.11%,-0.19%,0.22%,0.22%,-0.03%,0.03%,-,-,-,-
30,Total Shareholder Return,2.35%,3.10%,0.12%,1.47%,-0.01%,-2.45%,-30.06%,-33.71%,-33.30%,-33.11%,-0.19%,0.22%,0.22%,-0.03%,0.03%,-,-,-,-
