,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,Other Current Assets,67.49,58.84,55.86,-,45.71,52.73,40.97,392.56,82.9,82.01,66.12,-,58.31,-,40.01,40.01,20.38,20.38
11,Total Current Assets,1223,1293,1319,-,1369,1430,1468,1408,1447,1469,511.38,-,417.54,-,357.79,357.79,215.23,215.23
12,"Property, Plant & Equipment",169.87,125.96,83.85,-,57.05,61.37,65.34,51.69,49.55,61.29,60.32,-,27.92,-,7.51,7.51,4.06,4.06
13,Long-Term Investments,72.99,68.69,62.77,-,51.85,49.42,47.64,46.46,13.68,11.39,11.39,-,5.27,-,5.34,5.34,-,-
14,Goodwill,5.23,5.23,5.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,48.49,48.76,49.16,-,0.14,0.18,0.23,0.28,0.41,0.57,0.57,-,0.75,-,0.97,0.97,1.06,1.06
16,Long-Term Deferred Tax Assets,2.21,3.08,6.44,-,4.18,2.65,3.28,1.19,1.19,1.73,1.78,-,1.48,-,1.21,1.21,0.91,0.91
17,Long-Term Deferred Charges,17.83,19.39,19.98,-,20.74,17.36,16.22,16.81,15.1,6.39,6.52,-,5.19,-,3.29,3.29,3.09,3.09
18,Other Long-Term Assets,19.51,1.27,16.75,-,49.12,1.8,2.8,0.08,0.41,6.81,6.72,-,-,-,-,-,-,-
19,Total Assets,1559,1583,1563,-,1552,1563,1604,1525,1527,1557,598.68,-,458.14,-,376.11,376.11,224.35,224.35
20,Accounts Payable,57.08,46.26,41.14,-,21.72,22.86,34.15,19.12,14.97,17.63,9.35,-,1.06,-,0,10.43,0.17,0.17
21,Accrued Expenses,28.69,33.6,28.86,-,29.8,24.9,48.28,23.98,31.33,22.91,44.08,-,38.75,-,51.07,36.82,27.25,27.25
22,Short-Term Debt,7.44,6.09,5,-,1,1.75,17.64,24.17,35.64,38.55,38.65,-,30.05,-,19.69,19.69,0.9,0.9
23,Current Portion of Leases,10.72,14.91,17.27,-,24.91,24,25.31,17.56,14.31,18.54,15.45,-,0.52,-,-,-,-,-
24,Current Income Taxes Payable,10.02,8.16,7.29,-,4.12,5.74,4.98,7.63,3.51,9.98,13.91,-,8.93,-,14.98,19.29,3.45,3.45
25,Current Unearned Revenue,13.5,3.57,4.26,-,2.11,7.83,4.04,7.04,8.4,6.22,2.85,-,4.38,-,4.18,4.18,2.83,2.83
26,Other Current Liabilities,23.07,25.88,12.71,-,20.98,16.06,13.23,12.95,12.62,6.36,6.25,-,4.56,-,2.48,2,7.46,7.46
27,Total Current Liabilities,150.5,138.48,116.53,-,104.64,103.14,147.62,112.45,120.78,120.17,130.55,-,88.25,-,92.4,92.4,42.05,42.05
28,Long-Term Leases,9.74,13.04,13.74,-,22.75,27.43,31.06,22.38,22.44,28.4,28.4,-,15.72,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,1.2,1.81,2.11,-,2.63,2.38,2.4,2.05,2.04,1.94,1.78,-,1.56,-,0.72,0.72,0.31,0.31
30,Total Liabilities,161.44,153.33,132.38,-,130.02,132.95,181.07,136.88,145.26,150.52,160.73,-,105.54,-,93.12,93.12,42.37,42.37
31,Common Stock,93.11,93.11,66.67,-,66.67,66.67,66.67,66.67,66.67,66.67,50,-,50,-,50,50,50,50
32,Additional Paid-In Capital,948.16,948.1,974.48,-,974.04,973.86,961.9,973.45,973.28,974.55,38.34,-,45.27,-,37.09,45.27,45.27,45.27
33,Retained Earnings,373.48,405.31,402.09,-,366.36,374.83,365.84,337.54,332.02,355.85,339.82,-,251.37,-,192.1,183.85,84.35,84.35
34,Treasury Stock,-20.06,-20.06,-14.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-,-,-,-,-,11.78,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1395,1426,1428,-,1407,1415,1406,1378,1372,1397,428.17,-,346.63,279.19,279.19,279.12,179.61,179.61
37,Minority Interest,2.99,3.25,2.65,-,14.76,14.96,16.44,10.43,10.24,9.66,9.78,-,5.98,-,3.8,3.88,2.37,2.37
38,Shareholders' Equity,1398,1430,1431,-,1422,1430,1423,1388,1382,1407,437.94,-,352.61,282.99,282.99,282.99,181.98,181.98
39,Total Liabilities & Equity,1559,1583,1563,-,1552,1563,1604,1525,1527,1557,598.68,-,458.14,-,376.11,376.11,224.35,224.35
40,Total Debt,27.9,34.04,36.01,-,48.66,53.18,74,64.11,72.39,85.49,82.51,-,46.3,19.69,19.69,19.69,0.9,0.9
41,Net Cash (Debt),848.76,888.93,921.19,-,988.75,1045,1035,694.11,1059,1038,91.88,-,106.43,106.57,106.57,106.57,72.92,72.92
42,Net Cash Growth,-14.16%,-14.97%,-10.96%,-,-6.63%,0.73%,1026.06%,-,894.98%,873.83%,-13.79%,-,45.95%,46.15%,-,-,-,-
43,Net Cash Per Share,9.17,9.63,9.87,-,10.35,11.46,10.92,7.44,11.36,14.80,1.31,-,1.52,1.52,1.52,1.52,1.04,1.04
44,Filing Date Shares Outstanding,92.54,92.54,93.33,93.32,93.33,93.33,93.33,93.33,93.33,93.33,70,70,70,69.98,70,70,70,70
45,Total Common Shares Outstanding,92.54,92.54,93.33,93.32,93.33,93.33,93.33,93.33,93.33,93.33,70,70,70,69.98,70,70,70,70
46,Working Capital,1072,1155,1203,-,1264,1327,1321,1296,1326,1349,380.83,-,329.29,-,265.39,265.39,173.18,173.18
47,Book Value Per Share,15.07,15.42,15.30,-,15.08,15.16,15.07,14.76,14.70,14.97,6.12,-,4.95,3.99,3.99,3.99,2.57,2.57
48,Tangible Book Value,1341,1372,1374,-,1407,1415,1406,1377,1372,1396,427.6,-,345.89,278.22,278.22,278.14,178.56,178.56
49,Tangible Book Value Per Share,14.49,14.83,14.72,-,15.07,15.16,15.06,14.76,14.70,14.96,6.11,-,4.94,3.97,3.97,3.97,2.55,2.55
50,Machinery,-,38.01,-,-,33.68,-,31.74,-,30.69,-,27.32,-,23.2,-,16.51,16.51,11.71,11.71
51,Construction In Progress,-,85.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
