,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
22,Minority Interest in Earnings,0.25,1.43,1.94,2.79,0.2,1.49,-0.98,-0.19,-2.33,0.12,-0.91,-0.17,-0.47,-1.71,-0.72,-0.76,-0.43,-0.43
23,Net Income,5.18,42.88,24.17,-14.53,31.54,9.77,28.17,5.52,16.17,16.03,71.37,9.48,38.87,27.99,48.28,49.75,12.82,12.82
24,Net Income to Common,5.18,42.88,24.17,-14.53,31.54,9.77,28.17,5.52,16.17,16.03,71.37,9.48,38.87,27.99,48.28,49.75,12.82,12.82
25,Net Income Growth,-83.57%,339.08%,-14.20%,-,95.02%,-39.07%,-60.53%,-41.83%,-58.40%,-42.74%,47.82%,-80.94%,203.26%,118.38%,-,-,-,-
26,Shares Outstanding (Basic),93,92,93,93,95,91,95,93,93,70,70,70,70,70,70,70,70,70
27,Shares Outstanding (Diluted),93,92,93,93,95,91,95,93,93,70,70,70,70,70,70,70,70,70
28,Shares Change (YoY),-3.10%,1.25%,-1.47%,0.01%,2.45%,30.06%,35.36%,33.30%,33.11%,0.19%,-0.22%,-0.22%,0.03%,-0.03%,-,-,-,-
29,EPS (Basic),0.06,0.46,0.26,-0.16,0.33,0.11,0.30,0.06,0.17,0.23,1.02,0.14,0.56,0.40,0.69,0.71,0.18,0.18
30,EPS (Diluted),0.06,0.46,0.26,-0.16,0.33,0.11,0.30,0.06,0.17,0.23,1.02,0.14,0.56,0.40,0.69,0.71,0.18,0.18
31,EPS Growth,-83.05%,333.64%,-12.91%,-,90.37%,-53.15%,-70.84%,-56.36%,-68.75%,-42.85%,48.14%,-80.89%,204.78%,119.60%,-,-,-,-
32,Free Cash Flow,-10.03,23.1,9.14,2.41,-5.24,7.3,3.32,18.48,76.34,-14.03,57.15,-35.74,6.77,18.51,18.23,18.23,1.43,1.43
33,Free Cash Flow Per Share,-0.11,0.25,0.10,0.03,-0.05,0.08,0.04,0.20,0.82,-0.20,0.82,-0.51,0.10,0.26,0.26,0.26,0.02,0.02
34,Dividend Per Share,-,0.400,-,-,-,-,0.429,-,-,-,0.429,-,-,-,-,-,-,-
35,Gross Margin,50.16%,53.48%,48.76%,32.31%,46.22%,37.52%,45.32%,35.91%,38.08%,39.10%,50.73%,40.13%,51.36%,43.88%,48.77%,48.77%,47.52%,47.52%
36,Operating Margin,0.29%,14.09%,5.62%,-10.77%,10.69%,0.68%,9.93%,2.57%,6.68%,6.71%,28.85%,7.80%,21.40%,17.64%,27.19%,26.90%,15.28%,15.28%
37,Profit Margin,1.96%,13.49%,10.68%,-7.29%,13.04%,4.59%,10.34%,2.96%,7.55%,9.21%,25.70%,5.52%,18.37%,12.82%,21.73%,22.39%,12.55%,12.55%
38,Free Cash Flow Margin,-3.80%,7.27%,4.04%,1.21%,-2.17%,3.43%,1.22%,9.92%,35.66%,-8.06%,20.58%,-20.78%,3.20%,8.48%,8.21%,8.21%,1.40%,1.40%
39,EBITDA,2.65,46.45,14.6,-19.75,27.61,3.16,28.76,6.02,15.84,12.92,81.33,14.24,46.34,39.33,61.52,60.89,16.14,16.14
40,EBITDA Margin,1.00%,14.61%,6.45%,-9.90%,11.41%,1.49%,10.56%,3.23%,7.40%,7.42%,29.29%,8.28%,21.91%,18.01%,27.69%,27.40%,15.80%,15.80%
41,D&A For EBITDA,1.87,1.67,1.87,1.72,1.75,1.72,1.72,1.24,1.54,1.24,1.24,0.82,1.06,0.82,1.1,1.1,0.53,0.53
42,EBIT,0.77,44.78,12.72,-21.46,25.86,1.45,27.04,4.78,14.29,11.68,80.09,13.42,45.28,38.51,60.42,59.79,15.6,15.6
43,EBIT Margin,0.29%,14.09%,5.62%,-10.76%,10.69%,0.68%,9.93%,2.57%,6.68%,6.71%,28.85%,7.80%,21.40%,17.64%,27.19%,26.90%,15.28%,15.28%
44,Effective Tax Rate,35.11%,21.00%,15.26%,-,1.66%,15.13%,14.53%,22.06%,13.65%,13.72%,11.38%,13.34%,10.90%,22.50%,16.27%,15.86%,17.08%,17.08%
45,Revenue as Reported,263.72,317.92,226.32,199.38,241.92,212.81,272.39,186.16,214.05,174.02,277.66,171.96,211.56,218.35,324.35,324.35,-,-
