,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
29,Common Stock,64.67,64.67,64.67,64.67,64.67,64.67,64.67,48.5,-,-,-,48.5,48.5
30,Additional Paid-In Capital,899.57,899.57,899.57,899.57,899.57,899.57,899.57,227.37,-,-,-,227.37,227.37
31,Retained Earnings,439.14,426.24,497.8,477.49,449.96,422.13,475.9,444.47,-,-,-,152.81,152.81
32,Comprehensive Income & Other,7.6,7.32,6.83,5.98,6.71,6.7,5.59,5.59,-,-,-,4.36,4.36
33,Shareholders' Equity,1411,1398,1469,1448,1421,1393,1446,725.93,-,-,551.83,433.04,433.04
34,Total Liabilities & Equity,1530,1510,1592,1605,1551,1508,1584,903.39,-,-,-,692.71,692.71
35,Total Debt,1.87,2.32,2.3,1.31,1.29,1.27,1.26,1.25,-,-,-,-,-
36,Net Cash (Debt),668.7,887.48,1116,1130,1122,1096,1169,490.15,-,-,403.48,335.52,335.52
37,Net Cash Growth,-40.38%,-19.02%,-4.54%,130.44%,-,-,189.75%,46.09%,-,-,-,-,-
38,Net Cash Per Share,10.37,14.06,17.04,17.69,17.12,17.10,21.62,10.10,-,-,8.30,6.90,6.90
39,Filing Date Shares Outstanding,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,48.34,48.37,48.61,48.5,48.5
40,Total Common Shares Outstanding,64.67,64.67,64.67,64.67,64.67,64.67,64.67,48.5,48.34,48.37,48.61,48.5,48.5
41,Working Capital,879.71,954.74,1179,1163,1171,1156,1215,510.37,-,-,-,276.49,276.49
42,Book Value Per Share,21.82,21.62,22.71,22.39,21.97,21.54,22.36,14.97,-,-,11.38,8.93,8.93
43,Tangible Book Value,1358,1345,1415,1393,1366,1338,1393,672.75,-,-,497.38,377.95,377.95
44,Tangible Book Value Per Share,21.01,20.79,21.88,21.55,21.13,20.69,21.54,13.87,-,-,10.26,7.79,7.79
45,Buildings,-,162.46,-,150.86,-,81.76,-,81.76,-,-,-,81.76,81.76
46,Machinery,-,104.11,-,97.27,-,91.29,-,91.47,-,-,-,95.59,95.59
47,Construction In Progress,-,75.71,-,71.68,-,92.43,-,72.47,-,-,-,7.06,7.06
