,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2015
32,EPS Growth,-22.19%,-98.14%,-9.36%,-73.89%,-30.60%,814.46%,5.17%,557.20%,-,-,-,-,-
33,Free Cash Flow,-,-83.09,-63.87,-88.15,28.14,-17.8,8.19,2.84,27.3,-6.3,-25.21,-25.21,-7.1
34,Free Cash Flow Per Share,-,-0.77,-0.59,-0.71,0.25,-0.64,0.06,0.03,0.31,-0.08,-0.29,-0.28,-0.09
35,Dividend Per Share,-,-,0.028,-,0.364,-,-,-,-,-,-,-,-
36,Gross Margin,188.97%,42.81%,38.04%,44.60%,35.72%,52.44%,42.99%,53.05%,42.91%,43.70%,43.87%,41.91%,43.44%
37,Operating Margin,10.94%,2.08%,6.96%,2.30%,8.88%,24.84%,17.94%,18.83%,18.53%,14.43%,21.82%,6.07%,-99.71%
38,Profit Margin,9.62%,1.35%,10.38%,3.91%,15.53%,17.64%,18.40%,15.30%,20.88%,7.67%,15.32%,2.46%,-91.52%
39,Free Cash Flow Margin,-,-42.46%,-24.36%,-64.56%,9.09%,-8.66%,3.77%,3.03%,10.65%,-4.53%,-16.79%,-27.48%,-73.26%
40,EBITDA,46.48,7.51,22.47,6.59,30.94,53.21,42.08,19.85,49.68,22.17,34.87,7.67,-8.1
41,EBITDA Margin,11.81%,3.84%,8.57%,4.83%,10.00%,25.90%,19.37%,21.15%,19.38%,15.94%,23.22%,8.37%,-83.61%
42,D&A For EBITDA,3.45,3.45,4.22,3.45,3.45,2.18,3.11,2.18,2.18,2.1,2.1,2.1,1.56
43,EBIT,43.03,4.07,18.25,3.15,27.49,51.03,38.97,17.67,47.5,20.07,32.77,5.57,-9.66
44,EBIT Margin,10.94%,2.08%,6.96%,2.30%,8.88%,24.84%,17.94%,18.83%,18.53%,14.43%,21.82%,6.07%,-99.71%
45,Effective Tax Rate,-,-,4.68%,-,6.08%,11.42%,12.11%,4.25%,4.79%,6.83%,10.71%,-,-
46,Revenue as Reported,-,195.7,262.23,136.54,309.47,205.45,217.28,93.86,256.41,139.11,150.14,91.73,-
47,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,0.8
