,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2015
25,Current Unearned Revenue,-,42,31.64,31.61,22.58,41.47,45.82,-,38.39,-,20.28,-,-
26,Other Current Liabilities,-,113.67,90.56,73.13,71.94,53.88,57.81,-,43.52,-,25.27,-,7.96
27,Total Current Liabilities,-,566.99,488.72,439.97,441.32,504.99,501.06,-,481.72,-,403.6,-,117.53
28,Long-Term Leases,-,1.96,1.54,6.02,2.89,4.52,3.35,-,3.86,-,2.8,-,-
29,Long-Term Unearned Revenue,-,0.18,0.2,0.31,0.32,0.41,0.42,-,0.55,-,0.68,-,3.21
30,Long-Term Deferred Tax Liabilities,-,0.01,0.01,1.12,0.03,1.15,1.16,-,1.29,-,0.47,-,0.46
31,Other Long-Term Liabilities,-,13.36,14.61,13.72,13.61,12.68,11.61,-,9.15,-,6.66,-,-
32,Total Liabilities,-,582.51,505.08,461.14,458.18,523.74,517.61,-,496.57,-,414.21,-,121.2
33,Common Stock,-,115.39,115.39,82.48,82.48,82.48,61.86,-,61.86,-,61.86,-,54.18
34,Additional Paid-In Capital,-,1443,1445,1476,1476,1479,181.37,-,180.04,-,178.7,-,62.59
35,Retained Earnings,-,255.53,256.11,270.96,265.62,217.52,181.31,-,126.97,-,62.82,-,61.77
36,Treasury Stock,-,-50.5,-11.19,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1764,1764,1805,1830,1824,1779,424.54,368.87,368.87,-,303.39,-,178.53
38,Minority Interest,-,-,10.07,9.73,9.94,18.26,19.26,-,24.41,-,24.82,-,-
39,Shareholders' Equity,1764,1764,1815,1840,1834,1797,443.8,393.28,393.28,-,328.21,-,178.53
40,Total Liabilities & Equity,-,2346,2320,2301,2293,2321,961.41,-,889.86,-,742.42,-,299.73
41,Total Debt,80.33,80.33,42.11,13.02,12.13,127.56,154.39,145.99,145.99,-,156.75,-,35
42,Net Cash (Debt),822.28,822.28,1013,1148,1234,1240,-68.33,-61.89,-61.89,-,-62.81,-,-5.92
43,Net Cash Growth,-33.36%,-33.67%,-,-,-,-,-,-,-,-,-,-,-
44,Net Cash Per Share,7.10,7.61,9.38,9.21,10.78,44.91,-0.48,-0.71,-0.70,-,-0.72,-,-0.08
45,Filing Date Shares Outstanding,115.84,113.29,114.92,115.47,115.47,115.47,86.6,87.39,86.6,74.27,86.6,90.4,75.85
46,Total Common Shares Outstanding,113.29,113.29,115.1,115.47,115.47,115.47,86.6,87.39,86.6,74.27,86.6,90.4,75.85
47,Working Capital,-,1384,1547,1640,1676,1658,305.29,-,258.85,-,195.29,-,117.25
48,Book Value Per Share,15.57,15.57,15.68,15.85,15.80,15.41,4.90,4.26,4.26,-,3.50,-,2.35
49,Tangible Book Value,1730,1730,1771,1814,1810,1765,411.26,356.77,356.77,-,291.29,-,163.88
50,Tangible Book Value Per Share,15.27,15.27,15.39,15.71,15.68,15.28,4.75,4.12,4.12,-,3.36,-,2.16
51,Buildings,-,-,118.81,-,118.81,-,84.67,-,118.81,-,115.07,-,41.6
52,Machinery,-,-,77.04,-,65.12,-,24.37,-,49.09,-,43.58,-,20.05
53,Construction In Progress,-,-,87.46,-,16.31,-,3.73,-,0.53,-,0.65,-,0.29
