,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
36,Net Cash (Debt),900.28,927.8,1020,1163,1063,1096,1182,289.25,-,295.16,382.86,387.77,387.77,327.22
37,Net Cash Growth,-15.33%,-15.35%,-13.72%,302.06%,-,271.35%,208.62%,-25.41%,-,-9.80%,-,-,-,-
38,Net Cash Per Share,9.03,9.64,10.57,11.46,9.51,11.33,16.23,152.27,-,4.04,5.26,5.35,5.35,-
39,Filing Date Shares Outstanding,96.6,96.6,96.6,96.6,96.6,96.6,96.6,72.45,141.15,72.45,72.8,72.45,72.45,-
40,Total Common Shares Outstanding,96.6,96.6,96.6,96.6,96.6,96.6,96.6,72.45,141.15,72.45,72.8,72.45,72.45,-
41,Working Capital,978.3,1014,1142,1168,1144,1163,1251,265.97,-,367.48,-,358.02,358.02,-
42,Book Value Per Share,14.05,14.18,14.77,14.95,14.25,14.30,14.89,6.20,-,5.24,5.00,5.00,5.00,3.67
43,Tangible Book Value,1199,1211,1267,1283,1215,1218,1274,284.3,-,379.25,362.04,362.04,362.04,265.72
44,Tangible Book Value Per Share,12.42,12.53,13.12,13.28,12.57,12.61,13.19,3.92,-,5.23,5.00,5.00,5.00,3.67
45,Machinery,-,12.03,-,8.72,-,8.12,-,7.23,-,5.88,-,5.54,5.54,-
46,Construction In Progress,-,181.92,-,97.73,-,31.27,-,3.83,-,-,-,-,-,-
