,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
18,Other Unusual Items,-1.95,1.95,-,5.05,0.02,-0.02,-,7.46,-,-,-,0.63,-,-,-
19,Pretax Income,26.55,18.32,16.44,29.02,31.95,18.92,19.07,31.1,25.42,25.14,16.97,43.26,34.3,19.79,15.94
20,Income Tax Expense,4.58,2.53,2.07,2.07,5.35,1.5,2.93,4.38,3.58,3.56,2.32,6.48,4.58,3.06,2.36
21,Net Income,21.98,15.79,14.37,26.95,26.59,17.42,16.14,26.72,21.84,21.58,14.65,36.78,29.73,16.72,13.58
22,Net Income to Common,21.98,15.79,14.37,26.95,26.59,17.42,16.14,26.72,21.84,21.58,14.65,36.78,29.73,16.72,13.58
23,Net Income Growth,-17.37%,-9.36%,-10.98%,0.87%,21.78%,-19.27%,10.15%,-27.34%,-26.54%,29.04%,7.85%,-,-,-,-
24,Shares Outstanding (Basic),100,98,103,100,103,97,101,94,88,78,73,75,74,76,75
25,Shares Outstanding (Diluted),100,98,103,100,103,97,101,94,88,78,73,75,74,76,75
26,Shares Change (YoY),-3.52%,1.96%,1.74%,6.24%,17.89%,24.25%,37.69%,25.06%,19.12%,2.16%,-2.93%,-,-,-,-
27,EPS (Basic),0.22,0.16,0.14,0.27,0.26,0.18,0.16,0.28,0.25,0.28,0.20,0.49,0.40,0.22,0.18
28,EPS (Diluted),0.22,0.16,0.14,0.27,0.26,0.18,0.16,0.28,0.25,0.28,0.20,0.49,0.40,0.22,0.18
29,EPS Growth,-14.35%,-11.10%,-12.50%,-5.05%,3.30%,-35.02%,-20.00%,-41.90%,-38.34%,26.32%,11.11%,-,-,-,-
30,Free Cash Flow,16.03,-29.57,-6.15,29.72,19.13,10.87,-37.44,36.5,19.95,9.23,-10.51,34.39,20.38,-52.24,-84.14
31,Free Cash Flow Per Share,0.16,-0.30,-0.06,0.30,0.19,0.11,-0.37,0.39,0.23,0.12,-0.14,0.46,0.28,-0.69,-1.11
32,Dividend Per Share,-,-,-,0.600,-,-,-,0.400,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,72.84%,81.16%,75.42%,71.73%,79.09%,75.79%,77.69%,77.41%,78.27%,76.19%,78.04%,76.31%,71.01%,81.92%,80.28%
35,Operating Margin,44.84%,39.53%,39.28%,30.13%,49.51%,30.15%,42.09%,40.45%,41.68%,45.54%,46.27%,45.22%,51.25%,47.73%,47.11%
36,Profit Margin,41.24%,43.45%,51.74%,37.44%,48.68%,37.86%,41.29%,38.70%,45.44%,51.24%,40.04%,38.58%,44.73%,39.57%,42.69%
37,Free Cash Flow Margin,30.09%,-81.37%,-22.15%,41.28%,35.01%,23.62%,-95.80%,52.87%,41.52%,21.92%,-28.73%,36.07%,30.66%,-123.61%,-264.45%
38,EBITDA,25.11,15.62,-,22.91,27.5,14.28,16.9,28.38,21.34,20.49,18.24,44.32,35.38,21.49,15.8
39,EBITDA Margin,47.12%,42.98%,-,31.82%,50.34%,31.02%,43.25%,41.11%,44.40%,48.65%,49.86%,46.49%,53.24%,50.86%,49.65%
40,D&A For EBITDA,1.22,1.25,-,1.22,0.45,0.4,0.45,0.45,1.31,1.31,1.31,1.21,1.32,1.32,0.81
41,EBIT,23.89,14.37,10.9,21.69,27.05,13.88,16.45,27.93,20.03,19.18,16.93,43.1,34.06,20.17,14.99
42,EBIT Margin,44.84%,39.53%,39.28%,30.13%,49.51%,30.15%,42.09%,40.45%,41.68%,45.54%,46.27%,45.22%,51.25%,47.73%,47.11%
43,Effective Tax Rate,17.23%,13.82%,12.60%,7.13%,16.75%,7.93%,15.37%,14.07%,14.08%,14.17%,13.65%,14.99%,13.34%,15.48%,14.78%
44,Revenue as Reported,53.29,36.35,27.76,71.99,54.63,46.02,39.08,69.04,48.06,42.11,36.59,95.32,66.45,42.26,31.82
