,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
16,Total Assets,-,2661,2683,2692,2647,2461,2427,2406,2527,2334,2256,2230,2446,1129,1035,-,1010,761.1
17,Accounts Payable,-,320.68,29.55,293.96,14.53,289.14,13.9,257.57,13.61,214.78,17.64,196.37,15.27,21.29,10.85,-,13.89,83.69
18,Accrued Expenses,-,33,404.09,33.75,408.17,32.51,378.1,30.61,354,30.09,270.3,31.39,264.91,225.81,202.94,-,179.59,45.11
19,Short-Term Debt,-,275.92,287.18,259.72,179.67,55.21,18.51,10.2,85.09,28.58,9.04,7.46,161.24,187.38,97.24,-,93.38,33
20,Current Portion of Leases,-,7.06,9.85,13.76,10.45,11.08,11.45,13.75,12.45,13.12,11.11,7.34,7.17,7.08,6.87,-,5.14,-
21,Current Income Taxes Payable,-,107.07,0.52,106.18,12.14,96.99,0.98,90.11,18.05,67,-,52.02,-,-,-,-,1.99,0
22,Current Unearned Revenue,-,97.22,105.61,122.68,147.63,98.32,149.51,152.52,152.26,154.87,150.43,136.08,170.62,156.23,187.6,-,152.19,107.79
23,Other Current Liabilities,-,2.65,8.26,4.53,11.04,3.79,15.09,5.04,13.76,5.79,8.99,3.44,10.2,12.5,10.92,-,8.83,7.41
24,Total Current Liabilities,-,843.6,845.06,834.58,783.63,587.04,587.53,559.79,649.22,514.23,467.5,434.09,629.42,610.3,516.41,-,455.01,276.99
25,Long-Term Leases,-,9.75,14.01,10.65,5.23,7.26,8.24,10.35,8.65,10.61,14.79,18.68,3.05,4.86,6.86,-,8.42,-
26,Long-Term Unearned Revenue,-,13.28,14.18,15.85,6.49,4.42,5.1,8.07,7.8,10.78,6.04,6.65,4.94,16.5,15.15,-,15.38,7.78
27,Long-Term Deferred Tax Liabilities,-,2.5,3.43,4.35,2.73,3.59,3.88,3.51,3.41,-,-,-,1.68,-,-,-,-,0.19
28,Other Long-Term Liabilities,-,8.45,7.93,7.58,6.86,8.15,8.49,7.88,14.35,14.38,13.7,13.36,12.84,12.13,12.37,-,10.1,7.88
29,Total Liabilities,-,877.58,884.61,873,804.94,610.46,613.25,589.6,683.43,550.01,502.03,472.78,651.95,643.79,550.79,-,488.91,292.84
30,Common Stock,-,137.57,138.57,138.57,138.5,138.43,137.88,137.88,137.88,137.88,137.88,137.88,137.88,103.41,103.41,-,103.41,103.41
31,Additional Paid-In Capital,-,1779,1808,1808,1806,1815,1804,1800,1796,1795,1788,1788,1788,582.2,582.2,-,582.2,580.91
32,Retained Earnings,-,-122.27,-108.48,-92.86,-81.01,-105.48,-146.67,-146.17,-123.51,-188.19,-215.48,-217.52,-189.73,-261.88,-266.45,-,-239.3,-297.39
33,Treasury Stock,-,-,-30.05,-30,-21.83,-14.99,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-6.7,-6.7,-6.7,-6.7,-,-,-,-,-,-1.44,-1.44,-1.44,-1.44,-1.44,-,-1.44,-1.44
35,Total Common Equity,1787,1787,1801,1817,1835,1833,1796,1792,1811,1744,1709,1707,1735,422.28,417.72,444.86,444.86,385.49
36,Minority Interest,-,-3.49,-2.82,2.57,6.72,17.42,17.9,24.36,32.82,39.23,45.22,50.47,59.6,63.07,66.68,-,76.34,82.78
37,Shareholders' Equity,1784,1784,1798,1819,1842,1851,1814,1816,1844,1783,1754,1758,1794,485.35,484.39,521.2,521.2,468.26
38,Total Liabilities & Equity,-,2661,2683,2692,2647,2461,2427,2406,2527,2334,2256,2230,2446,1129,1035,-,1010,761.1
39,Total Debt,292.72,292.72,311.03,284.13,195.34,73.55,38.2,34.3,106.19,52.31,34.94,33.48,171.46,199.32,110.97,106.95,106.95,33
40,Net Cash (Debt),35.84,35.84,96.77,250.68,417.13,395.73,482.83,584.05,745.57,730.86,725.56,910.96,1102,-138.25,-37.88,83.78,83.78,99.59
41,Net Cash Growth,-91.41%,-90.94%,-79.96%,-57.08%,-44.05%,-45.85%,-33.46%,-35.89%,-32.35%,-,-,987.39%,1215.49%,-,-,-,-,-
42,Net Cash Per Share,0.26,0.26,0.68,1.90,3.15,2.76,3.69,4.12,6.63,4.27,5.48,6.54,10.45,-1.40,-0.35,0.83,0.87,0.97
43,Filing Date Shares Outstanding,137.59,137.57,137.57,131.67,137.81,138.43,137.88,137.88,137.88,137.88,137.88,137.88,137.88,103.41,103.41,103.41,103.41,103.41
44,Total Common Shares Outstanding,137.59,137.57,137.57,131.67,137.81,138.43,137.88,137.88,137.88,137.88,137.88,137.88,137.88,103.41,103.41,103.41,103.41,103.41
45,Working Capital,-,1249,1296,1334,1430,1483,1486,1555,1611,1554,1534,1591,1640,406.66,403.38,-,454.54,397.06
46,Book Value Per Share,12.99,12.99,13.09,13.80,13.32,13.24,13.02,13.00,13.13,12.65,12.40,12.38,12.58,4.08,4.04,4.30,4.30,3.73
47,Tangible Book Value,1770,1770,1784,1798,1816,1814,1776,1772,1789,1721,1686,1690,1717,409.56,404.69,433,433,379.05
48,Tangible Book Value Per Share,12.87,12.87,12.96,13.66,13.18,13.11,12.88,12.85,12.98,12.49,12.22,12.26,12.45,3.96,3.91,4.19,4.19,3.67
49,Machinery,-,-,28.44,-,32.87,-,28.95,-,25.13,-,23.38,-,26.51,22.8,22.3,-,21.65,20.99
