,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
22,Minority Interest in Earnings,-10.71,1.16,5.39,4.15,5.3,1.02,7.2,8.69,6.88,5.99,5.25,9.17,3.44,3.61,4.91,4.75,-1.58,2.12
23,Net Income,-108.71,-13.79,-15.62,-11.85,24.47,41.19,-0.5,-22.66,66.55,27.29,2.04,-27.86,72.19,4.57,-6.98,-20.17,64.55,-36.84
24,Net Income to Common,-108.71,-13.79,-15.62,-11.85,24.47,41.19,-0.5,-22.66,66.55,27.29,2.04,-27.86,72.19,4.57,-6.98,-20.17,64.55,-36.84
25,Net Income Growth,-,-,-,-,-63.24%,50.95%,-,-,-7.81%,497.42%,-,-,11.83%,-,-,-,-,-
26,Shares Outstanding (Basic),138,138,143,132,132,144,131,142,113,171,132,139,105,99,108,101,96,102
27,Shares Outstanding (Diluted),138,138,143,132,132,144,131,142,113,171,132,139,105,99,108,101,96,102
28,Shares Change (YoY),4.19%,-4.01%,9.31%,-7.03%,17.50%,-16.03%,-1.18%,1.68%,6.67%,72.65%,22.65%,38.12%,10.04%,-3.18%,-,-,-,-
29,EPS (Basic),-0.79,-0.10,-0.11,-0.09,0.19,0.29,-0.00,-0.16,0.59,0.16,0.02,-0.20,0.68,0.05,-0.06,-0.20,0.67,-0.36
30,EPS (Diluted),-0.79,-0.10,-0.11,-0.09,0.19,0.29,-0.00,-0.16,0.59,0.16,0.02,-0.20,0.68,0.05,-0.06,-0.20,0.67,-0.36
31,EPS Growth,-,-,-,-,-68.71%,79.76%,-,-,-13.57%,246.04%,-,-,1.63%,-,-,-,-,-
32,Free Cash Flow,-,-49.83,-94.73,-98.61,72.44,-48.23,-79.86,-152.94,-14.34,-69.65,-85.92,-159.24,1.86,-100.37,-17.55,-97.97,105.8,-95.64
33,Free Cash Flow Per Share,-,-0.36,-0.66,-0.75,0.55,-0.34,-0.61,-1.08,-0.13,-0.41,-0.65,-1.14,0.02,-1.01,-0.16,-0.97,1.10,-0.93
34,Gross Margin,300.66%,46.01%,48.64%,47.15%,52.65%,54.82%,45.85%,44.95%,51.01%,51.22%,52.75%,43.02%,53.95%,43.08%,51.28%,49.33%,57.30%,29.17%
35,Operating Margin,-122.54%,-2.54%,-16.16%,-12.68%,7.55%,20.09%,-13.24%,-37.80%,13.00%,12.44%,-7.60%,-49.65%,20.29%,5.57%,-9.13%,-42.45%,33.71%,-185.96%
36,Profit Margin,-86.99%,-7.87%,-8.78%,-9.67%,15.54%,16.76%,-0.27%,-21.08%,25.44%,13.42%,1.33%,-28.42%,26.96%,2.62%,-5.10%,-27.56%,27.66%,-143.54%
37,Free Cash Flow Margin,-,-28.43%,-53.25%,-80.46%,46.00%,-19.63%,-43.30%,-142.27%,-5.48%,-34.24%,-55.83%,-162.45%,0.70%,-57.62%,-12.83%,-133.86%,45.34%,-372.66%
38,EBITDA,-152.27,-3.58,-27.88,-14.66,12.76,50.27,-23.59,-39.73,34.91,26.16,-10.73,-47.81,55.21,10.52,-11.63,-30.2,79.52,-46.38
39,EBITDA Margin,-121.84%,-2.04%,-15.67%,-11.96%,8.10%,20.46%,-12.79%,-36.95%,13.34%,12.86%,-6.97%,-48.77%,20.62%,6.04%,-8.50%,-41.26%,34.08%,-180.72%
40,D&A For EBITDA,0.88,0.88,0.88,0.88,0.88,0.91,0.83,0.91,0.91,0.86,0.97,0.86,0.9,0.82,0.87,0.87,0.86,1.34
41,EBIT,-153.14,-4.46,-28.76,-15.54,11.88,49.36,-24.43,-40.64,34,25.29,-11.7,-48.68,54.31,9.7,-12.5,-31.07,78.66,-47.72
42,EBIT Margin,-122.54%,-2.54%,-16.16%,-12.68%,7.55%,20.09%,-13.24%,-37.80%,13.00%,12.44%,-7.60%,-49.65%,20.29%,5.57%,-9.13%,-42.45%,33.71%,-185.96%
43,Effective Tax Rate,-,-,-,-,25.91%,1.54%,-,-,11.77%,-,-,-,7.14%,-,-,-,15.42%,-
44,Revenue as Reported,-,175.27,177.92,122.56,157.46,245.76,184.45,107.5,261.63,203.4,153.89,98.03,267.71,174.19,136.86,73.19,-,-
