,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Long-Term Deferred Charges,7.66,7.19,8.53,9.86,7.65,9.35,11.83,11.8,13.67,13.97,-,16.42,-,-,-
18,Other Long-Term Assets,8.4,9.56,15.82,2.32,23.7,19.85,17.8,17.61,49.32,4.34,-,53.73,-,-,-
19,Total Assets,3397,3178,3104,2903,2981,2671,2788,2744,2771,2110,-,2010,-,-,-
20,Accounts Payable,198.58,117.06,134.69,69.35,241.72,157.68,172.65,143.3,177.15,156.22,-,128.1,-,-,-
21,Accrued Expenses,44.21,101.57,25.89,106.21,37.47,127.26,21.97,91.91,35.15,139.66,-,126.32,-,-,-
22,Short-Term Debt,449.6,369.6,199.35,59.81,19.91,-,-,-,-,-,-,79.93,-,-,-
23,Current Portion of Leases,14.31,13.9,11.51,11.56,11.99,12.32,11.48,11.58,7.48,7.94,-,6.94,-,-,-
24,Current Income Taxes Payable,64.84,34.47,35.62,12.16,55.88,28.32,40.29,7.08,24.09,23.08,-,18.74,-,-,-
25,Current Unearned Revenue,170.05,139.08,136.64,138.34,143.03,98.63,72.38,79.03,56.97,47.96,-,54.29,-,-,-
26,Other Current Liabilities,209.14,170.91,228.07,230.44,218.41,161.05,209.45,199.55,246.33,203.21,-,196.27,-,-,-
27,Total Current Liabilities,1151,946.59,771.77,627.88,728.41,585.27,528.21,532.45,547.17,578.08,-,610.6,-,-,-
28,Long-Term Leases,65.62,65.05,39.15,39.73,32.48,35.44,37.31,39.07,42.27,40.38,-,41.37,-,-,-
29,Long-Term Unearned Revenue,147,149.23,131.44,133.35,134.9,136.66,137.7,139.33,144.82,135.33,-,130.83,-,-,-
30,Long-Term Deferred Tax Liabilities,25.46,25.53,17.33,18.39,14.77,15.78,16.9,16.86,16.42,16.49,-,17.44,-,-,-
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-
32,Total Liabilities,1389,1186,959.69,819.34,910.56,773.16,720.12,727.7,750.7,770.27,-,800.23,-,-,-
33,Common Stock,414.26,414.26,412,412,412,412,412,412,412,370,-,370,-,-,-
34,Additional Paid-In Capital,762.86,752.48,722.58,-,705.69,699.14,693.61,-,682.57,151.78,-,136.62,-,-,-
35,Retained Earnings,844.09,817.48,1003,949,958.56,796.69,971.08,926.44,932.2,820.4,-,704.6,-,-,-
36,Treasury Stock,-22.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-0.64,-0.17,-0.01,715.57,0.14,0.19,0.19,686.26,0.32,0.32,-,0.31,-,-,-
38,Total Common Equity,1998,1984,2138,2077,2076,1908,2077,2025,2027,1342,1212,1212,-,-,1131
39,Minority Interest,9.68,7.49,6.66,7.47,-5.96,-10.26,-8.82,-8.14,-7.01,-3.24,-,-2.14,-,-,-
40,Shareholders' Equity,2008,1992,2144,2084,2070,1898,2068,2017,2020,1339,1209,1209,-,-,1131
41,Total Liabilities & Equity,3397,3178,3104,2903,2981,2671,2788,2744,2771,2110,-,2010,-,-,-
42,Total Debt,529.53,448.55,250.01,111.1,64.38,47.77,48.79,50.65,49.75,48.32,128.24,128.24,-,-,126.08
43,Net Cash (Debt),924.1,830.85,980.54,1111,1149,966.44,1009,981.62,931.83,269.39,127.32,127.32,-,-,277.77
44,Net Cash Growth,-19.55%,-14.03%,-2.87%,13.15%,23.27%,258.75%,692.87%,671.00%,-,-,-54.16%,-,-,-,-
45,Net Cash Per Share,2.23,2.01,2.38,2.70,2.79,2.35,2.45,2.33,2.58,0.73,0.34,0.35,-,-,0.75
46,Filing Date Shares Outstanding,414.26,414.26,412,412,412,412,412,412,412,370,369.91,370,374.8,370,370
47,Total Common Shares Outstanding,414.26,414.26,412,412,412,412,412,412,412,370,369.91,370,374.8,370,370
48,Working Capital,861.85,854.33,1014,962.69,962.29,809.9,957.06,895.73,846.05,193.54,-,12.08,-,-,-
49,Book Value Per Share,4.82,4.79,5.19,5.04,5.04,4.63,5.04,4.91,4.92,3.63,3.27,3.27,-,-,3.06
50,Tangible Book Value,1896,1881,2034,1972,1985,1816,1985,1932,1933,1247,1114,1114,-,-,1025
51,Tangible Book Value Per Share,4.58,4.54,4.94,4.79,4.82,4.41,4.82,4.69,4.69,3.37,3.01,3.01,-,-,2.77
52,Buildings,-,871.65,-,862.23,-,868.59,-,871.6,-,821.52,-,858.83,-,-,-
53,Machinery,-,465.55,-,454.61,-,425.16,-,417.94,-,391.5,-,378.93,-,-,-
54,Construction In Progress,-,89.4,-,41.77,-,19.69,-,15.66,-,35.91,-,14.67,-,-,-
