,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,-0.01,0,0,-,0.21,-0,-0.01,-0.04,0.04,-,-0.01,-0.03,-,-,-,-
18,Asset Writedown,19.48,-19.48,2.78,-2.78,4.38,-4.59,2.67,-2.67,7.56,-8.08,0.07,-0.07,1.8,-1.8,1.71,-1.71
19,Other Unusual Items,-2.42,0.11,0.18,2.14,-0.3,-,-,-,1.7,0.22,-0.22,-,3.77,-,-,-
20,Pretax Income,-94.12,-77.73,-67.96,-48.81,-90.84,-25.34,-32.14,60.74,-53.71,4.67,15.99,12.18,-2.96,15.19,11.82,-0.5
21,Income Tax Expense,-9.42,2.03,0.69,0.08,-20.52,-1.37,-18.58,7.07,-12.56,1.39,2.83,2.61,4.34,1.42,-7.13,-0.74
22,Earnings From Continuing Operations,-84.7,-79.76,-68.65,-48.89,-70.32,-23.97,-13.57,53.67,-41.15,3.28,13.15,9.57,-7.3,13.77,18.94,0.23
23,Minority Interest in Earnings,-1.84,1.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,-86.54,-77.92,-68.65,-48.89,-70.32,-23.97,-13.57,53.67,-41.15,3.28,13.15,9.57,-7.3,13.77,18.94,0.23
25,Net Income to Common,-86.54,-77.92,-68.65,-48.89,-70.32,-23.97,-13.57,53.67,-41.15,3.28,13.15,9.57,-7.3,13.77,18.94,0.23
26,Net Income Growth,-,-,-,-,-,-,-,461.04%,-,-76.18%,-30.56%,4040.67%,-,-,-,-
27,Shares Outstanding (Basic),413,411,400,411,445,408,395,407,317,401,399,399,385,357,493,231
28,Shares Outstanding (Diluted),413,411,400,411,445,408,395,429,317,419,441,416,385,357,493,231
29,Shares Change (YoY),-7.15%,0.75%,1.08%,-4.31%,40.36%,-2.71%,-10.41%,3.23%,-17.71%,17.56%,-10.37%,80.03%,-,-,-,-
30,EPS (Basic),-0.21,-0.19,-0.17,-0.12,-0.16,-0.06,-0.03,0.13,-0.13,0.01,0.03,0.02,-0.02,0.04,0.04,0.00
31,EPS (Diluted),-0.21,-0.19,-0.17,-0.12,-0.16,-0.06,-0.03,0.13,-0.13,0.01,0.03,0.02,-0.02,0.04,0.04,0.00
32,EPS Growth,-,-,-,-,-,-,-,443.48%,-,-79.74%,-22.53%,2200.00%,-,-,-,-
33,Free Cash Flow,-,-73,-35.86,-91.12,-6.34,-94.33,-73.6,-228.33,10.06,8.35,-29.87,-92.47,11.89,15.77,8.51,-8.46
34,Free Cash Flow Per Share,-,-0.18,-0.09,-0.22,-0.01,-0.23,-0.19,-0.53,0.03,0.02,-0.07,-0.22,0.03,0.04,0.02,-0.04
35,Gross Margin,214.43%,39.55%,28.34%,32.45%,-5.49%,43.26%,33.67%,43.56%,28.04%,54.17%,49.44%,51.27%,56.06%,51.99%,55.04%,51.37%
36,Operating Margin,-45.82%,-56.75%,-71.46%,-44.74%,-73.90%,-18.93%,-63.60%,-196.28%,-67.40%,2.95%,3.33%,5.89%,-7.09%,11.12%,7.76%,-0.85%
37,Profit Margin,-43.18%,-67.79%,-64.05%,-39.78%,-53.10%,-17.56%,-16.05%,133.60%,-45.41%,2.02%,8.41%,6.39%,-6.68%,10.20%,14.15%,0.27%
38,Free Cash Flow Margin,-,-63.51%,-33.46%,-74.14%,-4.79%,-69.12%,-87.05%,-568.35%,11.10%,5.13%,-19.09%,-61.80%,10.88%,11.67%,6.36%,-9.98%
39,EBITDA,-83.16,-56.57,-67.16,-46.33,-89.21,-20.6,-46.41,-73.62,-55.85,7.87,10.14,11.89,-4.68,16.27,12.74,0.53
40,EBITDA Margin,-41.50%,-49.22%,-62.66%,-37.69%,-67.36%,-15.09%,-54.89%,-183.24%,-61.62%,4.83%,6.48%,7.94%,-4.28%,12.05%,9.52%,0.63%
41,D&A For EBITDA,8.66,8.66,9.43,8.66,8.66,5.24,7.36,5.24,5.24,3.07,4.93,3.07,3.07,1.25,2.35,1.25
42,EBIT,-91.82,-65.23,-76.59,-54.99,-97.87,-25.84,-53.78,-78.86,-61.09,4.79,5.21,8.81,-7.75,15.02,10.39,-0.72
43,EBIT Margin,-45.82%,-56.75%,-71.46%,-44.74%,-73.90%,-18.93%,-63.60%,-196.28%,-67.40%,2.95%,3.33%,5.89%,-7.09%,11.12%,7.76%,-0.85%
44,Effective Tax Rate,-,-,-,-,-,-,-,11.64%,-,29.77%,17.72%,21.44%,-,9.35%,-,-
45,Revenue as Reported,-,114.94,107.18,122.91,132.44,136.47,84.55,40.17,90.63,162.77,156.44,149.64,109.25,135.07,133.84,84.74
