,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Total Liabilities,-,306.27,195.34,187.44,181.44,161.36,239.52,120.61,152.7,140.37,142.78,138.92,157.16,-,118.55,-
32,Common Stock,-,410.31,409.75,409.75,410.56,409.15,407.03,407.03,405.31,405.31,401.49,401.49,360,-,360,-
33,Additional Paid-In Capital,-,1463,1460,1457,1471,1470,1455,1449,1433,1408,1379,1369,173.84,-,146.41,-
34,Retained Earnings,-,-258.7,-181.12,-114.93,-67.02,-4.12,-21.93,-8.36,-62.03,-20.88,-24.16,-37.31,-46.88,-,-53.35,-
35,Treasury Stock,-,-27.2,-27.2,-15.51,-15,-14.65,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-6.8,10.99,2.94,35.46,42.22,144.51,68.37,18.02,24.14,7.81,-4.68,-4.76,-,-3.83,-
37,Total Common Equity,1581,1581,1672,1739,1835,1902,1985,1916,1794,1817,1764,1729,482.2,-,449.23,408.69
38,Minority Interest,-,99.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1681,1681,1672,1739,1835,1902,1985,1916,1794,1817,1764,1729,482.2,-,449.23,408.69
40,Total Liabilities & Equity,-,1987,1868,1927,2016,2064,2224,2037,1947,1957,1907,1868,639.36,-,567.78,-
41,Total Debt,30.71,30.71,13.5,2.61,9.26,4.3,9.13,3.34,9.05,5.19,15.06,7.32,11.05,-,17.55,2.91
42,Net Cash (Debt),989.21,989.21,1144,1125,1260,1125,1305,1331,1551,1544,1532,1547,391.33,-,307.11,374.75
43,Net Cash Growth,-21.51%,-12.06%,-12.35%,-15.47%,-18.72%,-27.14%,-14.84%,-14.01%,296.25%,-,398.97%,312.92%,-,-,-,-
44,Net Cash Per Share,2.39,2.41,2.86,2.74,2.83,2.76,3.30,3.10,4.89,3.68,3.47,3.72,1.02,-,0.62,1.62
45,Filing Date Shares Outstanding,413.14,411,399.76,409.75,409.75,409.15,407.03,407.03,405.31,405.31,401.49,401.49,400.01,356.65,360,231.04
46,Total Common Shares Outstanding,413.14,411,399.76,409.75,409.75,409.15,407.03,407.03,405.31,405.31,401.49,401.49,360,356.65,360,231.04
47,Working Capital,-,1182,1307,1373,1440,1598,1453,1506,1692,1749,1715,1700,477.77,-,397.93,-
48,Book Value Per Share,3.85,3.85,4.18,4.24,4.48,4.65,4.88,4.71,4.43,4.48,4.39,4.31,1.34,-,1.25,1.14
49,Tangible Book Value,1290,1290,1507,1581,1668,1723,1797,1873,1747,1781,1726,1702,459.19,-,425.78,397.14
50,Tangible Book Value Per Share,3.14,3.14,3.77,3.86,4.07,4.21,4.42,4.60,4.31,4.40,4.30,4.24,1.28,-,1.18,1.10
51,Machinery,-,-,28.41,-,23.57,-,22.41,-,20.77,-,19.07,-,18,-,12.8,-
52,Construction In Progress,-,-,34.21,-,4.88,-,-,-,-,-,0.07,-,-,-,-,-
