,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,Asset Writedown,0.03,-2.96,0.27,-0.27,-0.77,0.79,0.62,-0.62,5.99,-5.99,-,-,0.01
17,Other Unusual Items,-,-2.66,2.66,-,-,-0.1,0.1,-,10.25,-,-,-,10.64
18,Pretax Income,53.89,32.57,34.11,32.38,32.18,29.73,35.21,8.1,20.02,9.14,14.73,26.49,34.05
19,Income Tax Expense,3.47,0.69,3.01,1.37,-0.1,1.27,0.56,0.8,0.63,-0.25,-1.65,2.45,1.6
20,Net Income,50.42,31.88,31.09,31.01,32.28,28.47,34.65,7.3,19.39,9.39,16.38,24.04,32.44
21,Net Income to Common,50.42,31.88,31.09,31.01,32.28,28.47,34.65,7.3,19.39,9.39,16.38,24.04,32.44
22,Net Income Growth,56.21%,12.00%,-10.26%,324.85%,66.44%,203.01%,111.52%,-69.63%,-40.22%,-,-,-,-
23,Shares Outstanding (Basic),100,103,102,102,102,103,103,83,78,77,76,77,76
24,Shares Outstanding (Diluted),100,103,102,102,102,103,103,83,78,77,76,77,76
25,Shares Change (YoY),-1.50%,-0.08%,-1.61%,22.66%,31.13%,33.67%,35.84%,7.50%,2.64%,-,-,-,-
26,EPS (Basic),0.50,0.31,0.31,0.30,0.32,0.28,0.34,0.09,0.25,0.12,0.22,0.31,0.43
27,EPS (Diluted),0.50,0.31,0.31,0.30,0.32,0.28,0.34,0.09,0.25,0.12,0.22,0.31,0.43
28,EPS Growth,58.59%,12.09%,-8.80%,246.36%,26.93%,126.69%,55.71%,-71.75%,-41.76%,-,-,-,-
29,Free Cash Flow,58.7,39.83,32.2,-42.61,36.25,5.51,36.5,-8.43,17.06,-20.84,24.08,4.53,-41.3
30,Free Cash Flow Per Share,0.59,0.39,0.32,-0.42,0.36,0.05,0.35,-0.10,0.22,-0.27,0.32,0.06,-0.55
31,Dividend Per Share,-,-,-,-,-,-,-,-,0.203,-,-,-,0.385
32,Dividend Growth,-,-,-,-,-,-,-,-,-47.36%,-,-,-,-
33,Gross Margin,54.24%,61.14%,52.73%,54.11%,54.44%,52.99%,53.97%,54.91%,48.58%,71.59%,56.67%,63.36%,63.52%
34,Operating Margin,32.87%,29.73%,22.26%,24.76%,24.89%,23.25%,26.40%,11.36%,4.93%,27.68%,21.48%,38.93%,32.76%
35,Profit Margin,38.08%,28.52%,26.46%,29.73%,31.95%,32.28%,42.11%,14.13%,28.41%,18.61%,29.33%,36.22%,44.10%
36,Free Cash Flow Margin,44.33%,35.63%,27.41%,-40.85%,35.87%,6.25%,44.36%,-16.33%,24.99%,-41.29%,43.12%,6.83%,-56.14%
37,EBITDA,48.7,37.23,30.3,29.81,29.73,23.58,25.84,8.95,6.56,15.99,15.56,28.56,28.76
38,EBITDA Margin,36.78%,33.30%,25.79%,28.58%,29.42%,26.75%,31.41%,17.33%,9.61%,31.68%,27.86%,43.04%,39.10%
39,D&A For EBITDA,5.17,3.99,4.15,3.99,4.58,3.08,4.12,3.08,3.2,2.02,3.56,2.73,4.66
40,EBIT,43.53,33.24,26.15,25.82,25.15,20.5,21.72,5.87,3.36,13.97,12,25.83,24.1
41,EBIT Margin,32.87%,29.73%,22.26%,24.76%,24.89%,23.25%,26.40%,11.36%,4.93%,27.68%,21.48%,38.93%,32.76%
42,Effective Tax Rate,6.44%,2.11%,8.83%,4.23%,-,4.26%,1.58%,9.84%,3.14%,-,-,9.26%,4.71%
43,Revenue as Reported,-,111.79,117.5,104.3,-,88.18,82.28,51.65,68.27,50.47,55.84,66.36,73.56
