,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,EPS (Diluted),0.00,-0.02,-0.06,-0.07,-0.21,-0.13,-0.18,-0.17,-0.21,-0.22,-0.17,-0.17,-0.33,-0.21,-0.20,-0.12
31,Free Cash Flow,-,-98.09,-33.48,-70.39,-48.57,-69.65,-105.06,-112.48,-124.41,-64.48,-58.06,-1.63,-66.47,-102.16,127.68,-126.89
32,Free Cash Flow Per Share,-,-0.25,-0.08,-0.17,-0.12,-0.17,-0.26,-0.28,-0.31,-0.17,-0.16,-0.00,-0.18,-0.28,0.36,-0.35
33,Gross Margin,193.00%,49.10%,43.17%,37.48%,31.40%,47.15%,41.23%,44.13%,29.24%,41.02%,43.00%,46.29%,36.24%,50.72%,34.71%,48.46%
34,Operating Margin,25.91%,-6.03%,-44.68%,-57.78%,-103.19%,-73.71%,-85.95%,-140.39%,-153.23%,-187.79%,-89.89%,-98.36%,-98.44%,-49.75%,-107.64%,-96.56%
35,Profit Margin,0.15%,-5.04%,-20.42%,-30.98%,-83.42%,-55.00%,-69.27%,-111.20%,-80.49%,-131.85%,-62.29%,-73.74%,-73.77%,-50.63%,-74.99%,-66.11%
36,Free Cash Flow Margin,-,-71.31%,-27.81%,-75.76%,-48.26%,-74.07%,-100.94%,-183.60%,-118.52%,-103.89%,-57.81%,-1.97%,-40.71%,-68.38%,134.29%,-191.01%
37,EBITDA,64.11,1.08,-44.67,-44.32,-94.48,-58.84,-78.97,-75.53,-150.36,-107.03,-79.82,-71.73,-151.2,-68.65,-93.27,-
38,EBITDA Margin,30.34%,0.78%,-37.10%,-47.70%,-93.89%,-62.57%,-75.88%,-123.28%,-143.24%,-172.45%,-79.48%,-86.84%,-92.61%,-45.95%,-98.10%,-
39,D&A For EBITDA,9.37,9.37,9.12,9.37,9.37,10.48,10.48,10.48,10.48,9.52,10.45,9.52,9.52,5.68,9.07,-
40,EBIT,54.74,-8.29,-53.8,-53.68,-103.84,-69.32,-89.45,-86,-160.84,-116.54,-90.27,-81.25,-160.72,-74.32,-102.35,-64.14
41,EBIT Margin,25.91%,-6.03%,-44.68%,-57.78%,-103.19%,-73.71%,-85.95%,-140.39%,-153.23%,-187.79%,-89.89%,-98.36%,-98.44%,-49.75%,-107.64%,-96.56%
42,Effective Tax Rate,100.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Revenue as Reported,-,137.55,120.4,92.91,100.63,94.03,104.08,61.26,104.97,62.06,100.42,82.6,163.26,149.38,95.08,66.43
