,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,Gain (Loss) on Sale of Assets,-,0,-0,-,-,0,-0,-,-,-,-,-,-0.14
17,Asset Writedown,1.22,-1.22,-0.19,0.19,2.27,-2.07,0.39,-0.39,0.56,-0.54,0.01,-0.01,-
18,Other Unusual Items,-,-9.17,7.1,2.07,9.59,-,-,-,26.66,-0.14,0.14,-,0.45
19,Pretax Income,5.56,0.21,23.71,6.54,42.92,4.01,27.44,3.55,46.58,31.15,58.28,2.63,37.76
20,Income Tax Expense,-2.99,-2.33,0.29,-0.49,1.93,1.01,2.25,-1.5,4.79,2.95,7.1,-0.73,4.61
21,Earnings From Continuing Operations,8.55,2.54,23.41,7.03,40.99,3,25.19,5.04,41.79,28.2,51.19,3.36,33.14
22,Minority Interest in Earnings,-1.6,0.34,0.82,0.45,-,-,0.04,-0.02,-0.07,0.04,0.02,0,-
23,Net Income,6.95,2.87,24.23,7.47,40.99,3,25.22,5.02,41.72,28.24,51.21,3.37,33.14
24,Net Income to Common,6.95,2.87,24.23,7.47,40.99,3,25.22,5.02,41.72,28.24,51.21,3.37,33.14
25,Net Income Growth,-83.05%,-4.26%,-3.94%,48.81%,-1.75%,-89.38%,-50.74%,49.17%,25.88%,-,-,-,-
26,Shares Outstanding (Basic),87,83,93,83,91,85,94,84,66,66,66,67,66
27,Shares Outstanding (Diluted),87,83,93,83,91,85,94,84,66,66,66,67,66
28,Shares Change (YoY),-4.75%,-1.61%,-1.20%,-0.80%,37.48%,28.81%,43.24%,24.31%,-0.34%,-,-,-,-
29,EPS (Basic),0.08,0.03,0.26,0.09,0.45,0.04,0.27,0.06,0.63,0.43,0.78,0.05,0.50
30,EPS (Diluted),0.08,0.03,0.26,0.09,0.45,0.04,0.27,0.06,0.63,0.43,0.78,0.05,0.50
31,EPS Growth,-82.21%,-2.68%,-2.78%,50.00%,-28.54%,-91.75%,-65.61%,20.00%,26.31%,-,-,-,-
32,Free Cash Flow,-,-51.3,-2.09,-58.88,51.41,-51.47,-23.17,-87.72,71.96,-47.76,55.26,-51.97,69.93
33,Free Cash Flow Per Share,-,-0.62,-0.02,-0.71,0.56,-0.61,-0.25,-1.05,1.09,-0.73,0.84,-0.77,1.05
34,Dividend Per Share,-,-,-,-,0.300,-,-,-,0.350,-,-,-,-
35,Dividend Growth,-,-,-,-,-14.29%,-,-,-,-,-,-,-,-
36,Gross Margin,239.52%,38.29%,34.80%,39.09%,43.01%,44.41%,40.62%,45.08%,50.82%,53.09%,54.47%,60.33%,51.77%
37,Operating Margin,8.18%,4.33%,8.11%,0.85%,11.87%,0.56%,12.94%,1.56%,12.32%,23.15%,43.36%,5.39%,24.73%
38,Profit Margin,3.87%,2.48%,14.05%,6.84%,17.94%,3.20%,15.82%,5.70%,23.71%,21.23%,38.05%,7.36%,21.33%
39,Free Cash Flow Margin,-,-44.37%,-1.21%,-53.88%,22.50%,-54.83%,-14.53%,-99.51%,40.89%,-35.91%,41.06%,-113.68%,45.01%
40,EBITDA,15.74,6.06,15.48,1.98,28.17,1.3,21.48,2.16,22.47,31.47,59.08,3.14,39.1
41,EBITDA Margin,8.77%,5.24%,8.97%,1.81%,12.33%,1.39%,13.47%,2.45%,12.77%,23.66%,43.90%,6.87%,25.17%
42,D&A For EBITDA,1.05,1.05,1.5,1.05,1.05,0.78,0.85,0.78,0.78,0.68,0.72,0.68,0.68
43,EBIT,14.69,5.01,13.98,0.93,27.12,0.52,20.63,1.38,21.68,30.79,58.36,2.46,38.42
44,EBIT Margin,8.18%,4.33%,8.11%,0.85%,11.87%,0.56%,12.94%,1.56%,12.32%,23.15%,43.36%,5.39%,24.73%
45,Effective Tax Rate,-,-,1.24%,-,4.49%,25.14%,8.20%,-,10.28%,9.48%,12.17%,-,12.22%
46,Revenue as Reported,-,115.63,172.42,109.28,228.5,93.87,159.43,88.15,175.98,133,134.59,45.72,155.36
