,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
40,Net Cash Growth,-17.77%,-15.51%,-14.46%,-17.19%,-15.64%,1713.95%,860.00%,944.26%,1052.50%,-,-,-,-
41,Net Cash Per Share,8.92,9.30,8.89,10.07,10.33,10.83,10.27,12.07,16.84,0.77,1.53,1.44,1.46
42,Filing Date Shares Outstanding,86.7,83.18,85.65,86.13,86.02,88.43,88.43,88.43,88.43,66.32,66.32,67.33,66.32
43,Total Common Shares Outstanding,86.7,83.18,85.65,86.13,88.43,88.43,88.43,88.43,88.43,66.32,66.32,67.33,66.32
44,Working Capital,-,1295,1307,1317,1370,1370,1367,1392,1395,374.49,350.91,-,311.51
45,Book Value Per Share,17.31,17.31,16.77,16.80,16.84,16.37,16.34,16.40,16.34,6.46,6.03,5.20,5.20
46,Tangible Book Value,1418,1418,1414,1425,1467,1424,1421,1426,1420,403.57,375.23,343.28,343.28
47,Tangible Book Value Per Share,17.04,17.04,16.51,16.54,16.59,16.11,16.07,16.13,16.06,6.09,5.66,5.18,5.18
48,Machinery,-,-,40.79,-,33.29,-,29.01,-,14.27,14.05,13.78,-,13.72
49,Construction In Progress,-,-,54.83,-,34.88,-,6.32,-,0.84,0.84,-,-,-
