,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Free Cash Flow Per Share,0.39,-0.32,-0.46,-0.73,0.68,0.56,-0.59,-0.49,-0.26,0.38,0.49,-0.28,0.18,0.51,0.51
36,Dividend Per Share,-,-,-,0.400,-,-,-,0.100,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,300.00%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,36.19%,41.74%,40.54%,55.72%,45.94%,45.93%,44.64%,55.06%,45.41%,42.43%,45.16%,55.24%,47.40%,43.68%,43.68%
39,Operating Margin,3.02%,9.90%,8.48%,-0.18%,16.96%,17.50%,17.33%,-24.65%,11.43%,9.10%,13.72%,-6.35%,15.62%,14.10%,14.10%
40,Profit Margin,-3.83%,3.54%,2.50%,-8.94%,10.46%,9.95%,24.99%,-25.07%,7.87%,3.30%,7.97%,-6.93%,10.37%,7.72%,7.72%
41,Free Cash Flow Margin,7.31%,-6.25%,-10.46%,-19.84%,12.90%,11.53%,-13.63%,-22.96%,-7.22%,9.93%,11.94%,-8.57%,4.01%,13.50%,13.50%
42,EBITDA,43.35,100.75,79.04,20.74,151.13,147.47,130.1,-54.73,76.02,55.49,78.22,-8.42,93.13,73.02,73.02
43,EBITDA Margin,6.05%,13.53%,11.69%,3.76%,19.18%,20.25%,20.02%,-18.69%,14.00%,13.17%,16.70%,-2.39%,18.23%,17.25%,17.25%
44,D&A For EBITDA,21.74,27.02,21.74,21.74,17.46,20.05,17.46,17.46,13.96,17.14,13.96,13.96,13.32,13.32,13.32
45,EBIT,21.6,73.73,57.29,-1.01,133.67,127.43,112.64,-72.19,62.06,38.35,64.26,-22.38,79.81,59.7,59.7
46,EBIT Margin,3.02%,9.90%,8.48%,-0.18%,16.96%,17.50%,17.33%,-24.65%,11.43%,9.10%,13.72%,-6.35%,15.62%,14.10%,14.10%
47,Effective Tax Rate,-,44.35%,48.50%,-,23.31%,27.52%,12.67%,-,26.40%,43.29%,30.49%,-,24.27%,27.61%,27.61%
48,Revenue as Reported,716.34,744.48,675.88,551.75,788.15,728.15,649.83,292.88,543.07,421.27,468.42,352.53,510.84,423.33,423.33
