,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
16,Gain (Loss) on Sale of Assets,-0.22,-,-,-0.49,-0.59,0.05,-,-0.01,-,-,0.04,-0.24
17,Asset Writedown,-,-,-,0.01,-0.01,-,-,-,-,0.13,-0.13,-
18,Other Unusual Items,0.48,2.4,1.02,1.54,-0.01,0.01,-,13.51,-0.25,0.25,-,0.07
19,Pretax Income,20.54,2.39,22.18,21.28,25.65,25.69,27.16,38.08,33.68,34.38,31.62,53.43
20,Income Tax Expense,1.03,-1.33,1.54,5.23,2.42,4.68,3.75,4.53,4.29,4.08,5.04,5.49
21,Earnings From Continuing Operations,19.51,3.72,20.64,16.06,23.23,21.01,23.41,33.55,29.39,30.3,26.58,47.94
22,Minority Interest in Earnings,-0.25,-0.62,-0.31,-0.03,0.13,0.1,-0.02,0.18,0.12,0.28,0.02,-0.06
23,Net Income,19.27,3.1,20.33,16.02,23.36,21.11,23.4,33.73,29.52,30.59,26.6,47.88
24,Net Income to Common,19.27,3.1,20.33,16.02,23.36,21.11,23.4,33.73,29.52,30.59,26.6,47.88
25,Net Income Growth,-17.51%,-85.34%,-13.09%,-52.49%,-20.87%,-30.98%,-12.04%,-29.57%,-,-,-,-
26,Shares Outstanding (Basic),168,168,168,168,168,168,168,154,126,126,126,126
27,Shares Outstanding (Diluted),168,168,168,168,168,168,168,154,126,126,126,126
28,Shares Change (YoY),0.17%,-0.14%,0.05%,9.18%,33.22%,33.43%,33.29%,22.20%,-,-,-,-
29,EPS (Basic),0.11,0.02,0.12,0.10,0.14,0.13,0.14,0.22,0.23,0.24,0.21,0.38
30,EPS (Diluted),0.11,0.02,0.12,0.10,0.14,0.13,0.14,0.22,0.23,0.24,0.21,0.38
31,EPS Growth,-17.65%,-85.32%,-13.14%,-56.48%,-40.60%,-48.27%,-34.01%,-42.36%,-,-,-,-
32,Free Cash Flow,8.76,-177.53,-107.28,-9.8,-149.98,-15.36,-139.38,-20.44,-15,51.71,-129.61,42.43
33,Free Cash Flow Per Share,0.05,-1.06,-0.64,-0.06,-0.89,-0.09,-0.83,-0.13,-0.12,0.41,-1.03,0.34
34,Dividend Per Share,-,-,-,0.200,-,-,-,0.500,-,-,-,-
35,Dividend Growth,-,-,-,-60.00%,-,-,-,-,-,-,-,-
36,Gross Margin,7.70%,8.70%,13.16%,10.47%,13.61%,14.70%,13.89%,13.13%,14.20%,13.50%,13.82%,14.10%
37,Operating Margin,2.96%,0.10%,5.20%,4.03%,5.79%,6.72%,6.27%,6.44%,7.44%,8.42%,7.38%,9.02%
38,Profit Margin,2.64%,0.64%,4.93%,3.23%,5.66%,6.08%,6.00%,7.32%,6.68%,7.32%,7.87%,11.05%
39,Free Cash Flow Margin,1.20%,-36.77%,-26.01%,-1.97%,-36.34%,-4.42%,-35.72%,-4.43%,-3.40%,12.38%,-38.35%,9.79%
40,EBITDA,28.28,11.26,28.11,26.68,26.99,28.91,27.58,32.82,35.38,37.92,27.46,41.58
41,EBITDA Margin,3.88%,2.33%,6.82%,5.37%,6.54%,8.32%,7.07%,7.12%,8.01%,9.08%,8.13%,9.60%
42,D&A For EBITDA,6.67,10.76,6.67,6.67,3.11,5.58,3.11,3.11,2.51,2.74,2.51,2.51
43,EBIT,21.61,0.5,21.45,20.01,23.88,23.33,24.47,29.71,32.87,35.18,24.95,39.07
44,EBIT Margin,2.96%,0.10%,5.20%,4.03%,5.79%,6.72%,6.27%,6.44%,7.44%,8.42%,7.38%,9.02%
45,Effective Tax Rate,5.00%,-,6.93%,24.57%,9.43%,18.23%,13.79%,11.91%,12.73%,11.86%,15.95%,10.27%
46,Revenue as Reported,729.09,482.85,412.46,496.4,412.71,347.36,390.15,461.02,441.89,417.64,337.92,433.31
