,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
22,Return on Equity (ROE),2.06%,4.14%,3.80%,1.58%,4.33%,8.78%,6.25%,4.21%,10.85%,11.24%,8.10%,5.10%,9.78%,8.82%,16.40%,6.11%,-,-,-,-,
23,Return on Assets (ROA),-,1.47%,0.40%,0.88%,0.07%,5.25%,1.29%,2.93%,2.28%,6.31%,3.02%,3.46%,2.20%,5.25%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.03%,1.94%,0.52%,1.14%,0.09%,6.57%,1.67%,4.14%,3.26%,8.76%,3.99%,4.55%,2.89%,6.94%,11.28%,4.56%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,1.47%,3.23%,3.53%,4.18%,5.06%,4.81%,7.56%,7.68%,7.77%,6.72%,8.00%,7.49%,8.52%,13.00%,-,8.09%,-,-,-
26,Earnings Yield,0.67%,0.84%,1.10%,1.52%,1.60%,1.36%,1.55%,1.44%,1.47%,1.39%,1.49%,1.44%,1.95%,1.10%,1.17%,-,-,-,-,-,-
27,FCF Yield,-,0.40%,-0.16%,-1.47%,-0.07%,-1.70%,-2.19%,-1.39%,-1.48%,-0.19%,-0.07%,-0.30%,-0.57%,-0.60%,-,-,-,-,-,-,
28,Dividend Yield,0.44%,-,-,-,-,0.47%,-,-,-,0.43%,-,-,-,0.46%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,222.74%,-,-,-,187.80%,0.16%,0.19%,0.20%,155.64%,0.74%,0.41%,0.31%,0.28%,3.04%,2.79%,0.64%,112.69%,126.42%
30,Buyback Yield / Dilution,-0.12%,-7.13%,14.73%,6.70%,-9.24%,2.95%,-5.08%,-1.32%,-2.66%,-8.66%,-21.88%,-35.98%,-31.82%,-56.04%,9.31%,3.09%,1.08%,-,-,-,-
31,Total Shareholder Return,0.32%,-7.13%,14.73%,6.70%,-9.24%,3.42%,-5.08%,-1.32%,-2.66%,-8.23%,-21.88%,-35.98%,-31.82%,-55.58%,9.31%,3.09%,1.08%,-,-,-,-
