,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
25,Net Income,6.23,11.66,10.56,4.16,12.18,23.85,16.73,11.43,27.12,26.89,19.36,12.06,22.12,16.76,24.98,9.15,19.05,110.05,5.19,4.62
26,Net Income to Common,6.23,11.66,10.56,4.16,12.18,23.85,16.73,11.43,27.12,26.89,19.36,12.06,22.12,16.76,24.98,9.15,19.05,110.05,5.19,4.62
27,Net Income Growth,-48.86%,-51.13%,-36.85%,-63.59%,-55.07%,-11.29%,-13.59%,-5.24%,22.58%,60.44%,-22.49%,31.82%,16.13%,-84.77%,381.49%,97.83%,-,-,-,-
28,Shares Outstanding (Basic),101,86,92,104,94,101,92,95,93,96,98,93,89,79,72,70,57,87,74,71
29,Shares Outstanding (Diluted),101,86,92,104,94,101,99,95,97,96,98,93,89,79,72,70,57,87,74,71
30,Shares Change (YoY),7.13%,-14.73%,-6.70%,9.24%,-2.95%,5.08%,1.32%,2.66%,8.66%,21.88%,35.98%,31.82%,56.04%,-9.31%,-3.09%,-1.08%,-,-,-,-
31,EPS (Basic),0.06,0.14,0.11,0.04,0.13,0.24,0.18,0.12,0.29,0.28,0.20,0.13,0.25,0.21,0.35,0.13,0.33,1.26,0.07,0.07
32,EPS (Diluted),0.06,0.14,0.11,0.04,0.13,0.24,0.17,0.12,0.28,0.28,0.20,0.13,0.25,0.21,0.35,0.13,0.33,1.26,0.07,0.07
33,EPS Growth,-52.26%,-42.69%,-32.31%,-66.67%,-53.70%,-15.58%,-14.72%,-7.69%,12.81%,31.64%,-43.00%,0%,-25.58%,-83.21%,396.82%,100.00%,-,-,-,-
34,Free Cash Flow,-,25.64,2.35,-50.19,36.09,6.47,-44.91,-0.99,-47.33,-31.78,-0.19,-11.81,33.59,-24.99,-8.49,-37.81,35.86,-23.96,-11.1,-11.1
35,Free Cash Flow Per Share,-,0.30,0.03,-0.48,0.38,0.06,-0.45,-0.01,-0.49,-0.33,-0.00,-0.13,0.38,-0.32,-0.12,-0.54,0.63,-0.27,-0.15,-0.16
36,Dividend Per Share,-,-,-,-,0.230,-,-,-,0.275,-,-,-,0.315,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-16.36%,-,-,-,-12.70%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,258.38%,28.16%,27.20%,28.34%,22.13%,40.73%,35.95%,41.98%,32.43%,44.63%,32.19%,38.55%,33.38%,44.90%,45.16%,38.54%,36.33%,51.97%,40.82%,40.78%
39,Operating Margin,2.60%,5.75%,1.74%,5.04%,0.27%,20.50%,5.34%,13.41%,6.01%,16.96%,10.19%,13.67%,6.42%,17.12%,21.46%,13.90%,10.22%,27.75%,3.15%,5.21%
40,Profit Margin,2.50%,5.46%,5.58%,2.88%,5.91%,12.13%,10.42%,8.86%,12.34%,13.38%,12.83%,9.38%,13.26%,13.47%,18.59%,10.95%,13.43%,107.02%,4.87%,5.78%
41,Free Cash Flow Margin,-,12.00%,1.24%,-34.76%,17.51%,3.29%,-27.98%,-0.77%,-21.54%,-15.82%,-0.13%,-9.18%,20.14%,-20.09%,-6.32%,-45.25%,25.27%,-23.30%,-10.41%,-13.87%
42,EBITDA,13.5,19.29,12.12,14.29,7.57,44.79,14.65,21.77,17.68,37.18,19.24,20.69,13.82,24.53,31.89,14.84,17.73,31.83,6.65,7.46
43,EBITDA Margin,5.41%,9.03%,6.39%,9.90%,3.67%,22.78%,9.13%,16.87%,8.05%,18.51%,12.75%,16.09%,8.29%,19.72%,23.74%,17.77%,12.50%,30.96%,6.24%,9.33%
44,D&A For EBITDA,7.01,7.01,8.81,7.01,7.01,4.47,6.08,4.47,4.47,3.11,3.87,3.11,3.11,3.23,3.07,3.23,3.23,3.29,3.29,3.29
45,EBIT,6.48,12.27,3.3,7.28,0.56,40.32,8.56,17.29,13.21,34.07,15.37,17.58,10.71,21.29,28.82,11.61,14.5,28.54,3.36,4.17
46,EBIT Margin,2.60%,5.75%,1.74%,5.04%,0.27%,20.50%,5.34%,13.41%,6.01%,16.96%,10.19%,13.67%,6.42%,17.12%,21.46%,13.90%,10.22%,27.75%,3.15%,5.21%
47,Effective Tax Rate,32.44%,5.69%,-,10.47%,22.82%,8.11%,-,19.35%,-,15.65%,17.17%,14.10%,-,11.98%,15.61%,17.10%,26.81%,7.47%,106.40%,58.13%
48,Revenue as Reported,-,213.62,189.48,144.38,206.12,196.68,160.47,128.99,219.76,200.9,150.87,128.58,166.81,124.39,134.31,83.54,141.9,102.83,106.59,80.03
49,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.97,-
